0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,2.08,2.09,2.07,2.08,0.00,0.00,"574,810",,,,,
2025-05-28,2.06,2.11,2.06,2.08,0.04,1.96,"894,953",,,,,
2025-05-27,2.10,2.12,2.02,2.04,-0.06,-2.86,"784,820",,,,,
2025-05-26,2.12,2.14,2.05,2.10,-0.02,-0.94,"765,771",,,,,
2025-05-25,2.17,2.17,2.12,2.12,-0.04,-1.85,"894,393",,,,,
2025-05-22,2.19,2.20,2.16,2.16,-0.03,-1.37,"538,299",,,,,
2025-05-21,2.21,2.22,2.18,2.19,-0.01,-0.45,"732,599",,,,,
2025-05-20,2.23,2.23,2.20,2.20,0.00,0.00,"517,675",,,,,
2025-05-19,2.22,2.23,2.20,2.20,-0.03,-1.35,"568,877",,,,,
2025-05-18,2.25,2.25,2.22,2.23,-0.01,-0.45,"310,540",,,,,
2025-05-15,2.23,2.24,2.22,2.24,-0.03,-1.32,"1,237,410",,,,,
2025-05-14,2.28,2.29,2.27,2.27,0.00,0.00,"595,863",,,,,
2025-05-13,2.30,2.30,2.26,2.27,-0.03,-1.30,"772,053",,,,,
2025-05-12,2.24,2.30,2.23,2.30,0.07,3.14,"1,502,639",,,,,
2025-05-11,2.21,2.24,2.20,2.23,0.03,1.36,"811,698",,,,,
2025-05-08,2.26,2.28,2.19,2.20,-0.06,-2.65,"1,677,247",,,,,
2025-05-07,2.29,2.31,2.26,2.26,-0.02,-0.88,"1,237,287",,,,,
2025-05-06,2.25,2.30,2.25,2.28,0.03,1.33,"1,351,727",,,,,
2025-05-05,2.24,2.26,2.22,2.25,0.01,0.45,"1,378,529",,,,,
2025-05-04,2.25,2.27,2.23,2.24,0.00,0.00,"604,842",,,,,
2025-05-01,2.26,2.28,2.23,2.24,-0.02,-0.88,"623,452",,,,,
2025-04-30,2.28,2.29,2.24,2.26,-0.02,-0.88,"726,236",,,,,
2025-04-29,2.31,2.34,2.28,2.28,-0.04,-1.72,"1,704,597",,,,,
2025-04-28,2.32,2.36,2.31,2.32,-0.01,-0.43,"1,732,169",,,,,
2025-04-27,2.30,2.35,2.29,2.33,0.04,1.75,"2,041,432",,,,,
2025-04-24,2.29,2.31,2.28,2.29,0.00,0.00,"793,535",,,,,
2025-04-23,2.28,2.33,2.28,2.29,0.02,0.88,"1,660,634",,,,,
2025-04-22,2.25,2.29,2.24,2.27,-0.01,-0.44,"1,269,265",,,,,
2025-04-21,2.34,2.35,2.27,2.28,-0.07,-2.98,"1,657,031",,,,,
2025-04-20,2.36,2.39,2.32,2.35,0.01,0.43,"2,728,309",,,,,
2025-04-17,2.31,2.52,2.30,2.34,0.04,1.74,"10,024,695",,,,,
2025-04-16,2.23,2.32,2.21,2.30,0.07,3.14,"4,225,571",,,,,
