0,1,2,3,4,5,6,7,8,9
2025-05-29,57.50,59.70,57.50,59.20,1.70,2.96,"311,664",,
2025-05-28,56.30,58.30,56.10,57.50,1.80,3.23,"264,984",,
2025-05-27,57.20,57.20,55.70,55.70,-1.30,-2.28,"102,125",,
2025-05-26,57.10,58.00,56.30,57.00,-0.60,-1.04,"156,198",,
2025-05-25,57.80,58.30,57.20,57.60,0.10,0.17,"131,131",,
2025-05-22,57.30,57.80,56.80,57.50,0.20,0.35,"106,014",,
2025-05-21,58.30,59.10,57.30,57.30,-0.90,-1.55,"171,447",,
2025-05-20,57.30,58.40,57.10,58.20,0.90,1.57,"114,427",,
2025-05-19,58.00,58.40,57.30,57.30,-0.70,-1.21,"126,087",,
2025-05-18,58.40,58.70,57.90,58.00,-0.40,-0.68,"106,223",,
2025-05-15,58.70,59.20,58.10,58.40,-0.20,-0.34,"172,509",,
2025-05-14,60.30,60.40,58.60,58.60,-1.10,-1.84,"248,540",,
2025-05-13,59.60,60.50,59.50,59.70,0.30,0.51,"199,739",,
2025-05-12,58.60,60.00,58.50,59.40,1.10,1.89,"165,783",,
2025-05-11,58.50,58.90,57.50,58.30,0.10,0.17,"67,151",,
2025-05-08,58.70,59.50,58.20,58.20,-0.60,-1.02,"173,490",,
2025-05-07,59.50,60.90,58.70,58.80,-0.20,-0.34,"254,979",,
2025-05-06,59.30,60.60,58.90,59.00,-0.20,-0.34,"153,437",,
2025-05-05,60.00,60.20,58.70,59.20,-0.80,-1.33,"191,113",,
2025-05-04,59.90,61.00,59.80,60.00,0.10,0.17,"107,532",,
2025-05-01,60.50,61.20,59.90,59.90,-0.60,-0.99,"158,512",,
2025-04-30,61.80,62.10,60.30,60.50,-1.30,-2.10,"388,980",,
2025-04-29,63.50,63.50,61.60,61.80,-0.70,-1.12,"462,022",,
2025-04-28,62.40,63.50,61.90,62.50,0.80,1.30,"467,810",,
2025-04-27,61.50,62.70,61.40,61.70,0.30,0.49,"281,880",,
2025-04-24,58.50,61.50,58.20,61.40,2.90,4.96,"651,209",,
2025-04-23,58.10,58.90,57.70,58.50,0.70,1.21,"331,928",,
2025-04-22,55.50,58.60,55.30,57.80,2.30,4.14,"779,469",,
