0,1,2,3,4,5,6,7,8,9
2025-05-29,36.35,37.15,36.35,36.90,0.40,1.10,"203,896",,
2025-05-28,35.90,36.50,35.75,36.50,0.60,1.67,"355,640",,
2025-05-27,36.55,36.60,35.65,35.90,-0.65,-1.78,"265,828",,
2025-05-26,36.15,36.60,36.00,36.55,0.50,1.39,"331,804",,
2025-05-25,37.45,37.70,36.05,36.05,-1.65,-4.38,"550,787",,
2025-05-22,37.95,37.95,37.55,37.70,-0.80,-2.08,"229,200",,
2025-05-21,39.50,39.60,38.35,38.50,-1.00,-2.53,"649,253",,
2025-05-20,39.15,39.60,38.90,39.50,0.55,1.41,"709,707",,
2025-05-19,40.00,40.05,38.85,38.95,-0.95,-2.38,"1,117,431",,
2025-05-18,39.80,40.00,39.25,39.90,0.45,1.14,"666,366",,
2025-05-15,38.50,40.00,38.30,39.45,0.95,2.47,"761,926",,
2025-05-14,38.50,39.05,38.40,38.50,-0.10,-0.26,"384,053",,
2025-05-13,38.65,38.80,38.30,38.60,-0.05,-0.13,"181,291",,
2025-05-12,38.10,38.65,38.05,38.65,0.65,1.71,"348,877",,
2025-05-11,37.65,38.00,37.45,38.00,0.00,0.00,"162,264",,
2025-05-08,37.70,38.10,37.35,38.00,0.20,0.53,"196,411",,
2025-05-07,37.70,37.85,37.40,37.80,0.10,0.27,"182,538",,
2025-05-06,37.35,37.80,37.30,37.70,0.25,0.67,"129,330",,
2025-05-05,37.45,37.55,37.05,37.45,0.10,0.27,"111,142",,
2025-05-04,37.40,37.55,37.15,37.35,0.05,0.13,"102,884",,
2025-05-01,37.55,37.55,37.15,37.30,-0.30,-0.80,"219,196",,
2025-04-30,37.95,37.95,37.25,37.60,-0.25,-0.66,"179,438",,
2025-04-29,38.00,38.25,37.85,37.85,-0.15,-0.39,"118,565",,
2025-04-28,38.70,38.70,37.85,38.00,-0.50,-1.30,"216,408",,
2025-04-27,38.00,38.50,37.95,38.50,0.60,1.58,"215,839",,
2025-04-24,37.55,38.05,37.50,37.90,0.35,0.93,"256,346",,
2025-04-23,37.50,37.85,37.30,37.55,0.25,0.67,"200,960",,
2025-04-22,37.65,37.70,37.25,37.30,-0.35,-0.93,"140,171",,
2025-04-21,38.10,38.10,37.40,37.65,0.05,0.13,"348,068",,
2025-04-20,37.00,37.65,37.00,37.60,0.65,1.76,"207,152",,
2025-04-17,36.90,37.10,36.80,36.95,-0.15,-0.40,"162,718",,
2025-04-16,37.60,37.60,36.95,37.10,-0.60,-1.59,"290,299",,
2025-04-15,38.45,38.55,37.40,37.70,-0.65,-1.69,"524,519",,
2025-04-14,38.65,38.65,38.25,38.35,-0.30,-0.78,"216,517",,
2025-04-13,38.25,38.70,38.25,38.65,0.50,1.31,"178,916",,
2025-04-10,38.80,38.90,38.00,38.15,0.50,1.33,"463,052",,
2025-04-09,36.85,38.10,36.85,37.65,0.55,1.48,"578,774",,
2025-04-08,37.75,38.15,36.75,37.10,-0.15,-0.40,"355,340",,
2025-04-07,35.95,37.35,35.30,37.25,0.75,2.05,"592,716",,
2025-04-06,36.80,37.75,36.25,36.50,-2.55,-6.53,"619,477",,
2025-04-03,39.00,39.65,38.50,39.05,-0.30,-0.76,"416,337",,
