0,1,2,3,4,5,6,7,8,9
2025-05-29,23.46,23.46,23.28,23.44,0.04,0.17,"156,027",,
2025-05-28,23.26,23.46,23.26,23.40,0.14,0.60,"131,353",,
2025-05-27,23.46,23.46,23.26,23.26,-0.14,-0.60,"111,698",,
2025-05-26,23.60,23.66,23.26,23.40,-0.22,-0.93,"225,395",,
2025-05-25,23.66,23.76,23.60,23.62,-0.02,-0.08,"122,943",,
2025-05-22,23.68,23.76,23.64,23.64,-0.12,-0.51,"179,114",,
2025-05-21,23.82,23.86,23.70,23.76,-0.04,-0.17,"121,437",,
2025-05-20,23.94,24.06,23.68,23.80,-0.14,-0.58,"330,829",,
2025-05-19,24.24,24.24,23.94,23.94,-0.30,-1.24,"227,444",,
2025-05-18,24.30,24.34,24.16,24.24,-0.06,-0.25,"126,709",,
2025-05-15,24.32,24.34,24.18,24.30,0.06,0.25,"211,464",,
2025-05-14,24.34,24.34,24.16,24.24,-0.10,-0.41,"155,680",,
2025-05-13,24.38,24.38,24.00,24.34,0.10,0.41,"235,900",,
2025-05-12,24.00,24.24,23.98,24.24,0.24,1.00,"300,461",,
2025-05-11,23.98,24.10,23.90,24.00,0.08,0.33,"136,306",,
2025-05-08,24.10,24.12,23.92,23.92,-0.10,-0.42,"373,452",,
2025-05-07,24.02,24.30,23.96,24.02,-0.98,-3.92,"432,634",,
2025-05-06,24.64,25.00,24.62,25.00,0.36,1.46,"203,077",,
2025-05-05,24.98,24.98,24.62,24.64,-0.28,-1.12,"302,689",,
2025-05-04,25.05,25.10,24.80,24.92,-0.13,-0.52,"138,276",,
2025-05-01,25.40,25.40,24.86,25.05,-0.35,-1.38,"301,116",,
2025-04-30,25.70,25.70,25.20,25.40,-0.15,-0.59,"283,736",,
2025-04-29,25.85,25.85,25.50,25.55,0.05,0.20,"279,232",,
2025-04-28,25.50,25.70,25.35,25.50,-0.80,-3.04,"532,731",,
2025-04-27,26.30,26.45,26.25,26.30,0.00,0.00,"584,360",,
2025-04-24,25.95,26.35,25.90,26.30,0.35,1.35,"278,951",,
2025-04-23,26.00,26.20,25.90,25.95,0.05,0.19,"279,093",,
2025-04-22,25.85,26.05,25.80,25.90,0.00,0.00,"206,499",,
2025-04-21,26.10,26.15,25.85,25.90,-0.20,-0.77,"133,143",,
2025-04-20,26.05,26.30,25.95,26.10,-0.10,-0.38,"195,597",,
2025-04-17,26.20,26.50,26.00,26.20,-0.20,-0.76,"221,955",,
2025-04-16,26.40,26.75,26.20,26.40,-0.25,-0.94,"224,385",,
2025-04-15,26.55,26.80,26.50,26.65,0.10,0.38,"163,861",,
2025-04-14,26.10,26.60,26.10,26.55,0.50,1.92,"219,863",,
2025-04-13,26.00,26.30,26.00,26.05,0.25,0.97,"116,549",,
2025-04-10,26.20,26.30,25.70,25.80,0.30,1.18,"335,145",,
2025-04-09,26.40,26.40,25.40,25.50,-0.85,-3.23,"251,708",,
2025-04-08,26.10,26.55,26.10,26.35,0.35,1.35,"303,805",,
2025-04-07,25.90,26.40,24.90,26.00,-0.05,-0.19,"447,616",,
2025-04-06,26.35,26.35,25.80,26.05,-1.20,-4.40,"492,120",,
2025-04-03,26.85,27.25,26.65,27.25,0.35,1.30,"196,619",,
2025-03-27,26.55,27.10,26.55,26.90,0.15,0.56,"205,186",,
