0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,6.44,6.53,6.36,6.48,0.06,0.93,"1,588,411",,,,,
2025-05-28,6.43,6.51,6.37,6.42,0.00,0.00,"1,177,902",,,,,
2025-05-27,6.53,6.57,6.33,6.42,-0.05,-0.77,"1,731,355",,,,,
2025-05-26,6.57,6.57,6.33,6.47,-0.07,-1.07,"1,451,770",,,,,
2025-05-25,6.56,6.60,6.52,6.54,0.00,0.00,"954,499",,,,,
2025-05-22,6.63,6.64,6.53,6.54,-0.09,-1.36,"1,531,840",,,,,
2025-05-21,6.75,6.77,6.62,6.63,-0.12,-1.78,"1,093,724",,,,,
2025-05-20,6.77,6.79,6.69,6.75,-0.04,-0.59,"1,840,711",,,,,
2025-05-19,6.60,6.86,6.57,6.79,0.19,2.88,"5,323,059",,,,,
2025-05-18,6.65,6.68,6.60,6.60,-0.04,-0.60,"888,476",,,,,
2025-05-15,6.75,6.75,6.63,6.64,-0.13,-1.92,"2,347,150",,,,,
2025-05-14,6.65,6.80,6.63,6.77,0.14,2.11,"2,833,420",,,,,
2025-05-13,6.70,6.81,6.61,6.63,-0.05,-0.75,"2,334,580",,,,,
2025-05-12,6.65,6.73,6.63,6.68,0.04,0.60,"1,183,056",,,,,
2025-05-11,6.71,6.73,6.60,6.64,-0.04,-0.60,"1,096,093",,,,,
2025-05-08,6.80,6.83,6.65,6.68,-0.14,-2.05,"1,813,508",,,,,
2025-05-07,6.88,6.93,6.78,6.82,0.04,0.59,"3,326,412",,,,,
2025-05-06,6.83,6.90,6.72,6.78,-0.06,-0.88,"1,522,222",,,,,
2025-05-05,6.80,6.86,6.75,6.84,0.05,0.74,"1,482,054",,,,,
2025-05-04,6.92,6.98,6.76,6.79,-0.13,-1.88,"1,123,141",,,,,
2025-05-01,6.93,6.93,6.83,6.92,0.01,0.14,"912,755",,,,,
2025-04-30,7.02,7.05,6.82,6.91,-0.10,-1.43,"2,604,094",,,,,
2025-04-29,7.05,7.14,6.98,7.01,-0.04,-0.57,"4,226,162",,,,,
2025-04-28,7.17,7.22,7.02,7.05,-0.12,-1.67,"3,893,042",,,,,
2025-04-27,7.20,7.23,7.11,7.17,0.05,0.70,"2,712,175",,,,,
2025-04-24,7.19,7.24,7.11,7.12,-0.05,-0.70,"5,917,671",,,,,
2025-04-23,7.14,7.26,7.12,7.17,0.10,1.41,"2,852,825",,,,,
2025-04-22,7.11,7.20,7.05,7.07,-0.10,-1.39,"2,063,636",,,,,
2025-04-21,7.27,7.27,7.14,7.17,-0.07,-0.97,"1,850,121",,,,,
2025-04-20,7.11,7.30,7.11,7.24,0.16,2.26,"3,831,915",,,,,
2025-04-17,7.12,7.20,7.01,7.08,-0.05,-0.70,"2,657,010",,,,,
2025-04-16,7.03,7.17,6.94,7.13,0.09,1.28,"3,435,965",,,,,
2025-04-15,7.23,7.31,7.02,7.04,-0.19,-2.63,"4,965,461",,,,,
2025-04-14,7.28,7.48,7.20,7.23,0.01,0.14,"8,734,770",,,,,
2025-04-13,7.04,7.28,6.92,7.22,0.30,4.34,"4,998,600",,,,,
2025-04-10,7.14,7.20,6.92,6.92,0.26,3.90,"4,983,979",,,,,
2025-04-09,6.90,7.01,6.62,6.66,-0.39,-5.53,"2,281,502",,,,,
2025-04-08,7.07,7.15,7.02,7.05,0.10,1.44,"3,118,377",,,,,
2025-04-07,6.28,6.96,6.28,6.95,-0.02,-0.29,"8,785,310",,,,,
2025-04-06,7.13,7.49,6.97,6.97,-0.77,-9.95,"2,102,491",,,,,
2025-04-03,7.77,7.94,7.65,7.74,-0.18,-2.27,"1,015,588",,,,,
2025-03-27,7.86,8.06,7.79,7.92,0.15,1.93,"1,219,641",,,,,
2025-03-26,7.71,7.85,7.68,7.77,0.12,1.57,"1,230,146",,,,,
2025-03-25,8.03,8.03,7.53,7.65,-0.29,-3.65,"2,589,637",,,,,
2025-03-24,8.33,8.40,7.94,7.94,-0.39,-4.68,"3,159,640",,,,,
2025-03-23,8.25,8.54,8.24,8.33,0.09,1.09,"1,406,554",,,,,
2025-03-20,8.21,8.28,8.15,8.24,0.09,1.10,"482,976",,,,,
2025-03-19,8.16,8.18,7.95,8.15,-0.01,-0.12,"449,100",,,,,
2025-03-18,8.36,8.37,8.12,8.16,-0.18,-2.16,"1,100,826",,,,,
2025-03-17,8.30,8.39,8.24,8.34,0.07,0.85,"1,281,646",,,,,
2025-03-16,8.25,8.49,8.13,8.27,0.02,0.24,"2,078,574",,,,,
2025-03-13,8.07,8.39,8.07,8.25,0.19,2.36,"1,169,147",,,,,
2025-03-12,8.06,8.18,7.95,8.06,0.00,0.00,"534,168",,,,,
2025-03-11,7.92,8.12,7.80,8.06,-0.01,-0.12,"1,494,182",,,,,
2025-03-10,8.00,8.18,7.74,8.07,0.18,2.28,"1,260,865",,,,,
2025-03-09,8.01,8.03,7.68,7.89,-0.06,-0.75,"1,199,216",,,,,
2025-03-06,7.97,8.03,7.82,7.95,0.01,0.13,"1,033,478",,,,,
2025-03-05,8.27,8.28,7.91,7.94,-0.30,-3.64,"3,184,816",,,,,
2025-03-04,8.36,8.36,8.10,8.24,-0.15,-1.79,"3,098,190",,,,,
2025-03-03,8.63,8.64,8.27,8.39,-0.24,-2.78,"2,758,012",,,,,
2025-03-02,8.78,8.78,8.48,8.63,-0.10,-1.15,"1,506,496",,,,,
2025-02-27,9.30,9.38,8.42,8.73,-0.23,-2.57,"8,817,069",,,,,
2025-02-26,9.06,9.12,8.96,8.96,-0.09,-0.99,"1,187,425",,,,,
2025-02-25,8.72,9.11,8.67,9.05,0.36,4.14,"2,783,747",,,,,
2025-02-24,9.26,9.26,8.69,8.69,-0.49,-5.34,"2,952,742",,,,,
2025-02-20,9.24,9.35,9.00,9.18,-0.14,-1.50,"2,068,606",,,,,
2025-02-19,9.66,9.66,9.23,9.32,-0.33,-3.42,"3,643,370",,,,,
2025-02-18,9.75,9.78,9.56,9.65,-0.07,-0.72,"2,990,966",,,,,
2025-02-17,9.93,10.05,9.68,9.72,-0.18,-1.82,"2,969,044",,,,,
2025-02-16,10.01,10.08,9.84,9.90,-0.11,-1.10,"1,454,027",,,,,
