0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,26.50,26.60,26.20,26.20,-0.25,-0.95,"31,765",,,,,
2025-05-28,26.50,26.70,26.25,26.45,0.10,0.38,"14,903",,,,,
2025-05-27,27.10,27.30,26.20,26.35,-0.85,-3.13,"44,676",,,,,
2025-05-26,27.40,27.50,27.05,27.20,-0.90,-3.20,"56,201",,,,,
2025-05-25,28.20,28.45,27.65,28.10,-0.10,-0.35,"56,531",,,,,
2025-05-22,28.50,28.50,28.20,28.20,-0.30,-1.05,"21,896",,,,,
2025-05-21,29.10,29.20,28.45,28.50,-0.45,-1.55,"38,795",,,,,
2025-05-20,28.95,28.95,28.45,28.95,0.00,0.00,"69,705",,,,,
2025-05-19,28.75,29.00,28.25,28.95,0.50,1.76,"100,743",,,,,
2025-05-18,28.35,28.60,28.10,28.45,0.10,0.35,"20,705",,,,,
2025-05-15,28.65,28.65,28.00,28.35,-0.30,-1.05,"41,912",,,,,
2025-05-14,28.50,28.90,28.40,28.65,0.20,0.70,"75,319",,,,,
2025-05-13,28.50,28.75,28.20,28.45,-0.05,-0.18,"69,599",,,,,
2025-05-12,27.65,28.50,27.65,28.50,0.75,2.70,"65,405",,,,,
2025-05-11,27.95,28.05,27.50,27.75,-0.20,-0.72,"10,396",,,,,
2025-05-08,27.80,28.00,27.60,27.95,0.20,0.72,"23,189",,,,,
2025-05-07,28.15,28.15,27.60,27.75,-0.35,-1.25,"15,480",,,,,
2025-05-06,27.95,28.10,27.70,28.10,0.15,0.54,"29,877",,,,,
2025-05-05,27.50,28.05,27.35,27.95,0.45,1.64,"28,851",,,,,
2025-05-04,28.20,28.20,27.45,27.50,-0.45,-1.61,"26,546",,,,,
2025-05-01,28.15,28.40,27.70,27.95,-0.30,-1.06,"55,835",,,,,
2025-04-30,28.70,28.70,28.15,28.25,-0.50,-1.74,"64,782",,,,,
2025-04-29,28.80,28.95,28.65,28.75,0.05,0.17,"29,149",,,,,
2025-04-28,28.95,29.10,28.70,28.70,-0.25,-0.86,"39,334",,,,,
