0,1,2,3,4,5,6,7,8,9
2025-05-29,17.74,18.10,17.56,18.08,0.36,2.03,"241,778",,
2025-05-28,17.72,17.82,17.40,17.72,0.00,0.00,"200,475",,
2025-05-27,17.58,17.74,17.40,17.72,0.18,1.03,"285,948",,
2025-05-26,17.82,17.82,17.16,17.54,-0.24,-1.35,"304,696",,
2025-05-25,18.32,18.36,17.70,17.78,-0.62,-3.37,"202,045",,
2025-05-22,18.24,18.44,18.12,18.40,-0.22,-1.18,"285,427",,
2025-05-21,18.62,18.64,18.54,18.62,-0.02,-0.11,"85,133",,
2025-05-20,18.80,18.80,18.50,18.64,-0.16,-0.85,"318,803",,
2025-05-19,19.04,19.18,18.58,18.80,-0.26,-1.36,"235,089",,
2025-05-18,19.40,19.40,19.06,19.06,-0.18,-0.94,"65,688",,
2025-05-15,19.38,19.38,19.10,19.24,-0.16,-0.82,"177,109",,
2025-05-14,19.60,19.60,19.36,19.40,-0.08,-0.41,"56,877",,
2025-05-13,19.50,19.58,19.34,19.48,0.08,0.41,"134,644",,
2025-05-12,19.30,19.48,19.08,19.40,0.20,1.04,"283,534",,
2025-05-11,19.42,19.46,19.16,19.20,-0.20,-1.03,"59,854",,
2025-05-08,19.38,19.40,19.20,19.40,0.02,0.10,"131,285",,
2025-05-07,19.52,19.62,19.30,19.38,-0.32,-1.62,"137,274",,
2025-05-06,19.78,19.90,19.42,19.70,-0.20,-1.01,"327,436",,
2025-05-05,20.12,20.12,19.80,19.90,-0.20,-1.00,"198,771",,
2025-05-04,20.10,20.22,20.04,20.10,-0.10,-0.50,"70,155",,
2025-05-01,20.20,20.50,20.14,20.20,-0.10,-0.49,"210,755",,
2025-04-30,20.62,20.62,20.10,20.30,-0.34,-1.65,"368,381",,
2025-04-29,20.40,20.84,20.36,20.64,0.24,1.18,"177,538",,
2025-04-28,20.48,20.54,20.30,20.40,-0.14,-0.68,"84,167",,
2025-04-27,20.54,20.90,20.32,20.54,-0.26,-1.25,"90,387",,
2025-04-24,20.80,20.82,20.44,20.80,0.24,1.17,"163,652",,
2025-04-23,19.98,20.90,19.94,20.56,0.58,2.90,"1,169,468",,
2025-04-22,19.78,19.98,19.76,19.98,0.16,0.81,"131,855",,
2025-04-21,20.00,20.00,19.74,19.82,-0.22,-1.10,"82,478",,
2025-04-20,20.02,20.14,19.92,20.04,0.02,0.10,"161,537",,
2025-04-17,20.16,20.16,19.90,20.02,-0.08,-0.40,"257,392",,
2025-04-16,21.16,21.16,20.00,20.10,-0.96,-4.56,"661,815",,
2025-04-15,20.90,21.40,20.72,21.06,0.16,0.77,"775,542",,
2025-04-14,20.92,21.18,20.70,20.90,0.10,0.48,"279,390",,
2025-04-13,20.74,21.24,20.54,20.80,-0.24,-1.14,"378,507",,
2025-04-10,21.14,21.38,20.80,21.04,0.44,2.14,"411,342",,
2025-04-09,20.40,21.14,20.20,20.60,0.30,1.48,"553,531",,
2025-04-08,20.70,21.12,20.30,20.30,-0.40,-1.93,"304,989",,
2025-04-07,20.00,20.92,19.50,20.70,0.24,1.17,"632,993",,
