0,1,2,3,4,5,6,7,8,9
2025-05-29,116.40,125.00,115.00,124.00,9.00,7.83,"441,361",,
2025-05-28,114.20,117.40,113.60,115.00,0.40,0.35,"193,047",,
2025-05-27,114.00,117.20,112.00,114.60,1.00,0.88,"266,928",,
2025-05-26,117.00,117.60,112.00,113.60,-3.40,-2.91,"246,130",,
2025-05-25,120.60,121.00,116.20,117.00,-3.60,-2.99,"113,845",,
2025-05-22,124.80,125.00,120.40,120.60,-4.20,-3.37,"254,076",,
2025-05-21,127.80,128.20,123.60,124.80,-3.40,-2.65,"166,613",,
2025-05-20,129.20,130.40,128.00,128.20,-1.40,-1.08,"148,086",,
2025-05-19,131.60,132.20,128.40,129.60,-1.00,-0.77,"95,193",,
2025-05-18,129.40,131.80,128.40,130.60,1.20,0.93,"67,217",,
2025-05-15,132.40,132.40,128.60,129.40,-2.60,-1.97,"66,714",,
2025-05-14,129.40,132.60,129.40,132.00,2.60,2.01,"91,648",,
2025-05-13,130.60,131.20,128.40,129.40,-1.20,-0.92,"76,384",,
2025-05-12,128.00,131.00,127.20,130.60,3.60,2.83,"91,470",,
2025-05-11,130.00,130.00,126.00,127.00,-1.40,-1.09,"72,410",,
2025-05-08,130.40,131.40,128.20,128.40,-1.80,-1.38,"59,013",,
2025-05-07,130.60,132.60,129.40,130.20,1.20,0.93,"121,585",,
2025-05-06,131.00,131.00,128.20,129.00,-1.60,-1.23,"74,316",,
2025-05-05,130.20,131.80,128.00,130.60,0.40,0.31,"106,173",,
2025-05-04,133.00,133.00,130.00,130.20,-2.80,-2.11,"148,050",,
2025-05-01,135.00,135.00,131.60,133.00,-1.80,-1.34,"61,002",,
2025-04-30,137.20,137.20,133.20,134.80,-2.20,-1.61,"114,910",,
2025-04-29,134.80,138.20,134.20,137.00,2.40,1.78,"202,471",,
2025-04-28,134.60,134.80,132.20,134.60,0.60,0.45,"175,625",,
2025-04-27,134.60,135.60,133.80,134.00,0.20,0.15,"33,176",,
2025-04-24,133.00,136.20,132.20,133.80,0.80,0.60,"114,635",,
2025-04-23,134.40,136.80,132.60,133.00,-1.00,-0.75,"120,026",,
2025-04-22,135.00,135.80,133.00,134.00,-1.40,-1.03,"72,065",,
2025-04-21,136.00,136.60,135.00,135.40,-0.60,-0.44,"36,546",,
2025-04-20,135.00,137.40,135.00,136.00,0.80,0.59,"68,986",,
2025-04-17,137.40,137.60,135.00,135.20,-2.80,-2.03,"95,277",,
2025-04-16,138.40,139.60,137.00,138.00,-0.40,-0.29,"80,617",,
2025-04-15,138.80,140.00,137.20,138.40,0.20,0.14,"94,827",,
2025-04-14,139.40,141.60,137.20,138.20,-1.00,-0.72,"167,112",,
2025-04-13,138.60,142.40,138.00,139.20,0.60,0.43,"168,614",,
2025-04-10,139.80,139.80,134.40,138.60,8.80,6.78,"225,996",,
2025-04-09,134.00,136.00,129.00,129.80,-7.80,-5.67,"230,243",,
2025-04-08,140.00,140.60,134.00,137.60,-0.80,-0.58,"273,235",,
2025-04-07,125.00,140.80,119.20,138.40,6.00,4.53,"589,785",,
2025-04-06,138.80,138.80,132.40,132.40,-14.60,-9.93,"190,061",,
2025-04-03,148.20,148.60,145.40,147.00,-2.80,-1.87,"88,206",,
2025-03-27,149.20,150.80,147.80,149.80,-0.80,-0.53,"85,088",,
2025-03-26,147.80,152.40,147.20,150.60,2.80,1.89,"95,237",,
2025-03-25,154.00,154.00,147.40,147.80,-6.20,-4.03,"96,920",,
2025-03-24,143.20,157.60,142.00,154.00,10.60,7.39,"270,133",,
2025-03-23,145.00,146.40,143.20,143.40,-1.60,-1.10,"33,527",,
