0,1,2,3,4,5,6,7,8,9
2025-05-29,30.85,30.90,30.45,30.70,0.20,0.66,"103,830",,
2025-05-28,31.30,31.30,30.40,30.50,-0.25,-0.81,"139,676",,
2025-05-27,31.20,31.30,30.75,30.75,-0.40,-1.28,"30,612",,
2025-05-26,31.20,31.30,30.80,31.15,0.00,0.00,"33,126",,
2025-05-25,31.25,31.50,31.05,31.15,-0.10,-0.32,"8,182",,
2025-05-22,31.40,31.45,31.15,31.25,-0.35,-1.11,"19,497",,
2025-05-21,31.90,31.90,31.20,31.60,-0.35,-1.10,"68,787",,
2025-05-20,32.45,32.45,31.70,31.95,-0.50,-1.54,"101,055",,
2025-05-19,32.75,32.75,32.05,32.45,-0.30,-0.92,"43,712",,
2025-05-18,32.70,32.90,32.65,32.75,-0.10,-0.30,"8,440",,
2025-05-15,32.95,32.95,32.65,32.85,-0.10,-0.30,"12,479",,
2025-05-14,32.85,32.95,32.55,32.95,0.15,0.46,"15,189",,
2025-05-13,33.10,33.10,32.55,32.80,-0.10,-0.30,"22,601",,
2025-05-12,32.80,32.95,32.70,32.90,0.15,0.46,"17,639",,
2025-05-11,32.80,33.00,32.70,32.75,-0.05,-0.15,"10,353",,
2025-05-08,32.95,33.45,32.70,32.80,-0.15,-0.46,"55,059",,
2025-05-07,33.10,33.25,32.85,32.95,-0.50,-1.49,"18,925",,
2025-05-06,33.10,33.45,33.00,33.45,0.40,1.21,"18,736",,
2025-05-05,32.55,33.05,32.55,33.05,-0.20,-0.60,"74,639",,
2025-05-04,33.40,33.60,33.20,33.25,-0.25,-0.75,"46,384",,
2025-05-01,33.50,33.60,33.25,33.50,0.00,0.00,"38,563",,
2025-04-30,33.95,33.95,33.40,33.50,-0.30,-0.89,"40,009",,
2025-04-29,34.00,34.00,33.75,33.80,-0.15,-0.44,"26,272",,
2025-04-28,34.20,34.20,33.80,33.95,-0.10,-0.29,"36,187",,
2025-04-27,34.25,34.45,34.00,34.05,-0.20,-0.58,"34,530",,
2025-04-24,34.25,34.25,34.05,34.25,0.25,0.74,"51,949",,
2025-04-23,34.25,34.35,34.00,34.00,0.00,0.00,"106,006",,
2025-04-22,33.85,34.25,33.75,34.00,-0.10,-0.29,"53,605",,
2025-04-21,34.60,35.00,34.05,34.10,-1.60,-4.48,"124,740",,
2025-04-20,35.05,35.70,35.00,35.70,0.75,2.15,"210,051",,
2025-04-17,35.15,35.35,34.95,34.95,-0.35,-0.99,"95,526",,
2025-04-16,35.85,35.85,35.25,35.30,-0.40,-1.12,"56,408",,
2025-04-15,35.00,35.80,34.80,35.70,0.75,2.15,"71,032",,
2025-04-14,34.60,35.00,34.40,34.95,0.80,2.34,"44,064",,
2025-04-13,34.55,34.55,34.00,34.15,0.25,0.74,"68,202",,
2025-04-10,34.30,34.70,33.70,33.90,0.35,1.04,"114,702",,
2025-04-09,34.10,34.75,33.45,33.55,-0.45,-1.32,"44,825",,
2025-04-08,34.00,35.00,34.00,34.00,0.00,0.00,"58,214",,
2025-04-07,33.50,34.25,32.50,34.00,0.00,0.00,"71,843",,
2025-04-06,35.00,35.35,33.85,34.00,-2.40,-6.59,"65,759",,
2025-04-03,36.00,36.40,35.60,36.40,0.30,0.83,"48,876",,
2025-03-27,35.35,36.35,35.35,36.10,0.60,1.69,"97,714",,
2025-03-26,34.55,35.75,34.55,35.50,1.45,4.26,"133,231",,
2025-03-25,34.40,34.40,34.00,34.05,-0.35,-1.02,"88,464",,
2025-03-24,34.10,34.40,34.10,34.40,0.20,0.58,"21,989",,
2025-03-23,34.15,34.40,33.80,34.20,0.05,0.15,"19,692",,
2025-03-20,33.75,34.25,33.75,34.15,0.40,1.19,"36,041",,
2025-03-19,34.15,34.15,33.60,33.75,-0.45,-1.32,"37,008",,
2025-03-18,33.90,34.20,33.55,34.20,0.30,0.88,"20,365",,
2025-03-17,34.00,34.30,33.65,33.90,0.00,0.00,"26,243",,
2025-03-16,33.55,33.90,33.35,33.90,0.35,1.04,"13,569",,
2025-03-13,33.50,34.10,33.00,33.55,-0.45,-1.32,"34,243",,
2025-03-12,32.75,34.00,32.75,34.00,0.55,1.64,"31,641",,
2025-03-11,33.00,33.45,32.25,33.45,0.40,1.21,"48,301",,
2025-03-10,33.10,33.50,33.00,33.05,-0.15,-0.45,"25,266",,
2025-03-09,33.65,33.65,32.95,33.20,0.10,0.30,"19,968",,
2025-03-06,33.90,33.90,33.10,33.10,-0.60,-1.78,"71,029",,
2025-03-05,34.30,34.30,33.50,33.70,-0.45,-1.32,"40,010",,
2025-03-04,33.70,34.25,33.60,34.15,0.25,0.74,"13,122",,
2025-03-03,33.70,34.25,33.20,33.90,0.40,1.19,"27,860",,
2025-03-02,33.70,34.00,33.20,33.50,-0.50,-1.47,"36,190",,
2025-02-27,34.40,34.40,33.75,34.00,-0.40,-1.16,"40,568",,
2025-02-26,34.35,34.55,34.05,34.40,0.10,0.29,"26,280",,
2025-02-25,34.20,34.45,34.20,34.30,0.00,0.00,"64,516",,
2025-02-24,34.70,34.85,34.10,34.30,-0.40,-1.15,"44,778",,
2025-02-20,34.50,34.85,34.35,34.70,0.15,0.43,"33,004",,
2025-02-19,35.00,35.10,34.55,34.55,-0.55,-1.57,"35,681",,
2025-02-18,35.30,35.30,34.80,35.10,-0.20,-0.57,"49,758",,
2025-02-17,35.50,35.60,35.10,35.30,-0.20,-0.56,"26,451",,
2025-02-16,35.35,35.80,35.35,35.50,-0.70,-1.93,"90,883",,
2025-02-13,35.55,36.20,35.55,36.20,0.65,1.83,"41,693",,
2025-02-12,36.55,36.55,35.10,35.55,-0.90,-2.47,"95,933",,
2025-02-11,37.15,37.15,36.45,36.45,-0.75,-2.02,"49,260",,
2025-02-10,36.85,37.20,36.20,37.20,0.35,0.95,"84,469",,
2025-02-09,36.70,37.20,36.70,36.85,0.15,0.41,"87,042",,
2025-02-06,36.45,36.70,36.30,36.70,0.30,0.82,"52,381",,
2025-02-05,36.20,36.50,36.00,36.40,0.25,0.69,"57,484",,
2025-02-04,36.35,36.55,36.10,36.15,-0.20,-0.55,"42,691",,
2025-02-03,35.70,36.40,35.40,36.35,0.65,1.82,"99,948",,
2025-02-02,35.70,35.70,35.40,35.70,0.00,0.00,"65,157",,
2025-01-30,35.60,35.80,35.35,35.70,0.35,0.99,"33,098",,
2025-01-29,35.75,35.80,35.30,35.35,-0.40,-1.12,"50,060",,
2025-01-28,35.95,36.00,35.50,35.75,-0.20,-0.56,"85,673",,
2025-01-27,35.70,36.00,35.45,35.95,0.20,0.56,"39,651",,
2025-01-26,35.50,35.95,35.40,35.75,0.15,0.42,"75,523",,
2025-01-23,35.35,36.05,35.25,35.60,0.60,1.71,"137,417",,
2025-01-22,35.35,35.60,35.00,35.00,-0.35,-0.99,"73,712",,
2025-01-21,34.85,35.45,34.85,35.35,0.45,1.29,"32,067",,
2025-01-20,34.60,35.00,34.55,34.90,0.20,0.58,"34,295",,
2025-01-19,34.85,35.00,34.50,34.70,-0.15,-0.43,"33,194",,
2025-01-16,34.90,35.30,34.85,34.85,-0.05,-0.14,"74,254",,
2025-01-15,34.65,35.40,34.65,34.90,0.25,0.72,"79,225",,
2025-01-14,34.50,34.70,34.50,34.65,0.05,0.14,"16,768",,
2025-01-13,34.70,34.90,34.45,34.60,-0.10,-0.29,"71,388",,
2025-01-12,34.50,34.75,34.35,34.70,0.20,0.58,"50,846",,
2025-01-09,34.60,34.70,34.30,34.50,0.20,0.58,"29,352",,
2025-01-08,34.35,34.80,34.10,34.30,-0.20,-0.58,"78,164",,
2025-01-07,34.10,34.65,34.10,34.50,0.40,1.17,"69,145",,
2025-01-06,34.50,34.50,34.05,34.10,-0.15,-0.44,"80,148",,
2025-01-05,34.60,34.60,33.80,34.25,-0.35,-1.01,"73,088",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,34.60,34.60,33.80,34.25,-0.35,-1.01,"73,088",,
2025-01-02,34.90,34.90,34.10,34.60,-0.30,-0.86,"102,079",,
2025-01-01,34.35,34.95,34.05,34.90,0.50,1.45,"79,751",,
2024-12-31,34.05,34.45,33.85,34.40,0.15,0.44,"80,189",,
2024-12-30,34.10,34.45,33.85,34.25,0.05,0.15,"27,415",,
2024-12-29,34.60,34.60,34.00,34.20,-0.10,-0.29,"31,282",,
2024-12-26,34.70,34.70,34.30,34.30,-0.10,-0.29,"10,836",,
2024-12-25,34.35,34.90,34.15,34.40,0.05,0.15,"28,008",,
2024-12-24,34.80,34.80,34.10,34.35,-0.45,-1.29,"56,252",,
2024-12-23,34.70,34.85,34.35,34.80,0.10,0.29,"46,430",,
2024-12-22,34.70,34.90,34.55,34.70,0.05,0.14,"47,616",,
2024-12-19,34.75,35.00,34.65,34.65,-0.35,-1.00,"70,152",,
2024-12-18,34.80,35.00,34.35,35.00,0.20,0.57,"73,428",,
2024-12-17,34.95,34.95,34.55,34.80,0.05,0.14,"35,349",,
2024-12-16,34.75,34.85,34.55,34.75,-0.05,-0.14,"43,812",,
2024-12-15,34.80,35.15,34.50,34.80,0.00,0.00,"69,110",,
2024-12-12,35.00,35.10,34.80,34.80,-0.20,-0.57,"54,794",,
2024-12-11,34.65,35.00,34.65,35.00,0.20,0.57,"46,919",,
2024-12-10,35.10,35.20,34.55,34.80,-0.15,-0.43,"74,177",,
2024-12-09,34.55,35.10,34.55,34.95,0.40,1.16,"103,174",,
2024-12-08,34.50,34.90,34.50,34.55,0.10,0.29,"45,549",,
2024-12-05,33.50,34.45,33.50,34.45,0.95,2.84,"113,831",,
2024-12-04,33.70,33.90,33.40,33.50,-0.20,-0.59,"101,739",,
2024-12-03,33.90,33.95,33.70,33.70,-0.20,-0.59,"30,105",,
2024-12-02,33.70,33.95,33.40,33.90,0.20,0.59,"31,234",,
2024-12-01,33.10,33.90,33.10,33.70,0.40,1.20,"27,299",,
2024-11-28,33.10,33.35,33.05,33.30,-0.05,-0.15,"56,594",,
2024-11-27,33.55,33.60,33.15,33.35,-0.05,-0.15,"55,391",,
2024-11-26,33.70,34.20,33.30,33.40,-0.45,-1.33,"68,638",,
2024-11-25,33.90,34.15,33.80,33.85,-0.30,-0.88,"45,164",,
2024-11-24,33.95,34.25,33.80,34.15,0.20,0.59,"29,880",,
2024-11-21,33.55,33.95,33.55,33.95,0.15,0.44,"71,719",,
2024-11-20,33.50,33.80,33.40,33.80,0.10,0.30,"33,122",,
2024-11-19,33.70,34.00,33.50,33.70,0.00,0.00,"34,011",,
2024-11-18,33.80,33.90,33.25,33.70,0.10,0.30,"65,132",,
2024-11-17,33.90,33.95,33.30,33.60,0.10,0.30,"38,172",,
2024-11-14,33.65,34.45,33.25,33.50,-0.15,-0.45,"105,003",,
2024-11-13,34.05,34.30,33.55,33.65,-0.90,-2.60,"106,901",,
2024-11-12,34.15,35.60,33.75,34.55,0.75,2.22,"279,492",,
2024-11-11,34.00,34.15,33.50,33.80,-0.05,-0.15,"78,726",,
2024-11-10,33.40,34.40,33.20,33.85,1.10,3.36,"179,915",,
2024-11-07,32.20,33.10,32.10,32.75,0.70,2.18,"194,128",,
2024-11-06,31.85,32.40,31.85,32.05,0.25,0.79,"173,088",,
2024-11-05,32.25,32.25,31.75,31.80,-0.45,-1.40,"225,130",,
2024-11-04,34.60,34.60,32.25,32.25,-2.35,-6.79,"535,652",,
2024-11-03,34.85,34.90,34.05,34.60,-0.15,-0.43,"47,977",,
2024-10-31,34.85,34.85,34.55,34.75,-0.15,-0.43,"127,454",,
2024-10-30,35.50,35.50,34.90,34.90,-0.60,-1.69,"48,436",,
2024-10-29,35.60,35.90,35.15,35.50,-0.30,-0.84,"39,818",,
2024-10-28,36.20,36.20,35.30,35.80,0.10,0.28,"41,864",,
2024-10-27,35.20,35.90,35.20,35.70,0.25,0.71,"22,235",,
2024-10-24,35.50,35.75,35.10,35.45,-0.35,-0.98,"26,779",,
2024-10-23,36.30,36.30,35.55,35.80,-0.50,-1.38,"60,249",,
2024-10-22,36.30,36.45,35.95,36.30,-0.10,-0.27,"76,961",,
2024-10-21,36.20,36.50,35.70,36.40,0.25,0.69,"114,333",,
2024-10-20,36.00,36.25,35.00,36.15,0.00,0.00,"100,221",,
2024-10-17,37.05,37.35,36.15,36.15,-1.25,-3.34,"262,809",,
2024-10-16,33.80,37.40,33.60,37.40,3.40,10.00,"734,937",,
2024-10-15,33.05,34.10,33.05,34.00,0.65,1.95,"163,141",,
2024-10-14,32.50,33.40,32.45,33.35,1.00,3.09,"178,700",,
2024-10-13,32.95,33.00,32.35,32.35,-0.55,-1.67,"52,290",,
2024-10-10,32.90,32.95,32.55,32.90,0.00,0.00,"73,256",,
2024-10-09,32.95,32.95,32.40,32.90,0.10,0.30,"52,091",,
2024-10-08,32.60,32.90,32.25,32.80,0.15,0.46,"62,495",,
2024-10-07,31.95,32.70,31.85,32.65,1.05,3.32,"96,029",,
2024-10-06,32.30,32.50,31.55,31.60,-0.70,-2.17,"90,565",,
2024-10-03,32.30,32.60,32.15,32.30,0.00,0.00,"93,575",,
2024-10-02,32.80,32.80,32.20,32.30,-0.60,-1.82,"81,255",,
2024-10-01,32.30,32.90,32.30,32.90,0.65,2.02,"79,007",,
2024-09-30,32.60,32.65,32.25,32.25,-0.35,-1.07,"66,311",,
2024-09-29,32.55,32.80,32.50,32.60,0.00,0.00,"29,521",,
2024-09-26,32.25,32.95,32.25,32.60,0.15,0.46,"159,053",,
2024-09-25,32.40,32.45,32.20,32.45,0.00,0.00,"39,615",,
2024-09-24,32.25,32.50,32.10,32.45,0.20,0.62,"111,224",,
2024-09-22,32.30,32.50,32.10,32.25,-0.05,-0.15,"34,625",,
2024-09-19,32.25,32.35,31.95,32.30,0.10,0.31,"124,214",,
2024-09-18,32.00,32.35,31.90,32.20,-0.15,-0.46,"71,101",,
2024-09-17,32.20,32.35,31.75,32.35,0.35,1.09,"68,948",,
2024-09-16,31.85,32.25,31.85,32.00,-0.65,-1.99,"111,116",,
2024-09-15,32.50,32.95,32.50,32.65,0.25,0.77,"177,658",,
2024-09-12,32.50,32.55,32.15,32.40,0.00,0.00,"46,846",,
2024-09-11,32.55,32.55,32.25,32.40,-0.10,-0.31,"42,932",,
2024-09-10,32.50,32.55,32.25,32.50,0.20,0.62,"35,861",,
2024-09-09,32.35,32.55,32.20,32.30,-0.05,-0.15,"40,947",,
2024-09-08,32.30,32.75,32.30,32.35,-0.15,-0.46,"55,673",,
2024-09-05,33.00,33.15,32.25,32.50,-0.40,-1.22,"48,337",,
2024-09-04,32.55,32.95,32.35,32.90,-0.10,-0.30,"60,360",,
2024-09-03,33.00,33.40,32.85,33.00,-0.05,-0.15,"69,502",,
2024-09-02,32.70,33.20,32.70,33.05,0.35,1.07,"170,458",,
2024-09-01,32.10,32.75,32.10,32.70,0.70,2.19,"78,676",,
2024-08-29,32.65,32.65,32.00,32.00,-0.60,-1.84,"147,584",,
2024-08-28,32.70,32.90,32.30,32.60,0.05,0.15,"71,001",,
2024-08-27,32.50,32.65,32.35,32.55,0.10,0.31,"104,042",,
2024-08-26,32.70,32.70,32.35,32.45,-0.05,-0.15,"41,099",,
2024-08-25,32.50,32.70,32.40,32.50,0.30,0.93,"62,863",,
2024-08-22,32.25,32.45,32.00,32.20,-0.05,-0.16,"33,055",,
2024-08-21,31.85,32.25,31.70,32.25,0.30,0.94,"39,840",,
2024-08-20,32.20,32.35,31.85,31.95,-0.25,-0.78,"72,349",,
2024-08-19,32.20,32.30,32.00,32.20,-0.25,-0.77,"45,671",,
2024-08-18,31.85,32.55,31.80,32.45,0.65,2.04,"60,405",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2024-08-15,32.00,32.10,31.65,31.80,-0.20,-0.63,"50,019",,
2024-08-14,31.85,32.25,31.70,32.00,0.30,0.95,"64,065",,
2024-08-13,31.40,31.70,31.05,31.70,0.30,0.96,"26,631",,
2024-08-12,31.45,31.55,31.20,31.40,0.10,0.32,"21,993",,
2024-08-11,31.15,31.40,31.00,31.30,0.30,0.97,"39,278",,
2024-08-08,30.85,31.25,30.65,31.00,-0.10,-0.32,"36,730",,
2024-08-07,30.40,31.10,30.40,31.10,0.90,2.98,"96,376",,
