0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,35.00,35.00,34.35,34.50,0.10,0.29,"33,003",,,,,
2025-05-28,35.00,35.15,34.40,34.40,0.20,0.58,"29,448",,,,,
2025-05-27,35.00,35.70,34.10,34.20,-0.55,-1.58,"34,445",,,,,
2025-05-26,35.15,35.65,34.30,34.75,-0.70,-1.97,"35,240",,,,,
2025-05-25,36.00,36.05,35.20,35.45,-0.55,-1.53,"26,834",,,,,
2025-05-22,35.80,36.25,35.55,36.00,0.15,0.42,"39,057",,,,,
2025-05-21,36.15,36.20,35.45,35.85,-0.30,-0.83,"28,321",,,,,
2025-05-20,36.20,36.20,35.65,36.15,0.35,0.98,"40,228",,,,,
2025-05-19,36.35,36.35,35.60,35.80,-0.55,-1.51,"37,952",,,,,
2025-05-18,36.70,36.95,36.00,36.35,-0.90,-2.42,"74,562",,,,,
2025-05-15,38.00,38.00,36.95,37.25,-0.40,-1.06,"46,724",,,,,
2025-05-14,37.85,38.20,37.45,37.65,0.20,0.53,"39,751",,,,,
2025-05-13,37.80,38.10,37.40,37.45,-0.20,-0.53,"42,686",,,,,
2025-05-12,37.05,37.80,37.00,37.65,0.80,2.17,"59,705",,,,,
2025-05-11,37.00,37.45,36.70,36.85,-0.15,-0.41,"29,200",,,,,
2025-05-08,37.65,37.65,36.85,37.00,-0.65,-1.73,"40,713",,,,,
2025-05-07,38.40,38.40,37.50,37.65,-0.45,-1.18,"27,734",,,,,
2025-05-06,38.20,38.95,38.10,38.10,-0.10,-0.26,"47,679",,,,,
2025-05-05,38.00,38.40,37.75,38.20,0.15,0.39,"42,150",,,,,
2025-05-04,38.10,38.50,37.70,38.05,-0.15,-0.39,"39,304",,,,,
2025-05-01,38.70,38.85,38.10,38.20,-0.50,-1.29,"41,757",,,,,
2025-04-30,39.50,39.75,38.45,38.70,-0.80,-2.03,"74,864",,,,,
2025-04-29,40.00,40.30,39.50,39.50,-0.70,-1.74,"75,650",,,,,
2025-04-28,39.70,41.50,39.55,40.20,1.10,2.81,"496,924",,,,,
