0,1,2,3,4,5,6,7,8,9
2025-05-29,11.18,11.32,11.10,11.22,0.10,0.90,"107,736",,
2025-05-28,11.04,11.24,11.04,11.12,0.08,0.72,"133,968",,
2025-05-27,11.48,11.48,10.98,11.04,-0.08,-0.72,"198,163",,
2025-05-26,11.44,11.46,10.92,11.12,-0.34,-2.97,"501,678",,
2025-05-25,11.48,11.62,11.40,11.46,0.00,0.00,"171,237",,
2025-05-22,11.52,11.52,11.40,11.46,-0.08,-0.69,"87,769",,
2025-05-21,11.72,11.72,11.48,11.54,-0.20,-1.70,"162,881",,
2025-05-20,11.78,11.80,11.68,11.74,-0.06,-0.51,"145,533",,
2025-05-19,11.88,11.88,11.74,11.80,-0.08,-0.67,"109,458",,
2025-05-18,12.04,12.06,11.82,11.88,-0.12,-1.00,"101,755",,
2025-05-15,12.20,12.24,11.90,12.00,-0.24,-1.96,"254,976",,
2025-05-14,12.18,12.30,12.18,12.24,0.06,0.49,"106,101",,
2025-05-13,12.40,12.42,12.16,12.18,-0.16,-1.30,"181,865",,
2025-05-12,12.14,12.38,12.14,12.34,0.28,2.32,"201,543",,
2025-05-11,12.20,12.20,12.00,12.06,-0.04,-0.33,"107,282",,
2025-05-08,12.10,12.18,12.06,12.10,-0.02,-0.17,"77,162",,
2025-05-07,12.36,12.36,12.10,12.12,-0.16,-1.30,"116,194",,
2025-05-06,12.24,12.76,12.12,12.28,0.00,0.00,"560,120",,
2025-05-05,12.20,12.46,12.00,12.28,0.08,0.66,"176,420",,
2025-05-04,12.30,12.36,12.14,12.20,-0.20,-1.61,"130,868",,
2025-05-01,12.44,12.50,12.34,12.40,-0.04,-0.32,"103,506",,
2025-04-30,12.70,12.70,12.40,12.44,-0.26,-2.05,"171,989",,
2025-04-29,12.86,12.90,12.68,12.70,-0.16,-1.24,"196,777",,
2025-04-28,13.04,13.04,12.74,12.86,-0.16,-1.23,"297,731",,
2025-04-27,13.16,13.20,12.96,13.02,0.00,0.00,"254,091",,
2025-04-24,12.70,13.14,12.68,13.02,0.30,2.36,"795,640",,
2025-04-23,12.90,13.02,12.60,12.72,-0.18,-1.40,"623,054",,
2025-04-22,12.84,12.94,12.68,12.90,0.04,0.31,"87,452",,
2025-04-21,13.10,13.10,12.80,12.86,-0.18,-1.38,"112,768",,
2025-04-20,12.70,13.04,12.70,13.04,0.30,2.35,"151,822",,
2025-04-17,12.90,12.90,12.68,12.74,-0.24,-1.85,"222,105",,
2025-04-16,13.10,13.20,12.90,12.98,-0.12,-0.92,"233,941",,
2025-04-15,13.20,13.28,13.06,13.10,-0.02,-0.15,"244,159",,
2025-04-14,12.98,13.20,12.90,13.12,0.16,1.23,"153,470",,
2025-04-13,12.98,13.32,12.76,12.96,0.26,2.05,"342,350",,
2025-04-10,12.80,12.98,12.56,12.70,0.38,3.08,"220,418",,
2025-04-09,12.36,12.66,12.22,12.32,-0.12,-0.96,"268,508",,
2025-04-08,12.36,12.84,12.36,12.44,0.08,0.65,"270,951",,
2025-04-07,12.00,12.42,11.36,12.36,0.30,2.49,"647,886",,
2025-04-06,13.00,13.02,12.06,12.06,-1.34,-10.00,"576,084",,
2025-04-03,13.80,13.88,13.32,13.40,-0.66,-4.69,"659,630",,
2025-03-27,14.02,14.08,13.88,14.06,0.08,0.57,"296,439",,
2025-03-26,14.06,14.20,13.96,13.98,-0.02,-0.14,"254,368",,
2025-03-25,13.90,14.32,13.82,14.00,0.12,0.86,"236,414",,
2025-03-24,14.00,14.02,13.84,13.88,-0.08,-0.57,"123,881",,
2025-03-23,14.06,14.14,13.94,13.96,-0.10,-0.71,"107,165",,
2025-03-20,14.00,14.06,13.90,14.06,0.12,0.86,"148,969",,
2025-03-19,14.08,14.08,13.74,13.94,-0.12,-0.85,"278,732",,
2025-03-18,14.40,14.40,14.04,14.06,-0.26,-1.82,"128,669",,
2025-03-17,14.42,14.66,14.26,14.32,0.04,0.28,"193,926",,
2025-03-16,14.32,14.50,14.18,14.28,-0.04,-0.28,"268,348",,
2025-03-13,14.70,14.70,14.00,14.32,-0.10,-0.69,"164,030",,
2025-03-12,14.20,14.50,14.16,14.42,0.34,2.41,"137,570",,
2025-03-11,14.10,14.22,13.80,14.08,-0.02,-0.14,"156,914",,
