0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,9.12,9.16,9.08,9.14,0.02,0.22,"2,854,847",,,,,
2025-05-28,9.15,9.19,9.10,9.12,0.01,0.11,"1,410,910",,,,,
2025-05-27,9.17,9.19,9.08,9.11,-0.05,-0.55,"2,211,793",,,,,
2025-05-26,9.37,9.40,9.06,9.16,-0.20,-2.14,"2,134,665",,,,,
2025-05-25,9.09,9.42,9.04,9.36,0.31,3.43,"3,178,179",,,,,
2025-05-22,9.15,9.15,9.03,9.05,-0.14,-1.52,"3,031,395",,,,,
2025-05-21,9.32,9.37,9.18,9.19,-0.14,-1.50,"2,028,864",,,,,
2025-05-20,9.41,9.41,9.30,9.33,-0.09,-0.96,"2,110,535",,,,,
2025-05-19,9.56,9.58,9.41,9.42,-0.13,-1.36,"3,734,016",,,,,
2025-05-18,9.60,9.64,9.52,9.55,-0.05,-0.52,"981,938",,,,,
2025-05-15,9.62,9.72,9.60,9.60,-0.02,-0.21,"2,594,609",,,,,
2025-05-14,9.60,9.67,9.58,9.62,0.03,0.31,"1,917,313",,,,,
2025-05-13,9.74,9.77,9.57,9.59,-0.13,-1.34,"2,126,593",,,,,
2025-05-12,9.88,9.95,9.68,9.72,0.11,1.14,"6,626,397",,,,,
2025-05-11,9.31,9.62,9.31,9.61,0.30,3.22,"1,458,633",,,,,
2025-05-08,9.42,9.48,9.31,9.31,-0.17,-1.79,"1,261,209",,,,,
2025-05-07,9.49,9.51,9.34,9.48,-0.03,-0.32,"1,703,710",,,,,
2025-05-06,9.49,9.66,9.46,9.51,-0.01,-0.11,"2,265,691",,,,,
2025-05-05,9.46,9.53,9.33,9.52,0.03,0.32,"1,936,869",,,,,
2025-05-04,9.22,9.51,9.22,9.49,0.21,2.26,"3,084,217",,,,,
2025-05-01,9.21,9.32,9.08,9.28,0.04,0.43,"6,547,748",,,,,
2025-04-30,9.39,9.39,9.22,9.24,-0.15,-1.60,"2,058,871",,,,,
2025-04-29,9.48,9.51,9.36,9.39,-0.11,-1.16,"3,346,696",,,,,
2025-04-28,9.70,9.70,9.48,9.50,-0.19,-1.96,"3,709,140",,,,,
2025-04-27,9.75,9.81,9.67,9.69,-0.06,-0.62,"3,799,320",,,,,
2025-04-24,9.60,10.18,9.58,9.75,0.35,3.72,"17,941,349",,,,,
2025-04-23,9.30,9.41,9.30,9.40,0.12,1.29,"1,696,853",,,,,
2025-04-22,9.20,9.32,9.16,9.28,0.07,0.76,"1,945,366",,,,,
2025-04-21,9.19,9.29,9.14,9.21,0.05,0.55,"1,614,454",,,,,
2025-04-20,9.16,9.24,9.16,9.16,0.01,0.11,"926,944",,,,,
2025-04-17,9.00,9.38,8.99,9.15,0.10,1.10,"4,803,467",,,,,
2025-04-16,8.96,9.07,8.95,9.05,0.05,0.56,"2,699,471",,,,,
2025-04-15,9.09,9.11,8.99,9.00,-0.09,-0.99,"2,594,063",,,,,
2025-04-14,9.01,9.15,8.98,9.09,0.09,1.00,"1,956,054",,,,,
2025-04-13,9.02,9.08,8.98,9.00,0.00,0.00,"2,734,693",,,,,
2025-04-10,9.00,9.05,8.93,9.00,0.24,2.74,"1,659,557",,,,,
2025-04-09,8.82,8.91,8.70,8.76,-0.11,-1.24,"1,848,130",,,,,
2025-04-08,8.90,9.03,8.77,8.87,0.07,0.80,"1,818,698",,,,,
2025-04-07,8.65,8.88,8.53,8.80,0.08,0.92,"2,532,925",,,,,
2025-04-06,9.12,9.12,8.67,8.72,-0.48,-5.22,"3,020,874",,,,,
2025-04-03,9.34,9.34,9.20,9.20,-0.16,-1.71,"1,386,762",,,,,
2025-03-27,9.30,9.38,9.29,9.36,0.06,0.65,"1,330,175",,,,,
2025-03-26,9.25,9.33,9.24,9.30,0.07,0.76,"1,133,004",,,,,
2025-03-25,9.28,9.32,9.21,9.23,0.00,0.00,"1,155,123",,,,,
2025-03-24,9.13,9.24,9.12,9.23,0.10,1.10,"737,075",,,,,
2025-03-23,9.20,9.22,9.10,9.13,-0.05,-0.54,"1,372,065",,,,,
2025-03-20,9.30,9.36,9.18,9.18,-0.16,-1.71,"1,527,275",,,,,
2025-03-19,9.35,9.38,9.21,9.34,-0.01,-0.11,"1,330,172",,,,,
2025-03-18,9.42,9.46,9.30,9.35,0.01,0.11,"1,554,536",,,,,
2025-03-17,9.41,9.70,9.24,9.34,0.08,0.86,"5,536,442",,,,,
2025-03-16,9.15,9.32,9.11,9.26,0.12,1.31,"1,383,017",,,,,
2025-03-13,9.16,9.17,9.09,9.14,-0.01,-0.11,"824,904",,,,,
2025-03-12,8.98,9.15,8.98,9.15,0.17,1.89,"1,156,105",,,,,
2025-03-11,9.00,9.05,8.87,8.98,-0.07,-0.77,"1,774,674",,,,,
2025-03-10,8.98,9.07,8.93,9.05,0.08,0.89,"1,344,611",,,,,
2025-03-09,9.04,9.06,8.88,8.97,-0.05,-0.55,"1,263,708",,,,,
2025-03-06,9.11,9.15,8.99,9.02,-0.08,-0.88,"3,291,833",,,,,
2025-03-05,9.21,9.26,9.05,9.10,-0.11,-1.19,"1,458,269",,,,,
2025-03-04,9.29,9.29,9.12,9.21,-0.07,-0.75,"1,868,296",,,,,
2025-03-03,9.27,9.33,9.17,9.28,0.01,0.11,"1,419,637",,,,,
2025-03-02,9.35,9.35,9.15,9.27,-0.03,-0.32,"2,072,318",,,,,
2025-02-27,9.51,9.51,9.25,9.30,-0.21,-2.21,"2,830,569",,,,,
2025-02-26,9.60,9.60,9.45,9.51,-0.11,-1.14,"1,745,273",,,,,
2025-02-25,9.60,9.64,9.49,9.62,0.00,0.00,"1,744,113",,,,,
2025-02-24,9.90,9.94,9.58,9.62,-0.28,-2.83,"4,440,345",,,,,
2025-02-20,10.06,10.06,9.87,9.90,-0.10,-1.00,"3,133,100",,,,,
2025-02-19,10.02,10.02,9.95,10.00,-0.02,-0.20,"1,475,961",,,,,
2025-02-18,10.00,10.06,9.98,10.02,0.00,0.00,"1,757,515",,,,,
2025-02-17,10.08,10.08,9.99,10.02,-0.06,-0.60,"1,325,658",,,,,
2025-02-16,10.10,10.14,10.06,10.08,-0.04,-0.40,"1,100,356",,,,,
2025-02-13,10.08,10.14,10.06,10.12,0.04,0.40,"1,270,096",,,,,
2025-02-12,10.08,10.10,10.06,10.08,0.02,0.20,"786,512",,,,,
2025-02-11,10.16,10.20,10.06,10.06,-0.14,-1.37,"2,107,038",,,,,
2025-02-10,10.20,10.22,10.14,10.20,0.00,0.00,"1,051,141",,,,,
2025-02-09,10.28,10.36,10.18,10.20,-0.08,-0.78,"1,752,857",,,,,
2025-02-06,10.26,10.30,10.24,10.28,0.02,0.19,"1,363,456",,,,,
2025-02-05,10.32,10.34,10.26,10.26,-0.06,-0.58,"1,173,593",,,,,
2025-02-04,10.26,10.36,10.22,10.32,0.08,0.78,"1,643,874",,,,,
2025-02-03,10.30,10.32,10.22,10.24,-0.10,-0.97,"1,355,728",,,,,
2025-02-02,10.22,10.36,10.20,10.34,0.12,1.17,"2,135,340",,,,,
2025-01-30,10.12,10.26,10.10,10.22,0.10,0.99,"2,901,638",,,,,
2025-01-29,10.14,10.20,10.10,10.12,0.00,0.00,"1,854,784",,,,,
2025-01-28,10.14,10.22,10.10,10.12,-0.02,-0.20,"2,262,721",,,,,
2025-01-27,10.14,10.20,10.12,10.14,0.00,0.00,"1,124,020",,,,,
2025-01-26,10.14,10.24,10.14,10.14,0.00,0.00,"1,993,896",,,,,
