0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,13.44,13.68,13.44,13.50,0.10,0.75,"42,025",,,,,
2025-05-28,13.02,13.44,13.02,13.40,0.22,1.67,"32,317",,,,,
2025-05-27,13.34,13.40,13.02,13.18,-0.14,-1.05,"89,991",,,,,
2025-05-26,13.76,13.96,13.02,13.32,-0.54,-3.90,"231,920",,,,,
2025-05-25,14.10,14.10,13.76,13.86,-0.24,-1.70,"53,295",,,,,
2025-05-22,14.16,14.34,14.10,14.10,-0.10,-0.70,"58,904",,,,,
2025-05-21,14.58,14.70,14.20,14.20,-0.40,-2.74,"102,836",,,,,
2025-05-20,14.70,14.70,14.42,14.60,0.06,0.41,"62,156",,,,,
2025-05-19,14.84,14.94,14.54,14.54,-0.30,-2.02,"59,538",,,,,
2025-05-18,14.94,14.98,14.84,14.84,-0.10,-0.67,"51,022",,,,,
2025-05-15,15.18,15.18,14.92,14.94,-0.24,-1.58,"56,447",,,,,
2025-05-14,14.90,15.34,14.84,15.18,0.34,2.29,"236,165",,,,,
2025-05-13,15.00,15.02,14.80,14.84,-0.04,-0.27,"54,932",,,,,
2025-05-12,14.70,14.96,14.50,14.88,0.32,2.20,"99,665",,,,,
2025-05-11,14.76,14.80,14.46,14.56,-0.16,-1.09,"80,930",,,,,
2025-05-08,14.94,15.02,14.68,14.72,-0.18,-1.21,"78,551",,,,,
2025-05-07,15.02,15.16,14.88,14.90,-0.12,-0.80,"49,583",,,,,
2025-05-06,15.12,15.28,15.02,15.02,-0.10,-0.66,"80,653",,,,,
2025-05-05,14.96,15.24,14.84,15.12,0.12,0.80,"106,339",,,,,
2025-05-04,15.18,15.50,15.00,15.00,-0.32,-2.09,"106,028",,,,,
2025-05-01,15.36,15.46,15.18,15.32,-0.20,-1.29,"94,264",,,,,
2025-04-30,15.72,15.84,15.36,15.52,-0.22,-1.40,"145,545",,,,,
2025-04-29,15.80,16.04,15.74,15.74,-0.06,-0.38,"132,302",,,,,
2025-04-28,16.04,16.08,15.74,15.80,-0.20,-1.25,"157,037",,,,,
2025-04-27,15.64,16.20,15.64,16.00,0.54,3.49,"682,977",,,,,
2025-04-24,15.26,15.62,15.14,15.46,0.10,0.65,"292,549",,,,,
2025-04-23,15.14,15.36,15.06,15.36,0.30,1.99,"174,418",,,,,
2025-04-22,15.06,15.34,14.98,15.06,0.00,0.00,"149,481",,,,,
2025-04-21,15.20,15.20,15.06,15.06,-0.10,-0.66,"76,899",,,,,
2025-04-20,14.90,15.40,14.90,15.16,0.28,1.88,"126,145",,,,,
2025-04-17,15.12,15.12,14.86,14.88,-0.32,-2.11,"100,474",,,,,
2025-04-16,15.00,15.20,14.94,15.20,0.18,1.20,"152,445",,,,,
2025-04-15,14.90,15.64,14.76,15.02,0.40,2.74,"616,295",,,,,
2025-04-14,14.58,14.76,14.50,14.62,0.06,0.41,"128,618",,,,,
2025-04-13,14.18,14.58,14.18,14.56,0.38,2.68,"98,920",,,,,
2025-04-10,14.18,14.18,13.88,14.18,0.70,5.19,"166,518",,,,,
2025-04-09,13.76,13.98,13.46,13.48,-0.42,-3.02,"144,401",,,,,
2025-04-08,14.00,14.16,13.68,13.90,0.30,2.21,"166,047",,,,,
2025-04-07,12.80,13.84,12.52,13.60,0.04,0.29,"244,683",,,,,
2025-04-06,14.50,14.54,13.54,13.56,-1.48,-9.84,"215,015",,,,,
2025-04-03,15.42,15.42,15.04,15.04,-0.44,-2.84,"89,167",,,,,
2025-03-27,15.34,15.60,15.32,15.48,0.14,0.91,"153,981",,,,,
2025-03-26,15.18,15.44,15.16,15.34,-0.04,-0.26,"147,501",,,,,
2025-03-25,15.46,15.50,15.20,15.38,-0.08,-0.52,"29,471",,,,,
2025-03-24,15.36,15.48,15.16,15.46,0.06,0.39,"39,580",,,,,
2025-03-23,15.48,15.58,15.12,15.40,-0.04,-0.26,"106,718",,,,,
2025-03-20,15.44,15.54,15.34,15.44,0.06,0.39,"36,401",,,,,
2025-03-19,15.38,15.62,15.20,15.38,0.00,0.00,"76,346",,,,,
2025-03-18,15.86,15.90,15.36,15.38,-0.50,-3.15,"76,171",,,,,
2025-03-17,16.00,16.26,15.80,15.88,-0.02,-0.13,"140,456",,,,,
2025-03-16,15.64,16.02,15.64,15.90,0.32,2.05,"48,463",,,,,
2025-03-13,15.70,15.74,15.50,15.58,-0.06,-0.38,"61,781",,,,,
2025-03-12,15.54,15.80,15.54,15.64,0.10,0.64,"88,229",,,,,
2025-03-11,15.20,15.70,15.00,15.54,0.28,1.83,"66,698",,,,,
2025-03-10,15.74,15.74,15.20,15.26,-0.44,-2.80,"69,108",,,,,
2025-03-09,15.70,15.94,15.60,15.70,-0.08,-0.51,"104,130",,,,,
2025-03-06,15.94,15.94,15.54,15.78,-0.06,-0.38,"75,312",,,,,
2025-03-05,16.00,16.12,15.84,15.84,-0.16,-1.00,"69,111",,,,,
2025-03-04,15.98,16.10,15.70,16.00,-0.16,-0.99,"42,948",,,,,
2025-03-03,15.86,16.20,15.58,16.16,0.26,1.64,"172,395",,,,,
2025-03-02,16.70,16.80,15.90,15.90,-0.80,-4.79,"132,939",,,,,
2025-02-27,17.04,17.04,16.70,16.70,-0.40,-2.34,"122,496",,,,,
2025-02-26,17.10,17.26,17.04,17.10,-0.10,-0.58,"83,038",,,,,
2025-02-25,17.24,17.28,17.10,17.20,-0.04,-0.23,"75,893",,,,,
2025-02-24,17.44,17.46,17.20,17.24,-0.42,-2.38,"84,056",,,,,
2025-02-20,17.10,17.68,17.04,17.66,0.54,3.15,"138,423",,,,,
2025-02-19,17.36,17.46,17.12,17.12,-0.24,-1.38,"95,585",,,,,
2025-02-18,17.32,17.60,17.32,17.36,0.04,0.23,"78,899",,,,,
2025-02-17,17.38,17.52,17.32,17.32,-0.22,-1.25,"100,839",,,,,
2025-02-16,17.54,17.72,17.50,17.54,-0.02,-0.11,"127,026",,,,,
2025-02-13,17.56,17.76,17.56,17.56,0.02,0.11,"78,730",,,,,
2025-02-12,17.54,17.76,17.54,17.54,-0.10,-0.57,"144,462",,,,,
2025-02-11,17.90,17.92,17.54,17.64,-0.24,-1.34,"230,591",,,,,
2025-02-10,18.16,18.16,17.88,17.88,-0.28,-1.54,"198,851",,,,,
2025-02-09,18.16,18.16,18.00,18.16,0.06,0.33,"129,697",,,,,
2025-02-06,18.00,18.42,17.94,18.10,0.04,0.22,"371,342",,,,,
2025-02-05,18.00,18.08,17.92,18.06,0.06,0.33,"121,861",,,,,
2025-02-04,18.04,18.12,17.92,18.00,0.00,0.00,"151,342",,,,,
2025-02-03,18.22,18.22,17.98,18.00,-0.22,-1.21,"129,627",,,,,
2025-02-02,18.48,18.48,18.18,18.22,-0.08,-0.44,"143,683",,,,,
2025-01-30,18.36,18.36,18.16,18.30,0.06,0.33,"173,795",,,,,
2025-01-29,18.90,18.90,18.10,18.24,-0.54,-2.88,"549,651",,,,,
2025-01-28,18.00,18.86,18.00,18.78,0.76,4.22,"1,626,057",,,,,
2025-01-27,18.08,18.08,17.92,18.02,0.02,0.11,"153,611",,,,,
2025-01-26,17.90,18.08,17.90,18.00,0.10,0.56,"191,279",,,,,
2025-01-23,18.14,18.14,17.88,17.90,-0.10,-0.56,"200,374",,,,,
2025-01-22,18.10,18.12,18.00,18.00,-0.10,-0.55,"114,669",,,,,
2025-01-21,18.08,18.12,17.90,18.10,0.02,0.11,"170,065",,,,,
2025-01-20,18.14,18.16,17.92,18.08,0.02,0.11,"234,294",,,,,
2025-01-19,18.10,18.18,18.00,18.06,0.02,0.11,"135,769",,,,,
2025-01-16,18.06,18.20,17.94,18.04,0.02,0.11,"166,085",,,,,
2025-01-15,17.92,18.02,17.84,18.02,0.10,0.56,"193,840",,,,,
2025-01-14,18.26,18.26,17.90,17.92,-0.34,-1.86,"256,119",,,,,
2025-01-13,18.40,18.42,18.10,18.26,0.02,0.11,"192,398",,,,,
2025-01-12,18.16,18.44,18.16,18.24,-0.04,-0.22,"120,174",,,,,
2025-01-09,18.32,18.48,18.16,18.28,0.04,0.22,"158,833",,,,,
2025-01-08,18.30,18.44,18.20,18.24,-0.06,-0.33,"141,209",,,,,
2025-01-07,18.30,18.46,18.12,18.30,-0.10,-0.54,"147,888",,,,,
2025-01-06,18.46,18.60,18.22,18.40,-0.06,-0.33,"269,925",,,,,
2025-01-05,18.06,18.46,18.04,18.46,0.34,1.88,"180,707",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
