0,1,2,3,4,5,6,7,8,9,10,11,12
2022-04-12,-,-,-,45.45,0.00,0.00,-,,,,,
2022-04-11,-,-,-,45.45,0.00,0.00,-,,,,,
2022-04-10,45.85,46.00,45.40,45.45,-0.60,-1.30,"102,240",,,,,
2022-04-10,-,-,-,-,0.00,0.00,-,,,,,
2022-04-07,45.60,46.05,45.40,46.05,0.05,0.11,"187,696",,,,,
2022-04-06,45.40,46.00,45.00,46.00,0.60,1.32,"247,880",,,,,
2022-04-05,46.70,46.70,45.15,45.40,-1.20,-2.58,"249,397",,,,,
2022-04-04,46.95,47.90,45.75,46.60,-0.15,-0.32,"288,371",,,,,
2022-04-03,46.50,46.80,46.30,46.75,0.25,0.54,"40,576",,,,,
2022-03-31,47.60,47.60,45.65,46.50,-1.10,-2.31,"194,629",,,,,
2022-03-30,47.35,48.00,47.25,47.60,-0.40,-0.83,"60,865",,,,,
2022-03-29,47.10,48.00,47.10,48.00,0.65,1.37,"90,996",,,,,
2022-03-28,47.85,47.85,47.15,47.35,-0.55,-1.15,"148,275",,,,,
2022-03-27,47.05,48.20,47.05,47.90,0.20,0.42,"117,205",,,,,
2022-03-24,47.70,48.20,46.90,47.70,-0.10,-0.21,"270,736",,,,,
2022-03-23,47.65,47.80,46.60,47.80,0.15,0.31,"156,330",,,,,
2022-03-22,45.00,47.65,45.00,47.65,2.65,5.89,"254,435",,,,,
2022-03-21,47.40,47.50,45.00,45.00,-2.50,-5.26,"352,794",,,,,
2022-03-20,48.65,49.05,47.25,47.50,-1.10,-2.26,"130,513",,,,,
2022-03-17,47.50,49.20,47.45,48.60,1.30,2.75,"1,573,059",,,,,
2022-03-16,45.85,47.30,45.25,47.30,1.35,2.94,"318,280",,,,,
2022-03-15,46.10,46.10,44.80,45.95,-0.15,-0.33,"127,234",,,,,
2022-03-14,45.90,46.95,45.00,46.10,0.30,0.66,"202,444",,,,,
2022-03-13,46.25,46.95,45.75,45.80,-0.40,-0.87,"201,997",,,,,
2022-03-10,45.80,46.75,45.40,46.20,-0.35,-0.75,"183,945",,,,,
2022-03-09,47.85,48.60,46.55,46.55,-1.25,-2.62,"192,502",,,,,
2022-03-08,49.35,49.35,47.80,47.80,-1.20,-2.45,"247,414",,,,,
2022-03-07,48.00,49.50,47.35,49.00,1.80,3.81,"902,629",,,,,
2022-03-06,45.90,47.60,45.90,47.20,1.45,3.17,"465,838",,,,,
2022-03-03,46.00,46.00,45.15,45.75,0.75,1.67,"371,923",,,,,
2022-03-02,47.50,48.50,45.00,45.00,-2.90,-6.05,"815,353",,,,,
2022-03-01,45.00,48.40,45.00,47.90,2.90,6.44,"916,832",,,,,
2022-02-28,44.20,45.00,43.95,45.00,0.80,1.81,"463,956",,,,,
2022-02-27,43.50,44.55,43.30,44.20,1.35,3.15,"236,346",,,,,
