0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,7.92,7.99,7.92,7.99,0.05,0.63,"421,903",,,,,
2025-05-28,7.94,7.99,7.93,7.94,0.01,0.13,"301,171",,,,,
2025-05-27,8.14,8.14,7.91,7.93,-0.16,-1.98,"647,996",,,,,
2025-05-26,8.30,8.30,8.07,8.09,-0.21,-2.53,"530,101",,,,,
2025-05-25,8.25,8.30,8.23,8.30,0.05,0.61,"194,862",,,,,
2025-05-22,8.34,8.36,8.23,8.25,-0.09,-1.08,"581,097",,,,,
2025-05-21,8.47,8.47,8.34,8.34,-0.13,-1.53,"207,563",,,,,
2025-05-20,8.34,8.47,8.32,8.47,0.03,0.36,"684,150",,,,,
2025-05-19,8.44,8.45,8.39,8.44,0.00,0.00,"178,304",,,,,
2025-05-18,8.51,8.51,8.39,8.44,-0.12,-1.40,"957,692",,,,,
2025-05-15,8.66,8.66,8.51,8.56,-0.14,-1.61,"333,334",,,,,
2025-05-14,8.49,8.70,8.49,8.70,0.22,2.59,"353,646",,,,,
2025-05-13,8.49,8.53,8.44,8.48,0.00,0.00,"167,599",,,,,
2025-05-12,8.44,8.55,8.42,8.48,0.04,0.47,"323,132",,,,,
2025-05-11,8.38,8.46,8.37,8.44,0.08,0.96,"85,512",,,,,
2025-05-08,8.45,8.45,8.36,8.36,-0.07,-0.83,"168,348",,,,,
2025-05-07,8.40,8.43,8.35,8.43,0.03,0.36,"218,413",,,,,
2025-05-06,8.44,8.48,8.37,8.40,-0.04,-0.47,"445,088",,,,,
2025-05-05,8.56,8.56,8.35,8.44,-0.09,-1.06,"754,048",,,,,
2025-05-04,8.66,8.66,8.49,8.53,-0.04,-0.47,"381,641",,,,,
2025-05-01,8.65,8.67,8.54,8.57,-0.07,-0.81,"334,688",,,,,
2025-04-30,8.74,8.75,8.61,8.64,-0.10,-1.14,"471,673",,,,,
2025-04-29,8.72,8.75,8.66,8.74,0.02,0.23,"367,054",,,,,
2025-04-28,8.80,8.82,8.72,8.72,-0.08,-0.91,"500,235",,,,,
2025-04-27,8.91,8.92,8.80,8.80,-0.06,-0.68,"306,397",,,,,
2025-04-24,8.80,8.88,8.80,8.86,0.07,0.80,"172,878",,,,,
2025-04-23,8.83,8.89,8.79,8.79,-0.03,-0.34,"294,063",,,,,
2025-04-22,8.80,8.89,8.76,8.82,-0.01,-0.11,"194,953",,,,,
2025-04-21,8.97,8.97,8.81,8.83,-0.16,-1.78,"456,530",,,,,
2025-04-20,8.98,9.03,8.97,8.99,0.01,0.11,"356,722",,,,,
2025-04-17,8.92,8.98,8.91,8.98,0.05,0.56,"230,974",,,,,
2025-04-16,9.00,9.00,8.93,8.93,-0.05,-0.56,"133,563",,,,,
2025-04-15,9.01,9.20,8.93,8.98,0.04,0.45,"431,925",,,,,
2025-04-14,8.79,9.00,8.75,8.94,0.17,1.94,"294,190",,,,,
2025-04-13,8.70,8.80,8.69,8.77,0.08,0.92,"279,290",,,,,
2025-04-10,8.69,8.78,8.60,8.69,0.22,2.60,"509,855",,,,,
2025-04-09,8.42,8.60,8.35,8.47,-0.01,-0.12,"490,315",,,,,
2025-04-08,8.64,8.78,8.44,8.48,-0.16,-1.85,"784,729",,,,,
2025-04-07,8.57,8.75,8.28,8.64,0.07,0.82,"915,056",,,,,
2025-04-06,8.93,8.93,8.53,8.57,-0.47,-5.20,"716,544",,,,,
2025-04-03,8.98,9.10,8.96,9.04,0.06,0.67,"523,084",,,,,
2025-03-27,9.00,9.04,8.96,8.98,0.05,0.56,"276,093",,,,,
2025-03-26,8.86,9.03,8.86,8.93,0.07,0.79,"293,246",,,,,
2025-03-25,8.88,8.89,8.80,8.86,0.03,0.34,"307,912",,,,,
2025-03-24,8.90,8.90,8.78,8.83,-0.13,-1.45,"691,395",,,,,
2025-03-23,8.83,8.96,8.75,8.96,0.20,2.28,"675,045",,,,,
2025-03-20,9.00,9.06,8.76,8.76,-0.19,-2.12,"3,641,120",,,,,
2025-03-19,9.11,9.13,8.94,8.95,-0.16,-1.76,"329,764",,,,,
2025-03-18,9.28,9.28,9.10,9.11,-0.02,-0.22,"118,550",,,,,
2025-03-17,9.10,9.30,9.07,9.13,0.03,0.33,"194,456",,,,,
2025-03-16,9.03,9.12,9.03,9.10,0.07,0.78,"125,343",,,,,
2025-03-13,9.00,9.10,8.96,9.03,0.10,1.12,"246,631",,,,,
2025-03-12,8.92,8.98,8.90,8.93,0.01,0.11,"138,085",,,,,
2025-03-11,9.04,9.04,8.76,8.92,0.01,0.11,"285,963",,,,,
2025-03-10,9.05,9.05,8.91,8.91,-0.13,-1.44,"178,929",,,,,
2025-03-09,9.04,9.04,8.94,9.04,0.07,0.78,"201,715",,,,,
2025-03-06,9.15,9.15,8.92,8.97,-0.14,-1.54,"557,599",,,,,
2025-03-05,9.24,9.24,9.10,9.11,-0.12,-1.30,"267,966",,,,,
2025-03-04,9.14,9.29,9.14,9.23,0.03,0.33,"138,394",,,,,
2025-03-03,9.15,9.35,9.15,9.20,0.05,0.55,"341,719",,,,,
2025-03-02,9.40,9.46,9.14,9.15,-0.25,-2.66,"274,517",,,,,
2025-02-27,9.44,9.50,9.40,9.40,-0.04,-0.42,"119,920",,,,,
2025-02-26,9.50,9.55,9.40,9.44,-0.06,-0.63,"142,604",,,,,
2025-02-25,9.60,9.62,9.48,9.50,-0.12,-1.25,"194,769",,,,,
2025-02-24,9.70,9.72,9.57,9.62,-0.08,-0.82,"210,134",,,,,
2025-02-20,9.72,9.72,9.67,9.70,0.00,0.00,"102,656",,,,,
2025-02-19,9.67,9.70,9.64,9.70,0.03,0.31,"132,562",,,,,
2025-02-18,9.66,9.75,9.66,9.67,-0.02,-0.21,"128,736",,,,,
2025-02-17,9.75,9.77,9.67,9.69,-0.08,-0.82,"153,145",,,,,
2025-02-16,9.83,9.91,9.75,9.77,-0.10,-1.01,"311,998",,,,,
2025-02-13,9.82,9.91,9.81,9.87,0.05,0.51,"293,225",,,,,
2025-02-12,10.00,10.00,9.81,9.82,-0.18,-1.80,"225,665",,,,,
2025-02-11,9.93,10.00,9.77,10.00,0.07,0.70,"631,043",,,,,
2025-02-10,9.72,9.93,9.67,9.93,0.21,2.16,"413,733",,,,,
2025-02-09,9.87,9.87,9.71,9.72,-0.15,-1.52,"224,168",,,,,
2025-02-06,9.80,9.89,9.76,9.87,0.08,0.82,"228,150",,,,,
2025-02-05,9.82,9.89,9.78,9.79,-0.03,-0.31,"325,253",,,,,
2025-02-04,9.69,9.83,9.65,9.82,0.12,1.24,"390,368",,,,,
2025-02-03,9.70,9.72,9.62,9.70,0.00,0.00,"272,318",,,,,
2025-02-02,9.61,9.79,9.61,9.70,0.07,0.73,"318,982",,,,,
2025-01-30,9.65,9.73,9.60,9.63,-0.02,-0.21,"301,890",,,,,
2025-01-29,9.85,9.89,9.57,9.65,-0.20,-2.03,"499,356",,,,,
2025-01-28,9.94,9.98,9.83,9.85,-0.09,-0.91,"418,603",,,,,
2025-01-27,9.99,10.04,9.86,9.94,-0.05,-0.50,"902,453",,,,,
2025-01-26,10.00,10.10,9.84,9.99,0.08,0.81,"1,465,227",,,,,
2025-01-23,9.31,9.99,9.31,9.91,0.61,6.56,"3,704,415",,,,,
2025-01-22,9.28,9.36,9.28,9.30,0.00,0.00,"234,146",,,,,
2025-01-21,9.25,9.34,9.18,9.30,0.12,1.31,"344,214",,,,,
2025-01-20,9.20,9.23,9.16,9.18,-0.02,-0.22,"127,835",,,,,
2025-01-19,9.24,9.28,9.18,9.20,-0.01,-0.11,"281,537",,,,,
2025-01-16,9.20,9.29,9.20,9.21,0.01,0.11,"270,971",,,,,
2025-01-15,9.32,9.32,9.17,9.20,-0.12,-1.29,"442,018",,,,,
2025-01-14,9.30,9.35,9.28,9.32,0.02,0.22,"87,483",,,,,
2025-01-13,9.35,9.37,9.29,9.30,-0.05,-0.53,"196,979",,,,,
2025-01-12,9.32,9.36,9.26,9.35,0.03,0.32,"214,293",,,,,
2025-01-09,9.34,9.41,9.24,9.32,-0.02,-0.21,"243,622",,,,,
2025-01-08,9.30,9.42,9.28,9.34,0.04,0.43,"269,489",,,,,
2025-01-07,9.38,9.44,9.30,9.30,-0.15,-1.59,"496,971",,,,,
2025-01-06,9.39,9.49,9.28,9.45,0.08,0.85,"433,998",,,,,
2025-01-05,9.29,9.37,9.16,9.37,0.07,0.75,"402,881",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
