0,1,2,3,4,5,6,7,8,9
2025-05-29,31.30,32.10,31.30,32.05,0.65,2.07,"300,894",,
2025-05-28,30.95,31.50,30.95,31.40,0.50,1.62,"169,066",,
2025-05-27,31.90,31.90,30.90,30.90,-1.00,-3.13,"219,142",,
2025-05-26,31.95,32.10,31.60,31.90,-0.05,-0.16,"77,921",,
2025-05-25,32.15,32.30,31.95,31.95,-0.20,-0.62,"116,625",,
2025-05-22,32.15,32.55,32.10,32.15,-0.10,-0.31,"90,936",,
2025-05-21,32.25,32.55,32.15,32.25,-0.15,-0.46,"158,211",,
2025-05-20,32.80,32.95,32.40,32.40,-0.30,-0.92,"161,069",,
2025-05-19,32.20,32.70,32.20,32.70,0.20,0.62,"152,620",,
2025-05-18,32.05,32.55,31.75,32.50,0.20,0.62,"278,836",,
2025-05-15,33.15,33.15,32.30,32.30,-0.70,-2.12,"249,050",,
2025-05-14,33.50,33.50,32.90,33.00,-0.35,-1.05,"130,142",,
2025-05-13,33.50,33.55,32.90,33.35,0.15,0.45,"203,500",,
2025-05-12,33.20,34.00,32.95,33.20,-0.20,-0.60,"283,894",,
2025-05-11,33.30,33.60,33.20,33.40,0.20,0.60,"61,764",,
2025-05-08,33.65,33.90,33.00,33.20,-0.40,-1.19,"95,995",,
2025-05-07,33.50,34.00,33.25,33.60,0.00,0.00,"121,503",,
2025-05-06,33.45,33.60,33.15,33.60,0.20,0.60,"75,221",,
2025-05-05,32.95,33.40,32.35,33.40,0.45,1.37,"218,167",,
2025-05-04,34.00,34.00,32.80,32.95,-0.70,-2.08,"185,330",,
2025-05-01,33.70,34.00,33.65,33.65,-0.30,-0.88,"120,988",,
2025-04-30,34.30,34.45,33.70,33.95,-0.25,-0.73,"168,420",,
2025-04-29,33.85,34.30,33.70,34.20,0.40,1.18,"244,911",,
2025-04-28,34.00,34.25,33.50,33.80,-0.25,-0.73,"202,874",,
2025-04-27,33.95,34.25,33.95,34.05,0.10,0.29,"52,720",,
2025-04-24,33.90,34.65,33.90,33.95,0.15,0.44,"545,223",,
2025-04-23,33.55,33.95,33.55,33.80,0.30,0.90,"218,909",,
2025-04-22,33.25,33.60,33.25,33.50,-0.10,-0.30,"242,167",,
2025-04-21,33.85,33.90,33.35,33.60,-0.20,-0.59,"171,807",,
2025-04-20,33.70,33.95,33.55,33.80,-1.10,-3.15,"267,082",,
2025-04-17,35.15,35.25,34.80,34.90,-0.35,-0.99,"546,377",,
2025-04-16,35.25,35.25,34.95,35.25,0.25,0.71,"371,388",,
2025-04-15,35.00,35.40,34.85,35.00,-0.10,-0.28,"523,779",,
2025-04-14,35.05,35.40,34.90,35.10,0.35,1.01,"225,064",,
2025-04-13,35.00,35.15,34.30,34.75,0.10,0.29,"504,058",,
2025-04-10,35.25,35.25,34.55,34.65,1.20,3.59,"143,438",,
2025-04-09,34.15,34.95,33.35,33.45,-0.70,-2.05,"254,812",,
2025-04-08,34.20,34.95,34.00,34.15,0.25,0.74,"312,473",,
2025-04-07,32.65,34.10,31.55,33.90,0.60,1.80,"591,046",,
2025-04-06,35.80,35.80,33.30,33.30,-3.70,-10.00,"448,953",,
2025-04-03,36.15,37.00,36.15,37.00,0.30,0.82,"296,250",,
2025-03-27,36.85,37.00,36.70,36.70,-0.25,-0.68,"89,922",,
2025-03-26,35.90,37.00,35.90,36.95,0.80,2.21,"161,100",,
2025-03-25,36.10,36.45,35.80,36.15,0.05,0.14,"99,423",,
