0,1,2,3,4,5,6,7,8,9
2025-05-29,97.20,97.50,95.60,95.90,-1.10,-1.13,"854,050",,
2025-05-28,95.70,97.70,95.70,97.00,1.40,1.46,"417,142",,
2025-05-27,97.80,97.80,95.10,95.60,-1.80,-1.85,"444,580",,
2025-05-26,96.50,97.60,96.40,97.40,0.90,0.93,"477,186",,
2025-05-25,96.20,96.80,96.00,96.50,0.50,0.52,"392,411",,
2025-05-22,96.70,96.70,96.00,96.00,-0.90,-0.93,"509,041",,
2025-05-21,96.70,97.20,96.60,96.90,0.20,0.21,"393,005",,
2025-05-20,97.30,97.60,96.40,96.70,-0.90,-0.92,"459,181",,
2025-05-19,98.00,98.10,97.10,97.60,-0.80,-0.81,"265,209",,
2025-05-18,99.00,99.40,97.80,98.40,-0.60,-0.61,"311,282",,
2025-05-15,99.40,99.40,98.50,99.00,-0.50,-0.50,"248,099",,
2025-05-14,98.80,99.80,98.70,99.50,0.20,0.20,"313,488",,
2025-05-13,99.00,99.90,98.60,99.30,0.30,0.30,"372,475",,
2025-05-12,97.00,99.20,97.00,99.00,2.40,2.48,"470,316",,
2025-05-11,97.30,97.60,96.20,96.60,-0.30,-0.31,"348,487",,
2025-05-08,98.60,98.70,96.90,96.90,-1.60,-1.62,"652,748",,
2025-05-07,98.40,99.00,97.80,98.50,0.10,0.10,"757,073",,
2025-05-06,98.30,99.40,98.10,98.40,0.00,0.00,"433,265",,
2025-05-05,97.40,99.10,96.90,98.40,1.10,1.13,"697,703",,
2025-05-04,99.00,99.40,97.30,97.30,-2.10,-2.11,"582,436",,
2025-05-01,98.70,99.40,97.50,99.40,0.70,0.71,"829,806",,
2025-04-30,100.60,100.60,98.30,98.70,-1.50,-1.50,"1,500,619",,
2025-04-29,101.80,102.40,100.20,100.20,-2.20,-2.15,"1,379,709",,
2025-04-28,103.00,103.40,101.80,102.40,-0.20,-0.19,"809,357",,
2025-04-27,105.40,106.00,102.40,102.60,-0.60,-0.58,"1,329,492",,
2025-04-24,103.80,104.40,103.20,103.20,-0.40,-0.39,"498,329",,
2025-04-23,101.80,103.60,101.60,103.60,3.20,3.19,"543,305",,
2025-04-22,102.40,102.40,100.40,100.40,-2.40,-2.33,"337,308",,
2025-04-21,103.20,103.40,102.00,102.80,-0.60,-0.58,"160,924",,
2025-04-20,103.60,103.80,102.60,103.40,-0.20,-0.19,"137,978",,
2025-04-17,102.20,104.20,101.80,103.60,1.00,0.97,"396,872",,
2025-04-16,102.60,102.80,101.40,102.60,-0.20,-0.19,"589,390",,
2025-04-15,103.20,104.20,102.20,102.80,-0.40,-0.39,"704,779",,
2025-04-14,104.60,104.60,102.80,103.20,-0.40,-0.39,"611,632",,
2025-04-13,106.00,106.00,103.60,103.60,-1.20,-1.15,"567,090",,
2025-04-10,104.00,105.80,102.80,104.80,4.00,3.97,"1,021,353",,
2025-04-09,100.60,102.40,100.00,100.80,-0.60,-0.59,"433,952",,
2025-04-08,102.40,104.20,101.40,101.40,0.40,0.40,"569,052",,
2025-04-07,99.00,101.60,96.50,101.00,1.90,1.92,"759,385",,
2025-04-06,100.00,101.20,98.50,99.10,-4.90,-4.71,"671,818",,
