0,1,2,3,4,5,6,7,8,9
2025-05-29,19.02,19.32,18.90,18.90,-0.06,-0.32,"2,170,045",,
2025-05-28,18.96,19.12,18.78,18.96,0.16,0.85,"1,120,248",,
2025-05-27,19.20,19.20,18.80,18.80,-0.40,-2.08,"1,081,357",,
2025-05-26,19.08,19.20,18.86,19.20,0.12,0.63,"969,310",,
2025-05-25,19.00,19.18,18.94,19.08,0.08,0.42,"713,801",,
2025-05-22,18.78,19.14,18.64,19.00,0.20,1.06,"992,634",,
2025-05-21,19.12,19.24,18.80,18.80,-0.32,-1.67,"1,279,006",,
2025-05-20,19.10,19.30,19.02,19.12,0.00,0.00,"933,895",,
2025-05-19,18.80,19.14,18.80,19.12,0.22,1.16,"1,082,062",,
2025-05-18,19.20,19.36,18.90,18.90,-0.24,-1.25,"1,208,724",,
2025-05-15,19.64,19.64,19.08,19.14,-0.50,-2.55,"1,292,634",,
2025-05-14,19.36,19.72,19.18,19.64,0.36,1.87,"1,476,269",,
2025-05-13,19.24,19.64,18.98,19.28,0.18,0.94,"1,914,327",,
2025-05-12,18.40,19.18,18.30,19.10,0.98,5.41,"4,141,517",,
2025-05-11,18.04,18.22,18.04,18.12,0.10,0.55,"561,896",,
2025-05-08,18.20,18.24,18.00,18.02,-0.18,-0.99,"1,342,697",,
2025-05-07,18.18,18.24,18.00,18.20,0.00,0.00,"1,075,903",,
2025-05-06,17.96,18.26,17.94,18.20,0.30,1.68,"1,951,822",,
2025-05-05,18.42,18.48,17.88,17.90,-0.52,-2.82,"4,679,898",,
2025-05-04,18.74,18.82,18.42,18.42,-0.36,-1.92,"1,099,585",,
2025-05-01,19.06,19.06,18.74,18.78,-0.22,-1.16,"1,796,515",,
2025-04-30,19.10,19.18,18.96,19.00,-0.10,-0.52,"1,505,433",,
2025-04-29,19.60,19.62,19.10,19.10,-0.40,-2.05,"1,039,219",,
2025-04-28,19.80,19.82,19.50,19.50,-0.26,-1.32,"961,468",,
2025-04-27,19.92,19.96,19.66,19.76,-0.14,-0.70,"964,363",,
2025-04-24,19.10,19.90,19.04,19.90,0.80,4.19,"2,890,538",,
2025-04-23,19.06,19.22,18.98,19.10,0.16,0.84,"1,775,694",,
2025-04-22,19.30,19.30,18.88,18.94,-0.42,-2.17,"2,450,462",,
2025-04-21,19.44,19.46,19.30,19.36,-0.06,-0.31,"623,258",,
2025-04-20,19.52,19.58,19.40,19.42,0.02,0.10,"454,399",,
2025-04-17,19.46,19.52,19.34,19.40,-0.12,-0.61,"582,362",,
2025-04-16,19.52,19.58,19.38,19.52,-0.02,-0.10,"832,478",,
2025-04-15,19.86,19.86,19.48,19.54,-0.32,-1.61,"1,715,822",,
2025-04-14,19.50,19.90,19.20,19.86,0.40,2.06,"1,923,311",,
2025-04-13,19.50,19.58,19.38,19.46,-0.02,-0.10,"1,471,965",,
2025-04-10,20.00,20.00,19.32,19.48,0.56,2.96,"2,160,701",,
2025-04-09,19.30,19.54,18.92,18.92,-0.38,-1.97,"2,403,979",,
2025-04-08,19.80,19.82,19.30,19.30,0.00,0.00,"1,713,555",,
2025-04-07,19.02,19.40,18.24,19.30,0.10,0.52,"3,618,795",,
2025-04-06,19.70,19.70,18.98,19.20,-1.40,-6.80,"2,334,502",,
2025-04-03,20.66,20.88,20.32,20.60,-0.20,-0.96,"1,760,449",,
2025-03-27,20.60,20.90,20.36,20.80,0.28,1.36,"4,420,955",,
2025-03-26,20.30,20.70,20.28,20.52,0.26,1.28,"2,718,135",,
2025-03-25,20.52,20.54,20.26,20.26,-0.14,-0.69,"1,361,200",,
2025-03-24,20.32,20.64,20.32,20.40,0.10,0.49,"2,612,028",,
2025-03-23,20.66,20.72,20.30,20.30,-0.36,-1.74,"1,417,158",,
2025-03-20,20.80,20.92,20.62,20.66,-0.10,-0.48,"2,322,522",,
2025-03-19,21.46,21.52,20.66,20.76,-0.64,-2.99,"3,203,811",,
2025-03-18,21.88,22.02,21.40,21.40,-0.44,-2.01,"1,060,671",,
2025-03-17,21.64,22.12,21.42,21.84,0.20,0.92,"1,957,860",,
2025-03-16,20.80,21.64,20.74,21.64,0.94,4.54,"1,336,771",,
2025-03-13,21.14,21.14,20.70,20.70,-0.44,-2.08,"1,937,544",,
2025-03-12,21.16,21.32,21.08,21.14,-0.02,-0.09,"722,311",,
2025-03-11,21.14,21.26,20.80,21.16,0.00,0.00,"1,379,983",,
2025-03-10,21.32,21.50,21.16,21.16,-0.16,-0.75,"1,024,379",,
2025-03-09,21.38,21.42,21.26,21.32,-0.06,-0.28,"651,351",,
2025-03-06,21.34,21.74,21.14,21.38,0.12,0.56,"799,275",,
2025-03-05,21.32,21.62,21.20,21.26,-0.06,-0.28,"667,685",,
2025-03-04,21.60,21.80,21.18,21.32,-0.18,-0.84,"1,090,401",,
2025-03-03,21.36,21.72,21.18,21.50,0.28,1.32,"1,297,529",,
2025-03-02,21.30,21.32,21.00,21.22,-0.16,-0.75,"1,004,101",,
2025-02-27,21.48,21.52,21.18,21.38,-0.10,-0.47,"2,065,227",,
2025-02-26,21.80,21.82,21.44,21.48,-0.38,-1.74,"1,539,298",,
2025-02-25,22.14,22.14,21.78,21.86,-0.34,-1.53,"1,523,404",,
2025-02-24,22.12,22.32,22.10,22.20,0.08,0.36,"1,367,404",,
2025-02-20,22.20,22.22,22.08,22.12,-0.10,-0.45,"1,143,359",,
2025-02-19,22.54,22.54,22.04,22.22,-0.22,-0.98,"2,187,006",,
2025-02-18,22.46,22.54,22.40,22.44,-0.04,-0.18,"1,145,327",,
2025-02-17,22.70,22.70,22.44,22.48,-0.26,-1.14,"1,993,663",,
2025-02-16,22.78,22.88,22.68,22.74,-0.02,-0.09,"774,526",,
2025-02-13,22.94,22.98,22.74,22.76,-0.12,-0.52,"948,075",,
2025-02-12,23.12,23.12,22.80,22.88,-0.24,-1.04,"1,156,563",,
2025-02-11,23.14,23.14,23.04,23.12,-0.04,-0.17,"637,266",,
2025-02-10,23.12,23.18,23.10,23.16,0.04,0.17,"749,950",,
2025-02-09,23.12,23.20,23.10,23.12,0.02,0.09,"604,389",,
2025-02-06,23.18,23.20,23.10,23.10,-0.04,-0.17,"1,376,489",,
2025-02-05,23.20,23.30,23.06,23.14,-0.06,-0.26,"1,449,089",,
2025-02-04,23.14,23.28,23.06,23.20,0.06,0.26,"725,926",,
2025-02-03,23.20,23.20,23.04,23.14,-0.06,-0.26,"813,531",,
