0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,99.20,100.20,98.60,99.60,0.60,0.61,"195,692",,,,,
2025-05-28,98.00,99.50,97.60,99.00,1.00,1.02,"165,984",,,,,
2025-05-27,100.00,100.00,97.50,98.00,-2.00,-2.00,"151,642",,,,,
2025-05-26,98.80,100.00,98.40,100.00,1.50,1.52,"180,559",,,,,
2025-05-25,99.00,99.40,98.50,98.50,-1.40,-1.40,"73,571",,,,,
2025-05-22,99.60,100.60,99.00,99.90,0.10,0.10,"146,072",,,,,
2025-05-21,101.40,101.40,99.60,99.80,-1.60,-1.58,"109,452",,,,,
2025-05-20,100.60,101.40,99.90,101.40,0.80,0.80,"115,798",,,,,
2025-05-19,101.80,101.80,99.90,100.60,-1.00,-0.98,"145,612",,,,,
2025-05-18,101.20,102.20,100.40,101.60,0.60,0.59,"221,507",,,,,
2025-05-15,100.00,101.60,99.20,101.00,1.10,1.10,"570,845",,,,,
2025-05-14,100.00,100.80,99.50,99.90,0.00,0.00,"468,049",,,,,
2025-05-13,100.20,101.00,99.60,99.90,0.00,0.00,"164,226",,,,,
2025-05-12,98.70,100.20,98.70,99.90,1.20,1.22,"181,233",,,,,
2025-05-11,98.50,99.00,97.90,98.70,0.20,0.20,"108,739",,,,,
2025-05-08,98.20,98.50,96.50,98.50,0.30,0.31,"210,787",,,,,
2025-05-07,99.10,99.10,98.20,98.20,-0.70,-0.71,"91,084",,,,,
2025-05-06,99.00,99.40,98.50,98.90,-0.10,-0.10,"121,574",,,,,
2025-05-05,98.00,99.00,97.40,99.00,0.50,0.51,"269,218",,,,,
2025-05-04,98.70,99.00,97.60,98.50,-0.20,-0.20,"123,322",,,,,
2025-05-01,99.90,99.90,98.40,98.70,-0.60,-0.60,"214,810",,,,,
2025-04-30,100.80,100.80,99.00,99.30,-0.90,-0.90,"408,652",,,,,
2025-04-29,101.40,101.60,99.90,100.20,-1.20,-1.18,"244,972",,,,,
2025-04-28,102.60,102.60,101.00,101.40,-0.20,-0.20,"212,633",,,,,
2025-04-27,101.80,102.20,101.20,101.60,-0.20,-0.20,"124,564",,,,,
2025-04-24,100.60,101.80,100.00,101.80,1.40,1.39,"205,972",,,,,
2025-04-23,100.00,101.00,99.90,100.40,0.60,0.60,"115,717",,,,,
2025-04-22,100.20,100.40,98.70,99.80,-0.80,-0.80,"303,929",,,,,
2025-04-21,101.60,101.60,100.40,100.60,-0.80,-0.79,"123,665",,,,,
2025-04-20,101.00,101.80,101.00,101.40,0.00,0.00,"103,760",,,,,
2025-04-17,101.20,101.60,100.40,101.40,-2.80,-2.69,"315,224",,,,,
2025-04-16,104.40,104.60,103.00,104.20,-0.20,-0.19,"365,768",,,,,
2025-04-15,104.20,105.20,104.00,104.40,0.60,0.58,"321,523",,,,,
2025-04-14,104.00,104.40,103.00,103.80,0.40,0.39,"297,282",,,,,
2025-04-13,102.00,103.60,101.60,103.40,2.40,2.38,"312,375",,,,,
2025-04-10,99.00,101.00,98.10,101.00,5.10,5.32,"455,299",,,,,
2025-04-09,97.00,98.10,95.90,95.90,-2.20,-2.24,"438,145",,,,,
2025-04-08,98.40,99.90,97.10,98.10,1.90,1.98,"509,011",,,,,
2025-04-07,96.00,97.10,92.10,96.20,-0.90,-0.93,"900,456",,,,,
2025-04-06,100.00,100.40,96.70,97.10,-7.30,-6.99,"571,749",,,,,
2025-04-03,104.00,105.00,102.40,104.40,-0.60,-0.57,"136,572",,,,,
2025-03-27,104.40,105.00,103.60,105.00,0.80,0.77,"200,324",,,,,
2025-03-26,103.00,104.40,102.60,104.20,1.40,1.36,"233,582",,,,,
2025-03-25,101.80,103.00,101.20,102.80,1.00,0.98,"129,845",,,,,
2025-03-24,102.00,102.20,101.00,101.80,-0.20,-0.20,"127,135",,,,,
2025-03-23,103.00,103.40,101.80,102.00,-0.80,-0.78,"90,696",,,,,
2025-03-20,103.60,103.80,102.40,102.80,-0.40,-0.39,"152,764",,,,,
2025-03-19,103.40,103.40,102.00,103.20,-0.20,-0.19,"122,212",,,,,
2025-03-18,103.20,103.80,102.60,103.40,0.20,0.19,"115,956",,,,,
2025-03-17,104.00,104.60,103.20,103.20,-0.80,-0.77,"147,512",,,,,
2025-03-16,104.00,104.20,102.20,104.00,0.40,0.39,"151,458",,,,,
2025-03-13,102.40,104.00,102.20,103.60,1.20,1.17,"232,858",,,,,
2025-03-12,104.40,105.00,102.40,102.40,-2.00,-1.92,"238,752",,,,,
2025-03-11,101.40,104.40,99.60,104.40,2.20,2.15,"379,085",,,,,
2025-03-10,101.20,102.20,100.00,102.20,1.00,0.99,"275,668",,,,,
2025-03-09,101.20,101.60,98.90,101.20,0.00,0.00,"235,693",,,,,
2025-03-06,102.00,102.00,100.00,101.20,-0.80,-0.78,"354,668",,,,,
2025-03-05,101.40,102.40,101.00,102.00,0.60,0.59,"248,132",,,,,
2025-03-04,102.80,102.80,100.60,101.40,-1.60,-1.55,"406,796",,,,,
2025-03-03,103.40,104.00,102.40,103.00,-0.40,-0.39,"273,740",,,,,
2025-03-02,104.80,104.80,102.60,103.40,0.00,0.00,"145,414",,,,,
2025-02-27,105.60,105.60,103.40,103.40,-2.20,-2.08,"456,180",,,,,
2025-02-26,105.60,105.60,104.00,105.60,0.00,0.00,"216,932",,,,,
2025-02-25,105.60,106.00,104.60,105.60,0.00,0.00,"305,721",,,,,
2025-02-24,109.20,109.20,105.60,105.60,-2.00,-1.86,"420,155",,,,,
2025-02-20,108.00,108.40,107.60,107.60,-0.40,-0.37,"334,554",,,,,
2025-02-19,109.00,109.20,107.80,108.00,-1.00,-0.92,"257,922",,,,,
2025-02-18,109.20,109.40,107.80,109.00,-0.20,-0.18,"225,536",,,,,
2025-02-17,109.00,109.80,108.20,109.20,0.40,0.37,"299,940",,,,,
2025-02-16,108.60,109.20,108.40,108.80,0.20,0.18,"112,961",,,,,
2025-02-13,109.20,109.20,107.60,108.60,-0.40,-0.37,"227,746",,,,,
2025-02-12,110.60,110.80,109.00,109.00,-2.00,-1.80,"423,564",,,,,
2025-02-11,112.20,113.40,110.60,111.00,-1.20,-1.07,"457,701",,,,,
2025-02-10,111.60,112.40,110.80,112.20,0.40,0.36,"213,368",,,,,
2025-02-09,112.40,112.40,111.20,111.80,-0.20,-0.18,"133,871",,,,,
2025-02-06,111.60,112.00,111.40,112.00,0.60,0.54,"90,900",,,,,
2025-02-05,112.40,112.40,111.20,111.40,-1.00,-0.89,"135,032",,,,,
2025-02-04,111.40,112.40,111.40,112.40,1.00,0.90,"94,588",,,,,
2025-02-03,111.60,111.80,111.20,111.40,-0.40,-0.36,"67,791",,,,,
2025-02-02,111.60,112.00,111.20,111.80,0.20,0.18,"99,697",,,,,
2025-01-30,111.60,112.00,111.20,111.60,0.00,0.00,"102,766",,,,,
2025-01-29,112.60,112.60,111.20,111.60,-0.20,-0.18,"136,511",,,,,
2025-01-28,111.80,113.00,111.60,111.80,-0.40,-0.36,"205,121",,,,,
2025-01-27,112.80,113.00,111.80,112.20,-0.60,-0.53,"190,830",,,,,
2025-01-26,113.80,114.20,112.80,112.80,-1.00,-0.88,"142,266",,,,,
2025-01-23,113.00,114.40,112.80,113.80,0.80,0.71,"149,172",,,,,
2025-01-22,113.40,113.80,112.60,113.00,0.00,0.00,"149,267",,,,,
2025-01-21,113.20,113.80,112.80,113.00,-0.60,-0.53,"66,324",,,,,
2025-01-20,114.00,114.20,113.00,113.60,-0.40,-0.35,"99,452",,,,,
2025-01-19,113.60,114.60,113.40,114.00,0.40,0.35,"97,426",,,,,
2025-01-16,113.00,114.40,112.80,113.60,0.80,0.71,"186,785",,,,,
2025-01-15,110.80,113.40,110.80,112.80,2.00,1.81,"352,809",,,,,
2025-01-14,110.00,111.40,109.60,110.80,1.00,0.91,"294,499",,,,,
2025-01-13,111.00,111.80,109.80,109.80,-1.00,-0.90,"243,671",,,,,
2025-01-12,110.00,111.00,110.00,110.80,0.60,0.54,"84,022",,,,,
2025-01-09,110.20,110.80,109.60,110.20,0.00,0.00,"110,770",,,,,
2025-01-08,110.60,111.00,110.00,110.20,-0.20,-0.18,"138,021",,,,,
2025-01-07,111.20,111.40,110.20,110.40,-0.60,-0.54,"123,232",,,,,
2025-01-06,110.60,111.40,110.40,111.00,0.60,0.54,"121,294",,,,,
2025-01-05,111.60,112.00,110.00,110.40,-1.60,-1.43,"243,938",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2025-01-05,67.50,67.50,66.70,67.00,0.10,0.15,"1,252,022",,,,,
2025-01-02,67.30,67.40,66.70,66.90,-0.40,-0.59,"1,936,435",,,,,
2025-01-01,67.00,67.50,67.00,67.30,0.30,0.45,"787,501",,,,,
2024-12-31,67.00,67.40,66.80,67.00,0.10,0.15,"1,336,747",,,,,
2024-12-30,67.20,67.50,66.90,66.90,-0.30,-0.45,"1,601,716",,,,,
2024-12-29,67.30,67.30,67.00,67.20,0.00,0.00,"718,434",,,,,
2024-12-26,67.40,67.50,66.90,67.20,0.00,0.00,"1,250,718",,,,,
2024-12-25,67.40,67.40,67.10,67.20,0.10,0.15,"658,110",,,,,
2024-12-24,67.30,67.40,67.00,67.10,0.00,0.00,"962,931",,,,,
2024-12-23,66.90,67.20,66.70,67.10,0.40,0.60,"1,402,222",,,,,
2024-12-22,67.00,67.30,66.70,66.70,0.20,0.30,"1,970,296",,,,,
2024-12-19,67.60,67.70,66.50,66.50,-0.90,-1.34,"3,616,325",,,,,
2024-12-18,67.90,68.20,67.30,67.40,-0.40,-0.59,"1,890,135",,,,,
2024-12-17,68.80,68.80,67.80,67.80,-1.00,-1.45,"2,128,739",,,,,
2024-12-16,68.80,68.90,68.60,68.80,0.00,0.00,"812,226",,,,,
2024-12-15,68.80,69.10,68.80,68.80,0.10,0.15,"1,011,384",,,,,
2024-12-12,69.70,69.80,68.70,68.70,-0.80,-1.15,"1,585,442",,,,,
2024-12-11,70.30,70.60,69.40,69.50,-0.60,-0.86,"2,457,160",,,,,
2024-12-10,70.30,70.40,69.90,70.10,0.00,0.00,"1,982,384",,,,,
2024-12-09,68.80,70.20,68.80,70.10,1.30,1.89,"1,560,385",,,,,
2024-12-08,68.90,69.30,68.70,68.80,0.30,0.44,"2,366,717",,,,,
2024-12-05,68.70,68.90,68.20,68.50,-0.20,-0.29,"1,404,306",,,,,
2024-12-04,68.40,68.70,68.00,68.70,0.30,0.44,"1,510,690",,,,,
2024-12-03,68.40,68.60,68.00,68.40,0.20,0.29,"1,167,489",,,,,
2024-12-02,68.70,68.80,68.00,68.20,-0.50,-0.73,"1,352,354",,,,,
2024-12-01,69.50,69.80,68.70,68.70,-0.20,-0.29,"1,071,672",,,,,
2024-11-28,68.30,68.90,68.10,68.90,0.90,1.32,"1,434,864",,,,,
2024-11-27,68.70,69.00,67.90,68.00,-0.60,-0.87,"2,339,102",,,,,
2024-11-26,69.30,69.50,68.60,68.60,-0.40,-0.58,"1,510,073",,,,,
2024-11-25,70.00,70.10,69.00,69.00,-0.90,-1.29,"3,676,825",,,,,
2024-11-24,70.00,70.60,69.80,69.90,0.20,0.29,"1,150,237",,,,,
2024-11-21,70.10,70.10,69.70,69.70,-0.20,-0.29,"1,077,506",,,,,
2024-11-20,70.10,70.20,69.90,69.90,-0.10,-0.14,"676,073",,,,,
