0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,40.50,40.65,40.15,40.45,0.05,0.12,"131,463",,,,,
2025-05-28,40.15,40.65,40.15,40.40,0.25,0.62,"91,788",,,,,
2025-05-27,40.80,40.80,40.10,40.15,-0.65,-1.59,"244,943",,,,,
2025-05-26,40.90,41.15,40.35,40.80,-0.10,-0.24,"265,278",,,,,
2025-05-25,41.25,41.25,40.80,40.90,-0.30,-0.73,"113,851",,,,,
2025-05-22,41.10,41.40,41.10,41.20,-0.25,-0.60,"95,746",,,,,
2025-05-21,41.75,41.75,40.95,41.45,0.05,0.12,"335,604",,,,,
2025-05-20,41.80,41.95,41.40,41.40,-0.60,-1.43,"176,613",,,,,
2025-05-19,41.80,42.15,41.45,42.00,0.15,0.36,"218,690",,,,,
2025-05-18,42.00,42.15,41.80,41.85,-0.15,-0.36,"123,821",,,,,
2025-05-15,42.20,42.35,41.75,42.00,0.00,0.00,"437,930",,,,,
2025-05-14,42.20,42.40,41.80,42.00,-0.10,-0.24,"168,708",,,,,
2025-05-13,41.80,42.20,41.45,42.10,0.40,0.96,"382,653",,,,,
2025-05-12,41.80,41.95,41.50,41.70,-0.05,-0.12,"477,915",,,,,
2025-05-11,42.00,42.20,41.45,41.75,-0.15,-0.36,"114,640",,,,,
2025-05-08,41.90,42.10,41.50,41.90,0.05,0.12,"342,251",,,,,
2025-05-07,42.60,42.60,41.65,41.85,-0.85,-1.99,"265,431",,,,,
2025-05-06,41.90,42.75,41.90,42.70,0.55,1.30,"283,438",,,,,
2025-05-05,42.00,42.50,41.75,42.15,0.25,0.60,"231,460",,,,,
2025-05-04,43.55,43.60,41.85,41.90,-1.50,-3.46,"227,497",,,,,
2025-05-01,44.05,44.30,42.95,43.40,-2.65,-5.75,"376,538",,,,,
2025-04-30,46.60,46.65,45.85,46.05,-0.50,-1.07,"632,126",,,,,
2025-04-29,46.10,46.70,46.00,46.55,0.45,0.98,"377,793",,,,,
2025-04-28,45.85,46.15,45.50,46.10,0.25,0.55,"355,946",,,,,
2025-04-27,45.30,45.85,45.30,45.85,0.55,1.21,"168,123",,,,,
2025-04-24,44.85,45.30,44.70,45.30,0.45,1.00,"158,281",,,,,
2025-04-23,44.60,44.95,44.60,44.85,0.40,0.90,"128,867",,,,,
2025-04-22,44.40,44.80,44.25,44.45,0.05,0.11,"159,230",,,,,
2025-04-21,44.35,44.70,44.25,44.40,-0.30,-0.67,"97,073",,,,,
2025-04-20,44.05,44.70,44.00,44.70,0.85,1.94,"169,381",,,,,
2025-04-17,43.85,44.20,43.55,43.85,-0.20,-0.45,"110,097",,,,,
2025-04-16,43.65,44.20,43.55,44.05,0.25,0.57,"202,486",,,,,
2025-04-15,43.75,44.30,43.65,43.80,0.10,0.23,"196,663",,,,,
2025-04-14,43.35,43.70,43.25,43.70,0.40,0.92,"120,875",,,,,
2025-04-13,43.30,43.45,43.10,43.30,0.00,0.00,"94,048",,,,,
2025-04-10,43.80,44.35,43.00,43.30,0.05,0.12,"580,359",,,,,
2025-04-09,44.55,44.60,42.50,43.25,-0.95,-2.15,"539,233",,,,,
2025-04-08,44.05,45.05,44.00,44.20,0.15,0.34,"256,743",,,,,
2025-04-07,42.00,44.40,42.00,44.05,1.20,2.80,"335,139",,,,,
2025-04-06,42.50,44.80,42.45,42.85,-2.95,-6.44,"333,261",,,,,
2025-04-03,44.90,45.80,44.00,45.80,0.80,1.78,"236,172",,,,,
2025-03-27,44.40,45.00,44.40,45.00,0.55,1.24,"258,805",,,,,
2025-03-26,44.35,44.70,44.10,44.45,0.10,0.23,"143,358",,,,,
2025-03-25,43.90,44.70,43.65,44.35,0.45,1.03,"208,684",,,,,
2025-03-24,43.00,44.00,42.75,43.90,1.00,2.33,"211,987",,,,,
2025-03-23,42.70,43.35,42.70,42.90,0.20,0.47,"63,927",,,,,
2025-03-20,43.05,43.40,42.70,42.70,-0.35,-0.81,"152,276",,,,,
2025-03-19,42.95,43.25,42.80,43.05,0.05,0.12,"132,179",,,,,
2025-03-18,42.70,43.20,42.40,43.00,0.30,0.70,"177,686",,,,,
2025-03-17,42.00,42.70,41.95,42.70,0.75,1.79,"202,450",,,,,
2025-03-16,41.70,42.00,41.60,41.95,0.25,0.60,"70,653",,,,,
2025-03-13,41.75,41.75,41.30,41.70,-0.05,-0.12,"114,585",,,,,
2025-03-12,41.20,41.85,40.90,41.75,0.55,1.33,"136,492",,,,,
2025-03-11,40.90,41.35,40.00,41.20,0.30,0.73,"226,850",,,,,
2025-03-10,41.95,42.60,40.90,40.90,-1.10,-2.62,"416,419",,,,,
2025-03-09,42.50,42.60,41.55,42.00,-0.15,-0.36,"85,156",,,,,
2025-03-06,41.80,42.25,41.70,42.15,0.35,0.84,"158,980",,,,,
2025-03-05,41.85,41.85,41.50,41.80,-0.10,-0.24,"53,962",,,,,
2025-03-04,42.00,42.00,41.35,41.90,-0.10,-0.24,"89,429",,,,,
2025-03-03,41.30,42.00,41.20,42.00,0.70,1.69,"88,304",,,,,
2025-03-02,41.70,41.70,41.05,41.30,0.00,0.00,"64,069",,,,,
2025-02-27,42.00,42.10,41.00,41.30,-0.65,-1.55,"240,247",,,,,
2025-02-26,42.50,42.55,41.40,41.95,-0.60,-1.41,"274,974",,,,,
2025-02-25,42.65,42.85,42.10,42.55,-0.10,-0.23,"95,209",,,,,
2025-02-24,42.80,43.00,42.45,42.65,-0.25,-0.58,"145,998",,,,,
2025-02-20,43.00,43.00,42.15,42.90,0.05,0.12,"125,248",,,,,
2025-02-19,42.80,42.95,42.55,42.85,-0.10,-0.23,"134,938",,,,,
