0,1,2,3,4,5,6,7,8,9
2025-05-29,5.07,5.10,5.03,5.03,-0.04,-0.79,"3,621,601",,
2025-05-28,5.05,5.09,5.04,5.07,0.02,0.40,"1,886,967",,
2025-05-27,5.07,5.08,5.03,5.05,-0.02,-0.39,"3,091,051",,
2025-05-26,5.09,5.12,5.01,5.07,-0.02,-0.39,"2,269,014",,
2025-05-25,5.07,5.14,5.05,5.09,-0.01,-0.20,"2,075,418",,
2025-05-22,5.11,5.13,5.07,5.10,-0.03,-0.58,"2,435,304",,
2025-05-21,5.24,5.24,5.13,5.13,-0.12,-2.29,"2,362,937",,
2025-05-20,5.30,5.30,5.22,5.25,-0.04,-0.76,"3,102,029",,
2025-05-19,5.42,5.46,5.27,5.29,-0.13,-2.40,"3,338,519",,
2025-05-18,5.48,5.48,5.41,5.42,-0.04,-0.73,"1,638,265",,
2025-05-15,5.56,5.58,5.46,5.46,-0.11,-1.97,"2,076,990",,
2025-05-14,5.53,5.58,5.52,5.57,0.04,0.72,"2,058,663",,
2025-05-13,5.59,5.59,5.51,5.53,-0.01,-0.18,"3,534,559",,
2025-05-12,5.50,5.60,5.46,5.54,0.11,2.03,"3,511,020",,
2025-05-11,5.45,5.45,5.41,5.43,0.02,0.37,"1,183,316",,
2025-05-08,5.45,5.49,5.41,5.41,-0.04,-0.73,"2,659,777",,
2025-05-07,5.55,5.57,5.45,5.45,-0.11,-1.98,"2,647,155",,
2025-05-06,5.61,5.62,5.55,5.56,-0.04,-0.71,"1,685,064",,
2025-05-05,5.64,5.65,5.59,5.60,-0.04,-0.71,"2,575,665",,
2025-05-04,5.78,5.79,5.64,5.64,-0.13,-2.25,"1,811,631",,
2025-05-01,5.80,5.82,5.75,5.77,0.00,0.00,"1,736,717",,
2025-04-30,5.83,5.85,5.76,5.77,-0.06,-1.03,"2,661,330",,
2025-04-29,5.94,5.94,5.83,5.83,-0.17,-2.83,"5,480,341",,
2025-04-28,6.06,6.08,5.97,6.00,-0.06,-0.99,"2,930,703",,
2025-04-27,6.11,6.15,6.03,6.06,-0.02,-0.33,"3,249,546",,
2025-04-24,5.91,6.26,5.90,6.08,0.17,2.88,"11,960,059",,
2025-04-23,5.88,5.92,5.88,5.91,0.06,1.03,"1,228,000",,
2025-04-22,5.89,5.91,5.84,5.85,-0.06,-1.02,"1,901,185",,
2025-04-21,5.97,5.97,5.89,5.91,-0.06,-1.01,"2,073,031",,
2025-04-20,5.99,6.04,5.96,5.97,-0.01,-0.17,"1,764,894",,
2025-04-17,6.04,6.11,5.97,5.98,-0.10,-1.64,"2,821,167",,
2025-04-16,6.06,6.14,6.03,6.08,0.02,0.33,"1,094,484",,
2025-04-15,6.10,6.15,6.05,6.06,-0.04,-0.66,"1,844,549",,
2025-04-14,6.00,6.10,5.95,6.10,0.10,1.67,"2,324,634",,
2025-04-13,6.01,6.04,5.97,6.00,0.00,0.00,"1,406,486",,
