0,1,2,3,4,5,6,7,8,9
2025-05-29,65.70,66.50,65.00,65.00,-0.90,-1.37,"87,331",,
2025-05-28,66.30,66.80,64.30,65.90,-0.60,-0.90,"201,853",,
2025-05-27,67.20,67.60,64.00,66.50,-0.50,-0.75,"194,677",,
2025-05-26,67.50,69.80,66.40,67.00,-0.70,-1.03,"219,979",,
2025-05-25,70.40,70.40,67.50,67.70,-2.00,-2.87,"103,010",,
2025-05-22,69.70,71.20,68.80,69.70,-0.30,-0.43,"247,894",,
2025-05-21,70.50,71.10,68.90,70.00,0.00,0.00,"212,346",,
2025-05-20,69.40,72.20,68.00,70.00,1.90,2.79,"395,146",,
2025-05-19,69.80,70.00,68.00,68.10,-1.70,-2.44,"88,580",,
2025-05-18,67.50,71.40,67.40,69.80,2.30,3.41,"327,735",,
2025-05-15,67.10,67.60,65.90,67.50,0.30,0.45,"86,994",,
2025-05-14,68.50,69.00,67.00,67.20,-0.80,-1.18,"73,696",,
2025-05-13,70.00,70.00,67.80,68.00,-1.00,-1.45,"116,121",,
2025-05-12,69.20,69.50,67.80,69.00,1.20,1.77,"118,515",,
2025-05-11,67.50,69.40,66.90,67.80,0.90,1.35,"162,135",,
2025-05-08,66.20,68.50,65.00,66.90,2.20,3.40,"147,958",,
2025-05-07,66.30,67.30,64.70,64.70,-1.60,-2.41,"81,506",,
2025-05-06,67.30,68.30,66.30,66.30,-0.40,-0.60,"75,029",,
2025-05-05,66.20,68.50,65.40,66.70,-0.30,-0.45,"300,625",,
2025-05-04,67.40,70.10,67.00,67.00,0.00,0.00,"91,532",,
2025-05-01,68.00,68.40,67.00,67.00,-1.30,-1.90,"55,263",,
2025-04-30,70.40,70.40,67.90,68.30,-2.10,-2.98,"101,433",,
2025-04-29,69.60,72.00,68.80,70.40,1.80,2.62,"586,729",,
2025-04-28,67.50,69.70,67.40,68.60,1.10,1.63,"248,448",,
2025-04-27,68.90,69.90,67.50,67.50,-2.00,-2.88,"330,581",,
2025-04-24,63.80,69.50,62.90,69.50,6.30,9.97,"547,074",,
2025-04-23,63.90,64.00,62.80,63.20,0.20,0.32,"64,622",,
2025-04-22,62.00,63.60,61.90,63.00,0.00,0.00,"65,736",,
2025-04-21,63.00,63.00,62.00,63.00,0.00,0.00,"64,084",,
2025-04-20,62.20,64.60,62.20,63.00,1.10,1.78,"100,174",,
2025-04-17,63.40,63.50,61.80,61.90,-1.40,-2.21,"75,521",,
2025-04-16,65.60,65.60,63.30,63.30,-2.40,-3.65,"270,398",,
2025-04-15,64.40,67.00,64.20,65.70,0.70,1.08,"392,895",,
2025-04-14,64.40,65.70,64.00,65.00,0.80,1.25,"197,522",,
2025-04-13,66.00,66.40,64.00,64.20,-1.80,-2.73,"314,979",,
2025-04-10,61.50,66.00,61.10,66.00,6.00,10.00,"463,068",,
2025-04-09,57.00,61.70,57.00,60.00,1.60,2.74,"248,959",,
2025-04-08,56.90,58.80,55.10,58.40,4.40,8.15,"265,396",,
2025-04-07,49.50,55.00,48.30,54.00,2.00,3.85,"330,890",,
2025-04-06,51.00,54.30,50.60,52.00,-3.00,-5.45,"151,191",,
2025-04-03,58.40,58.50,53.10,55.00,-3.90,-6.62,"457,510",,
2025-03-27,58.20,59.50,58.00,58.90,0.90,1.55,"44,230",,
2025-03-26,55.10,58.40,55.10,58.00,2.60,4.69,"74,440",,
2025-03-25,56.00,56.00,55.00,55.40,-0.80,-1.42,"54,112",,
2025-03-24,55.40,57.90,54.80,56.20,0.80,1.44,"81,451",,
2025-03-23,53.50,55.50,53.30,55.40,2.20,4.14,"78,196",,
2025-03-20,53.30,55.00,53.00,53.20,0.00,0.00,"50,998",,
2025-03-19,55.00,55.00,53.00,53.20,-1.30,-2.39,"54,775",,
2025-03-18,57.40,57.60,54.30,54.50,-2.70,-4.72,"92,293",,
2025-03-17,58.50,59.00,57.20,57.20,-1.30,-2.22,"127,420",,
2025-03-16,60.70,60.70,58.50,58.50,-2.20,-3.62,"139,748",,
2025-03-13,62.80,62.80,60.70,60.70,-1.20,-1.94,"46,923",,
2025-03-12,61.00,62.40,60.50,61.90,0.90,1.48,"32,352",,
2025-03-11,60.60,61.30,57.10,61.00,-0.10,-0.16,"208,824",,
2025-03-10,61.50,62.00,60.60,61.10,-0.90,-1.45,"47,319",,
2025-03-09,62.60,63.00,61.50,62.00,-0.50,-0.80,"68,386",,
2025-03-06,63.00,63.90,61.10,62.50,-0.50,-0.79,"64,992",,
2025-03-05,64.20,64.60,63.00,63.00,-1.70,-2.63,"60,970",,
2025-03-04,65.20,66.60,64.50,64.70,-1.20,-1.82,"49,848",,
2025-03-03,67.00,67.00,63.80,65.90,0.80,1.23,"106,153",,
2025-03-02,66.10,66.30,63.90,65.10,-0.80,-1.21,"100,052",,
2025-02-27,64.70,65.90,63.90,65.90,1.70,2.65,"90,022",,
2025-02-26,64.00,64.70,63.30,64.20,0.30,0.47,"33,963",,
2025-02-25,62.10,64.20,60.70,63.90,1.80,2.90,"80,252",,
2025-02-24,63.40,64.60,61.80,62.10,-1.30,-2.05,"100,755",,
2025-02-20,63.70,64.60,62.60,63.40,-0.80,-1.25,"69,069",,
2025-02-19,65.20,65.40,63.20,64.20,-1.20,-1.83,"111,136",,
2025-02-18,65.20,66.00,65.20,65.40,-0.20,-0.30,"31,107",,
2025-02-17,66.90,66.90,65.30,65.60,-1.30,-1.94,"38,653",,
2025-02-16,65.60,67.40,65.20,66.90,0.80,1.21,"86,861",,
2025-02-13,65.30,66.30,64.80,66.10,0.80,1.23,"33,438",,
2025-02-12,66.60,66.80,65.00,65.30,-1.30,-1.95,"58,168",,
2025-02-11,67.20,67.90,66.20,66.60,-0.90,-1.33,"83,701",,
2025-02-10,69.10,69.10,67.40,67.50,-1.50,-2.17,"52,291",,
2025-02-09,67.40,69.10,67.00,69.00,1.10,1.62,"61,425",,
2025-02-06,67.90,68.50,67.20,67.90,0.00,0.00,"66,130",,
2025-02-05,67.90,68.70,67.70,67.90,0.00,0.00,"32,780",,
2025-02-04,68.10,69.00,67.80,67.90,-0.70,-1.02,"28,010",,
2025-02-03,69.00,69.30,68.30,68.60,-0.70,-1.01,"41,855",,
2025-02-02,70.00,70.50,69.00,69.30,-0.70,-1.00,"23,399",,
