0,1,2,3,4,5,6,7,8,9
2025-05-29,60.00,60.50,59.50,59.90,0.10,0.17,"267,331",,
2025-05-28,58.90,60.60,58.90,59.80,1.10,1.87,"197,852",,
2025-05-27,60.70,60.70,58.60,58.70,-1.40,-2.33,"249,722",,
2025-05-26,61.60,61.90,59.50,60.10,-1.10,-1.80,"415,560",,
2025-05-25,58.70,61.60,58.50,61.20,2.80,4.79,"1,009,131",,
2025-05-22,57.50,58.90,57.20,58.40,0.40,0.69,"325,846",,
2025-05-21,59.00,59.20,57.80,58.00,-0.70,-1.19,"365,370",,
2025-05-20,59.00,60.60,58.70,58.70,0.30,0.51,"790,320",,
2025-05-19,58.00,58.60,57.40,58.40,0.40,0.69,"496,997",,
2025-05-18,56.50,58.20,56.30,58.00,1.20,2.11,"408,390",,
2025-05-15,57.00,57.30,56.20,56.80,0.10,0.18,"309,347",,
2025-05-14,57.20,57.50,56.60,56.70,0.70,1.25,"365,277",,
2025-05-13,55.20,56.80,54.00,56.00,1.30,2.38,"551,966",,
2025-05-12,54.10,55.80,54.10,54.70,0.70,1.30,"411,705",,
2025-05-11,54.90,54.90,53.70,54.00,-0.30,-0.55,"259,649",,
2025-05-08,54.60,55.70,54.00,54.30,-0.10,-0.18,"490,796",,
2025-05-07,57.40,57.40,54.10,54.40,2.20,4.21,"2,792,829",,
2025-05-06,52.90,53.50,52.10,52.20,-0.70,-1.32,"138,721",,
2025-05-05,54.00,54.20,52.70,52.90,-1.40,-2.58,"417,050",,
2025-05-04,55.50,55.90,54.30,54.30,-1.00,-1.81,"74,987",,
2025-05-01,56.10,56.30,55.00,55.30,0.10,0.18,"150,154",,
2025-04-30,56.60,56.60,54.80,55.20,-1.10,-1.95,"151,698",,
2025-04-29,55.80,58.20,55.80,56.30,1.30,2.36,"731,568",,
2025-04-28,55.50,55.50,55.00,55.00,-0.40,-0.72,"81,781",,
2025-04-27,55.40,55.40,55.10,55.40,0.40,0.73,"67,954",,
2025-04-24,54.50,55.30,54.40,55.00,1.00,1.85,"125,647",,
2025-04-23,55.80,56.30,53.90,54.00,-0.90,-1.64,"299,878",,
2025-04-22,55.00,55.50,54.80,54.90,-0.80,-1.44,"93,826",,
2025-04-21,56.50,56.50,55.50,55.70,-0.70,-1.24,"64,737",,
2025-04-20,55.40,56.70,55.40,56.40,1.20,2.17,"73,849",,
2025-04-17,56.60,56.60,55.00,55.20,-1.40,-2.47,"79,688",,
2025-04-16,56.60,56.90,56.10,56.60,0.10,0.18,"81,383",,
2025-04-15,57.50,57.70,56.40,56.50,-0.60,-1.05,"159,873",,
2025-04-14,56.00,58.10,56.00,57.10,1.30,2.33,"316,147",,
2025-04-13,53.80,57.50,53.50,55.80,2.90,5.48,"433,936",,
2025-04-10,54.60,54.60,52.40,52.90,2.00,3.93,"220,108",,
2025-04-09,52.60,53.10,50.70,50.90,-2.20,-4.14,"140,826",,
2025-04-08,52.60,54.30,52.50,53.10,1.30,2.51,"280,635",,
2025-04-07,49.00,52.80,48.40,51.80,-1.70,-3.18,"566,547",,
2025-04-06,53.80,55.10,53.50,53.50,-5.90,-9.93,"249,242",,
2025-04-03,60.50,61.00,59.40,59.40,-2.00,-3.26,"121,005",,
2025-03-27,61.40,62.20,60.80,61.40,0.20,0.33,"82,620",,
2025-03-26,60.50,61.90,60.20,61.20,1.20,2.00,"90,653",,
2025-03-25,61.50,61.50,59.60,60.00,-1.40,-2.28,"124,897",,
2025-03-24,61.20,62.00,60.90,61.40,-0.60,-0.97,"57,676",,
2025-03-23,60.90,62.20,60.90,62.00,1.40,2.31,"89,625",,
2025-03-20,60.40,61.30,60.40,60.60,0.40,0.66,"37,991",,
2025-03-19,61.10,61.10,59.50,60.20,-0.90,-1.47,"105,695",,
2025-03-18,61.70,62.00,60.80,61.10,-1.00,-1.61,"137,669",,
2025-03-17,63.60,63.60,61.60,62.10,-1.20,-1.90,"110,671",,
2025-03-16,62.70,63.60,62.50,63.30,0.80,1.28,"57,925",,
2025-03-13,62.50,64.40,61.80,62.50,0.30,0.48,"166,124",,
2025-03-12,59.70,62.40,59.70,62.20,1.50,2.47,"188,679",,
2025-03-11,60.10,61.40,57.90,60.70,-0.30,-0.49,"184,551",,
2025-03-10,62.60,62.70,60.90,61.00,-1.30,-2.09,"159,051",,
2025-03-09,61.50,63.20,61.50,62.30,0.40,0.65,"125,223",,
2025-03-06,63.80,63.80,61.20,61.90,-1.90,-2.98,"190,852",,
2025-03-05,65.00,65.40,63.60,63.80,-1.40,-2.15,"162,285",,
2025-03-04,66.00,66.40,64.80,65.20,-0.80,-1.21,"128,031",,
2025-03-03,66.00,66.30,64.10,66.00,0.80,1.23,"132,328",,
2025-03-02,66.40,66.40,64.90,65.20,-1.20,-1.81,"55,432",,
2025-02-27,66.60,66.60,65.70,66.40,-0.20,-0.30,"125,042",,
2025-02-26,67.00,67.00,66.00,66.60,-0.40,-0.60,"178,311",,
2025-02-25,65.30,67.10,65.10,67.00,1.50,2.29,"274,508",,
2025-02-24,67.40,67.50,65.30,65.50,-2.00,-2.96,"247,581",,
2025-02-20,70.00,70.00,67.10,67.50,-4.90,-6.77,"917,483",,
2025-02-19,73.80,73.80,71.80,72.40,-1.50,-2.03,"192,663",,
2025-02-18,73.10,74.40,73.00,73.90,0.70,0.96,"189,462",,
2025-02-17,74.00,74.20,73.00,73.20,-0.70,-0.95,"198,379",,
2025-02-16,75.00,75.40,73.70,73.90,-0.80,-1.07,"152,307",,
2025-02-13,75.40,76.50,74.20,74.70,-0.70,-0.93,"312,008",,
2025-02-12,75.90,76.60,74.70,75.40,-0.40,-0.53,"501,301",,
2025-02-11,76.00,77.80,75.50,75.80,2.00,2.71,"1,703,996",,
2025-02-10,74.30,75.20,73.70,73.80,-0.50,-0.67,"331,261",,
2025-02-09,72.80,74.80,72.30,74.30,1.50,2.06,"396,308",,
2025-02-06,74.00,74.00,72.40,72.80,-0.50,-0.68,"198,242",,
2025-02-05,75.40,76.00,72.90,73.30,-1.40,-1.87,"466,768",,
2025-02-04,73.00,75.80,72.30,74.70,1.90,2.61,"989,589",,
2025-02-03,72.30,74.90,71.70,72.80,0.00,0.00,"838,772",,
2025-02-02,73.30,74.00,71.10,72.80,-0.40,-0.55,"533,177",,
2025-01-30,68.50,74.00,68.20,73.20,5.00,7.33,"1,571,814",,
2025-01-29,67.50,68.70,67.30,68.20,0.60,0.89,"179,532",,
2025-01-28,67.10,68.40,67.00,67.60,0.40,0.60,"214,762",,
2025-01-27,69.30,69.60,67.20,67.20,-2.00,-2.89,"371,677",,
2025-01-26,68.70,69.60,68.60,69.20,0.50,0.73,"115,043",,
2025-01-23,69.20,69.50,68.30,68.70,-0.30,-0.43,"155,442",,
2025-01-22,70.80,71.70,68.70,69.00,-1.80,-2.54,"547,207",,
2025-01-21,70.20,71.50,69.70,70.80,0.80,1.14,"671,671",,
2025-01-20,68.60,70.00,67.80,70.00,1.50,2.19,"485,727",,
2025-01-19,67.20,70.40,66.90,68.50,2.20,3.32,"853,284",,
2025-01-16,64.80,67.70,64.60,66.30,1.80,2.79,"678,416",,
2025-01-15,64.40,64.90,64.10,64.50,0.30,0.47,"121,799",,
2025-01-14,64.40,64.50,64.00,64.20,0.10,0.16,"91,876",,
2025-01-13,64.40,64.80,64.10,64.10,-0.60,-0.93,"108,771",,
2025-01-12,64.50,65.00,64.40,64.70,0.20,0.31,"82,826",,
2025-01-09,65.20,66.40,64.00,64.50,-0.70,-1.07,"305,754",,
2025-01-08,64.40,65.50,64.40,65.20,0.30,0.46,"107,291",,
2025-01-07,65.30,65.50,64.80,64.90,-0.30,-0.46,"88,655",,
2025-01-06,64.80,65.60,63.90,65.20,0.50,0.77,"170,673",,
2025-01-05,64.50,65.30,64.50,64.70,-0.10,-0.15,"63,914",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
