0,1,2,3,4,5,6,7,8,9
2025-05-29,30.80,31.00,30.65,30.80,0.00,0.00,"18,714",,
2025-05-28,30.35,31.00,30.35,30.80,0.40,1.32,"15,545",,
2025-05-27,31.50,31.65,30.30,30.40,-1.00,-3.18,"34,601",,
2025-05-26,31.40,31.50,30.75,31.40,0.00,0.00,"32,118",,
2025-05-25,30.80,31.40,30.35,31.40,0.55,1.78,"33,494",,
2025-05-22,30.65,30.85,30.35,30.85,0.20,0.65,"12,224",,
2025-05-21,31.30,31.30,30.60,30.65,-0.65,-2.08,"20,717",,
2025-05-20,31.90,32.00,31.30,31.30,-0.75,-2.34,"48,498",,
2025-05-19,32.75,32.75,31.80,32.05,-0.65,-1.99,"48,586",,
2025-05-18,32.50,32.90,32.50,32.70,0.15,0.46,"13,099",,
2025-05-15,33.05,33.05,32.20,32.55,-0.50,-1.51,"17,161",,
2025-05-14,33.20,33.30,32.90,33.05,-0.55,-1.64,"38,282",,
2025-05-13,33.55,33.80,33.30,33.60,0.05,0.15,"15,803",,
2025-05-12,32.95,33.55,32.75,33.55,0.75,2.29,"26,614",,
2025-05-11,32.40,33.00,32.40,32.80,0.40,1.23,"14,345",,
2025-05-08,33.00,33.00,32.25,32.40,-0.60,-1.82,"21,659",,
2025-05-07,34.00,34.00,33.00,33.00,-0.60,-1.79,"15,906",,
2025-05-06,33.75,34.00,33.55,33.60,0.00,0.00,"34,069",,
2025-05-05,33.05,33.70,32.70,33.60,0.50,1.51,"42,180",,
2025-05-04,33.05,33.65,33.00,33.10,-0.20,-0.60,"13,212",,
2025-05-01,33.50,33.80,32.75,33.30,-0.40,-1.19,"38,200",,
2025-04-30,34.50,34.50,33.55,33.70,-0.80,-2.32,"39,317",,
2025-04-29,34.70,35.00,34.35,34.50,-0.20,-0.58,"11,301",,
2025-04-28,34.95,34.95,34.30,34.70,-0.10,-0.29,"22,310",,
2025-04-27,34.45,35.35,34.45,34.80,0.70,2.05,"84,867",,
2025-04-24,33.95,34.10,33.60,34.10,0.15,0.44,"24,517",,
2025-04-23,33.95,33.95,33.50,33.95,0.45,1.34,"15,030",,
2025-04-22,33.75,33.95,33.50,33.50,-0.25,-0.74,"18,786",,
2025-04-21,34.50,34.50,33.70,33.75,-0.55,-1.60,"13,797",,
2025-04-20,32.90,34.35,32.90,34.30,1.30,3.94,"27,331",,
2025-04-17,33.35,33.85,33.00,33.00,-0.40,-1.20,"32,356",,
2025-04-16,33.20,33.70,33.00,33.40,-0.05,-0.15,"27,620",,
2025-04-15,33.95,34.95,33.00,33.45,-0.60,-1.76,"83,758",,
2025-04-14,33.30,34.25,33.05,34.05,0.75,2.25,"47,027",,
2025-04-13,32.50,33.80,32.50,33.30,0.80,2.46,"48,209",,
2025-04-10,31.65,32.90,31.50,32.50,1.95,6.38,"54,555",,
2025-04-09,32.00,33.00,30.55,30.55,-1.45,-4.53,"33,890",,
2025-04-08,31.75,32.95,31.75,32.00,0.35,1.11,"46,671",,
2025-04-07,30.35,32.50,29.70,31.65,-0.15,-0.47,"83,052",,
2025-04-06,32.20,33.50,31.50,31.80,-3.20,-9.14,"78,529",,
2025-04-03,35.20,35.90,34.00,35.00,-0.65,-1.82,"36,574",,
2025-03-27,35.25,35.70,35.05,35.65,0.40,1.13,"24,958",,
2025-03-26,34.25,35.35,34.05,35.25,0.70,2.03,"44,524",,
2025-03-25,34.65,34.85,33.90,34.55,-0.10,-0.29,"19,965",,
2025-03-24,34.35,34.90,33.85,34.65,0.30,0.87,"13,360",,
2025-03-23,35.00,35.35,34.35,34.35,-0.65,-1.86,"21,391",,
2025-03-20,34.65,35.30,34.65,35.00,0.35,1.01,"19,219",,
2025-03-19,34.70,35.05,34.65,34.65,0.05,0.14,"11,431",,
2025-03-18,35.55,35.60,34.60,34.60,-0.95,-2.67,"21,321",,
2025-03-17,36.10,36.35,35.35,35.55,-0.55,-1.52,"19,888",,
2025-03-16,36.00,36.40,35.50,36.10,0.75,2.12,"28,250",,
2025-03-13,35.10,35.95,34.70,35.35,0.25,0.71,"23,358",,
2025-03-12,34.70,35.40,34.70,35.10,0.40,1.15,"18,038",,
2025-03-11,34.00,34.70,33.00,34.70,0.50,1.46,"51,666",,
2025-03-10,35.60,35.60,34.00,34.20,-1.20,-3.39,"39,988",,
