0,1,2,3,4,5,6,7,8,9
2025-05-29,29.60,29.90,29.55,29.70,0.20,0.68,"62,191",,
2025-05-28,29.20,30.10,29.20,29.50,0.15,0.51,"85,979",,
2025-05-27,29.70,29.70,29.15,29.35,-0.05,-0.17,"35,638",,
2025-05-26,29.85,29.85,29.05,29.40,-0.35,-1.18,"62,380",,
2025-05-25,29.95,29.95,29.45,29.75,-0.20,-0.67,"68,733",,
2025-05-22,30.35,30.35,29.65,29.95,-0.55,-1.80,"105,277",,
2025-05-21,30.45,30.50,30.00,30.50,0.05,0.16,"42,407",,
2025-05-20,30.15,30.50,30.00,30.45,0.35,1.16,"57,442",,
2025-05-19,30.30,30.45,30.10,30.10,-0.40,-1.31,"26,749",,
2025-05-18,30.85,30.85,30.30,30.50,-0.30,-0.97,"141,593",,
2025-05-15,30.85,30.95,30.50,30.80,-0.40,-1.28,"68,080",,
2025-05-14,30.75,31.30,30.75,31.20,-0.05,-0.16,"110,033",,
2025-05-13,31.15,31.30,30.90,31.25,0.10,0.32,"76,935",,
2025-05-12,31.25,31.30,31.00,31.15,0.05,0.16,"84,188",,
2025-05-11,31.00,31.10,30.70,31.10,-0.10,-0.32,"44,381",,
2025-05-08,30.85,31.20,30.60,31.20,0.45,1.46,"49,249",,
2025-05-07,31.15,31.15,30.70,30.75,-0.40,-1.28,"73,569",,
2025-05-06,31.30,31.40,30.90,31.15,-0.25,-0.80,"38,120",,
2025-05-05,31.20,31.40,30.70,31.40,0.35,1.13,"115,502",,
2025-05-04,31.20,31.30,30.90,31.05,-0.15,-0.48,"25,344",,
2025-05-01,31.10,31.30,30.90,31.20,0.15,0.48,"87,848",,
2025-04-30,31.35,31.40,31.00,31.05,-0.30,-0.96,"160,592",,
2025-04-29,31.60,31.65,31.10,31.35,-0.15,-0.48,"94,520",,
2025-04-28,31.80,31.80,31.40,31.50,-0.20,-0.63,"53,210",,
2025-04-27,31.80,32.05,31.60,31.70,-0.10,-0.31,"40,669",,
2025-04-24,31.65,31.90,31.55,31.80,0.15,0.47,"39,409",,
2025-04-23,31.50,31.65,31.25,31.65,0.55,1.77,"50,566",,
2025-04-22,31.10,31.25,30.90,31.10,0.00,0.00,"82,110",,
2025-04-21,31.60,31.65,31.10,31.10,-0.55,-1.74,"56,975",,
2025-04-20,31.50,31.80,31.30,31.65,0.20,0.64,"43,182",,
2025-04-17,31.35,31.45,31.25,31.45,-0.15,-0.47,"34,846",,
2025-04-16,31.75,31.75,31.35,31.60,-0.15,-0.47,"58,567",,
2025-04-15,31.55,31.95,31.55,31.75,0.35,1.11,"38,029",,
2025-04-14,31.50,31.70,31.30,31.40,0.00,0.00,"88,821",,
2025-04-13,31.10,31.80,31.10,31.40,0.40,1.29,"113,996",,
2025-04-10,31.40,31.65,30.75,31.00,0.30,0.98,"198,505",,
2025-04-09,30.95,31.10,30.35,30.70,-0.25,-0.81,"94,903",,
2025-04-08,31.30,31.95,30.95,30.95,-0.35,-1.12,"157,156",,
2025-04-07,30.70,31.50,29.65,31.30,0.20,0.64,"298,479",,
2025-04-06,32.55,32.55,31.10,31.10,-2.80,-8.26,"236,563",,
2025-04-03,33.30,34.30,33.25,33.90,0.60,1.80,"122,438",,
2025-03-27,32.80,33.75,32.75,33.30,0.90,2.78,"267,648",,
2025-03-26,32.20,32.80,32.20,32.40,0.20,0.62,"57,980",,
2025-03-25,32.00,32.30,31.80,32.20,0.45,1.42,"21,599",,
2025-03-24,31.60,31.95,31.50,31.75,0.15,0.47,"16,212",,
2025-03-23,31.85,31.95,31.50,31.60,-0.25,-0.78,"23,864",,
2025-03-20,31.70,32.00,31.50,31.85,0.15,0.47,"55,300",,
2025-03-19,31.85,32.00,31.70,31.70,-0.25,-0.78,"30,294",,
2025-03-18,32.20,32.20,31.65,31.95,-0.10,-0.31,"28,206",,
2025-03-17,31.70,32.40,31.70,32.05,0.55,1.75,"40,324",,
2025-03-16,31.30,31.70,31.15,31.50,0.25,0.80,"31,703",,
