0,1,2,3,4,5,6,7,8,9
2025-05-29,10.94,11.06,10.88,10.98,0.04,0.37,"107,708",,
2025-05-28,10.96,11.02,10.90,10.94,0.04,0.37,"56,651",,
2025-05-27,11.00,11.10,10.82,10.90,-0.10,-0.91,"126,768",,
2025-05-26,11.10,11.20,10.72,11.00,-0.08,-0.72,"179,648",,
2025-05-25,11.14,11.22,11.08,11.08,-0.06,-0.54,"80,885",,
2025-05-22,11.32,11.40,11.14,11.14,-0.08,-0.71,"134,638",,
2025-05-21,11.60,11.62,11.12,11.22,-0.48,-4.10,"154,452",,
2025-05-20,11.64,11.76,11.60,11.70,-0.04,-0.34,"112,113",,
2025-05-19,11.74,11.78,11.64,11.74,-0.06,-0.51,"55,378",,
2025-05-18,11.84,11.90,11.72,11.80,-0.02,-0.17,"31,525",,
2025-05-15,11.84,11.86,11.78,11.82,-0.08,-0.67,"70,090",,
2025-05-14,11.90,11.98,11.84,11.90,0.00,0.00,"129,548",,
2025-05-13,11.74,11.92,11.70,11.90,-0.06,-0.50,"209,363",,
2025-05-12,11.74,12.04,11.74,11.96,0.08,0.67,"87,027",,
2025-05-11,12.12,12.12,11.74,11.88,0.10,0.85,"59,926",,
2025-05-08,11.84,11.94,11.70,11.78,-0.08,-0.67,"133,621",,
2025-05-07,11.96,11.96,11.82,11.86,-0.16,-1.33,"97,020",,
2025-05-06,12.30,12.30,11.92,12.02,-0.02,-0.17,"65,238",,
2025-05-05,12.00,12.08,11.80,12.04,-0.04,-0.33,"177,721",,
2025-05-04,12.20,12.34,12.02,12.08,-0.28,-2.27,"44,560",,
2025-05-01,12.40,12.40,12.10,12.36,0.00,0.00,"241,406",,
2025-04-30,12.46,12.46,12.36,12.36,-0.10,-0.80,"91,442",,
2025-04-29,12.42,12.46,12.36,12.46,0.04,0.32,"132,932",,
2025-04-28,12.50,12.54,12.42,12.42,-0.08,-0.64,"70,705",,
2025-04-27,12.48,12.56,12.42,12.50,0.02,0.16,"95,184",,
2025-04-24,12.54,12.54,12.36,12.48,0.04,0.32,"132,609",,
2025-04-23,12.36,12.54,12.36,12.44,0.06,0.48,"182,218",,
2025-04-22,12.32,12.40,12.30,12.38,-0.02,-0.16,"99,092",,
2025-04-21,12.52,12.52,12.34,12.40,-0.12,-0.96,"96,724",,
2025-04-20,12.46,12.58,12.42,12.52,0.06,0.48,"167,959",,
2025-04-17,12.52,12.52,12.34,12.46,-0.10,-0.80,"159,879",,
2025-04-16,12.72,12.84,12.50,12.56,-0.42,-3.24,"421,144",,
2025-04-15,12.94,13.08,12.84,12.98,0.08,0.62,"443,883",,
2025-04-14,12.46,13.02,12.46,12.90,0.36,2.87,"228,063",,
2025-04-13,12.20,12.54,12.20,12.54,0.30,2.45,"104,496",,
2025-04-10,12.48,12.48,12.20,12.24,0.14,1.16,"157,100",,
2025-04-09,12.00,12.34,11.92,12.10,0.08,0.67,"255,272",,
2025-04-08,12.00,12.32,12.00,12.02,0.02,0.17,"224,656",,
2025-04-07,12.02,12.22,11.10,12.00,-0.08,-0.66,"443,894",,
2025-04-06,12.50,12.60,12.00,12.08,-1.00,-7.65,"249,072",,
2025-04-03,13.14,13.28,13.04,13.08,-0.24,-1.80,"147,989",,
2025-03-27,13.16,13.34,13.12,13.32,0.16,1.22,"153,724",,
2025-03-26,13.06,13.24,12.96,13.16,0.16,1.23,"232,765",,
2025-03-25,12.72,13.28,12.64,13.00,0.36,2.85,"166,478",,
2025-03-24,12.86,12.86,12.42,12.64,-0.22,-1.71,"630,850",,
2025-03-23,13.00,13.10,12.80,12.86,-0.14,-1.08,"66,193",,
2025-03-20,13.02,13.08,12.94,13.00,-0.08,-0.61,"63,165",,
2025-03-19,13.34,13.34,13.00,13.08,-0.26,-1.95,"334,229",,
2025-03-18,13.14,13.44,13.14,13.34,0.18,1.37,"292,626",,
2025-03-17,13.40,13.44,13.16,13.16,-0.26,-1.94,"135,367",,
2025-03-16,13.40,13.42,13.26,13.42,0.12,0.90,"555,370",,
2025-03-13,13.46,13.46,13.26,13.30,-0.14,-1.04,"104,077",,
2025-03-12,13.26,13.46,13.24,13.44,0.18,1.36,"67,951",,
2025-03-11,13.52,13.52,13.08,13.26,-0.30,-2.21,"234,464",,
2025-03-10,13.70,13.70,13.54,13.56,-0.14,-1.02,"99,617",,
2025-03-09,13.72,13.98,13.70,13.70,-0.02,-0.15,"115,426",,
2025-03-06,13.82,13.90,13.62,13.72,-0.26,-1.86,"196,172",,
2025-03-05,13.82,13.98,13.78,13.98,0.06,0.43,"175,563",,
2025-03-04,13.84,13.94,13.56,13.92,0.12,0.87,"111,410",,
2025-03-03,13.20,13.80,13.20,13.80,0.38,2.83,"161,327",,
2025-03-02,13.46,13.76,13.32,13.42,-0.28,-2.04,"158,043",,
2025-02-27,13.94,14.00,13.70,13.70,-0.30,-2.14,"199,115",,
2025-02-26,14.12,14.12,13.88,14.00,-0.12,-0.85,"452,383",,
2025-02-25,14.10,14.20,14.00,14.12,0.02,0.14,"354,405",,
2025-02-24,13.92,14.12,13.92,14.10,0.18,1.29,"332,241",,
2025-02-20,13.96,14.02,13.74,13.92,-0.06,-0.43,"151,412",,
2025-02-19,13.86,14.06,13.82,13.98,0.14,1.01,"262,102",,
2025-02-18,13.64,13.96,13.64,13.84,0.14,1.02,"137,652",,
2025-02-17,13.82,13.82,13.62,13.70,-0.14,-1.01,"169,346",,
2025-02-16,13.82,14.00,13.76,13.84,0.02,0.14,"62,648",,
2025-02-13,13.90,14.02,13.82,13.82,-0.22,-1.57,"103,684",,
2025-02-12,14.00,14.06,13.80,14.04,0.00,0.00,"208,633",,
2025-02-11,14.04,14.08,13.88,14.04,-0.02,-0.14,"196,455",,
2025-02-10,14.10,14.18,13.98,14.06,-0.04,-0.28,"132,653",,
2025-02-09,14.32,14.36,14.04,14.10,-0.24,-1.67,"217,625",,
2025-02-06,14.40,14.40,14.30,14.34,-0.02,-0.14,"284,413",,
2025-02-05,14.50,14.50,14.32,14.36,-0.18,-1.24,"285,968",,
2025-02-04,13.98,14.54,13.96,14.54,0.56,4.01,"1,366,991",,
2025-02-03,13.86,13.98,13.78,13.98,0.12,0.87,"381,388",,
2025-02-02,13.98,13.98,13.80,13.86,-0.12,-0.86,"108,147",,
2025-01-30,13.76,13.98,13.74,13.98,0.22,1.60,"279,900",,
2025-01-29,13.98,13.98,13.76,13.76,-0.22,-1.57,"224,206",,
2025-01-28,13.88,13.98,13.84,13.98,0.00,0.00,"371,359",,
2025-01-27,13.80,13.98,13.78,13.98,0.18,1.30,"630,238",,
2025-01-26,13.90,13.90,13.72,13.80,0.00,0.00,"235,808",,
2025-01-23,13.58,13.90,13.54,13.80,0.22,1.62,"1,459,538",,
2025-01-22,13.46,13.64,13.44,13.58,0.12,0.89,"320,718",,
2025-01-21,13.40,13.48,13.38,13.46,0.04,0.30,"210,639",,
2025-01-20,13.34,13.42,13.26,13.42,0.08,0.60,"276,542",,
2025-01-19,13.34,13.36,13.22,13.34,-0.02,-0.15,"132,943",,
2025-01-16,13.50,13.50,13.26,13.36,-0.14,-1.04,"105,000",,
2025-01-15,13.46,13.50,13.42,13.50,0.04,0.30,"139,802",,
2025-01-14,13.38,13.50,13.36,13.46,0.08,0.60,"382,531",,
2025-01-13,13.34,13.50,13.28,13.38,0.04,0.30,"424,828",,
2025-01-12,13.06,13.38,13.06,13.34,0.26,1.99,"510,996",,
