0,1,2,3,4,5,6,7,8,9
2025-05-29,7.90,7.97,7.87,7.92,0.07,0.89,"131,898",,
2025-05-28,7.98,7.98,7.83,7.85,-0.03,-0.38,"137,871",,
2025-05-27,8.03,8.03,7.86,7.88,-0.14,-1.75,"129,494",,
2025-05-26,8.09,8.09,7.86,8.02,0.02,0.25,"80,941",,
2025-05-25,8.01,8.08,7.96,8.00,-0.04,-0.50,"115,898",,
2025-05-22,8.12,8.12,8.00,8.04,-0.06,-0.74,"143,624",,
2025-05-21,8.17,8.17,8.02,8.10,-0.07,-0.86,"151,032",,
2025-05-20,8.17,8.20,8.10,8.17,0.00,0.00,"171,677",,
2025-05-19,8.25,8.30,8.14,8.17,-0.14,-1.68,"112,144",,
2025-05-18,8.30,8.40,8.25,8.31,0.01,0.12,"166,015",,
2025-05-15,8.40,8.44,8.29,8.30,-0.15,-1.78,"211,787",,
2025-05-14,8.46,8.63,8.39,8.45,-0.08,-0.94,"342,606",,
2025-05-13,8.61,8.64,8.47,8.53,-0.04,-0.47,"108,372",,
2025-05-12,8.44,8.62,8.44,8.57,0.13,1.54,"218,673",,
2025-05-11,8.40,8.62,8.36,8.44,0.04,0.48,"160,348",,
2025-05-08,8.51,8.56,8.38,8.40,-0.11,-1.29,"142,077",,
2025-05-07,8.80,8.80,8.51,8.51,-0.23,-2.63,"191,340",,
2025-05-06,8.75,8.85,8.60,8.74,0.02,0.23,"205,909",,
2025-05-05,8.70,8.81,8.60,8.72,0.03,0.35,"168,963",,
2025-05-04,8.72,8.85,8.65,8.69,0.00,0.00,"119,045",,
2025-05-01,8.90,8.90,8.64,8.69,-0.17,-1.92,"148,602",,
2025-04-30,8.92,9.00,8.78,8.86,-0.13,-1.45,"257,552",,
2025-04-29,8.99,9.04,8.92,8.99,-0.01,-0.11,"173,139",,
2025-04-28,9.16,9.18,8.97,9.00,-0.10,-1.10,"351,401",,
2025-04-27,8.97,9.13,8.97,9.10,0.14,1.56,"349,210",,
2025-04-24,8.98,9.04,8.90,8.96,-0.03,-0.33,"383,076",,
2025-04-23,9.10,9.32,8.94,8.99,-0.01,-0.11,"588,362",,
2025-04-22,8.99,9.16,8.91,9.00,-0.03,-0.33,"326,758",,
2025-04-21,9.15,9.20,9.02,9.03,-0.12,-1.31,"217,179",,
2025-04-20,9.02,9.32,8.99,9.15,0.20,2.23,"559,826",,
2025-04-17,9.10,9.13,8.87,8.95,-0.25,-2.72,"527,017",,
2025-04-16,8.78,9.65,8.75,9.20,0.42,4.78,"2,132,270",,
2025-04-15,8.90,9.00,8.77,8.78,-0.07,-0.79,"407,586",,
2025-04-14,8.80,8.89,8.67,8.85,0.10,1.14,"284,208",,
2025-04-13,8.70,8.87,8.70,8.75,0.11,1.27,"323,625",,
2025-04-10,8.40,8.70,8.25,8.64,0.59,7.33,"377,204",,
2025-04-09,8.37,8.39,8.04,8.05,-0.32,-3.82,"244,504",,
2025-04-08,8.12,8.52,8.10,8.37,0.25,3.08,"569,122",,
2025-04-07,7.80,8.33,7.65,8.12,-0.21,-2.52,"523,567",,
2025-04-06,9.00,9.00,8.33,8.33,-0.92,-9.95,"265,552",,
2025-04-03,9.20,9.25,9.12,9.25,-0.02,-0.22,"121,846",,
2025-03-27,9.30,9.46,9.26,9.27,-0.02,-0.22,"159,970",,
2025-03-26,9.09,9.30,9.09,9.29,0.20,2.20,"153,804",,
2025-03-25,9.17,9.19,9.06,9.09,-0.06,-0.66,"84,803",,
2025-03-24,9.15,9.18,9.05,9.15,0.07,0.77,"160,978",,
2025-03-23,9.10,9.20,9.07,9.08,0.06,0.67,"74,482",,
2025-03-20,9.12,9.25,9.02,9.02,-0.10,-1.10,"102,201",,
2025-03-19,9.11,9.20,8.95,9.12,0.04,0.44,"94,289",,
2025-03-18,9.35,9.35,9.03,9.08,-0.27,-2.89,"108,074",,
2025-03-17,9.44,9.53,9.22,9.35,-0.01,-0.11,"232,120",,
2025-03-16,9.23,9.40,9.20,9.36,0.13,1.41,"134,388",,
2025-03-13,9.24,9.30,9.10,9.23,0.01,0.11,"152,676",,
2025-03-12,9.06,9.29,9.06,9.22,0.16,1.77,"142,699",,
2025-03-11,8.90,9.12,8.59,9.06,0.14,1.57,"327,387",,
2025-03-10,9.15,9.19,8.92,8.92,-0.22,-2.41,"233,978",,
2025-03-09,9.30,9.32,9.00,9.14,-0.15,-1.61,"149,880",,
2025-03-06,9.40,9.41,9.15,9.29,-0.07,-0.75,"244,108",,
2025-03-05,9.45,9.55,9.31,9.36,-0.14,-1.47,"150,967",,
2025-03-04,9.71,9.75,9.38,9.50,-0.26,-2.66,"323,296",,
2025-03-03,9.85,9.88,9.68,9.76,-0.09,-0.91,"219,204",,
2025-03-02,10.18,10.18,9.85,9.85,-0.29,-2.86,"231,447",,
2025-02-27,10.02,10.18,10.00,10.14,0.12,1.20,"265,063",,
2025-02-26,10.06,10.10,9.98,10.02,-0.06,-0.60,"164,986",,
2025-02-25,10.14,10.14,9.98,10.08,-0.06,-0.59,"281,125",,
2025-02-24,10.20,10.38,10.14,10.14,-0.04,-0.39,"192,567",,
2025-02-20,10.14,10.24,10.14,10.18,-0.02,-0.20,"205,859",,
2025-02-19,10.38,10.48,10.00,10.20,-0.20,-1.92,"352,685",,
2025-02-18,10.36,10.52,10.36,10.40,0.00,0.00,"201,037",,
2025-02-17,10.46,10.54,10.38,10.40,-0.12,-1.14,"255,869",,
2025-02-16,10.48,10.66,10.48,10.52,0.08,0.77,"407,940",,
2025-02-13,10.36,10.48,10.36,10.44,0.04,0.38,"113,325",,
2025-02-12,10.56,10.56,10.36,10.40,-0.16,-1.52,"352,964",,
2025-02-11,10.58,10.60,10.46,10.56,-0.02,-0.19,"251,140",,
2025-02-10,10.72,10.74,10.56,10.58,-0.12,-1.12,"528,690",,
2025-02-09,10.76,10.76,10.66,10.70,-0.08,-0.74,"320,794",,
2025-02-06,10.78,10.78,10.66,10.78,0.08,0.75,"214,259",,
2025-02-05,10.74,10.78,10.68,10.70,-0.02,-0.19,"260,570",,
2025-02-04,10.80,10.86,10.68,10.72,-0.06,-0.56,"682,264",,
2025-02-03,10.90,10.90,10.74,10.78,-0.12,-1.10,"314,588",,
2025-02-02,11.10,11.10,10.86,10.90,-0.16,-1.45,"436,309",,
2025-01-30,11.14,11.14,10.96,11.06,-0.06,-0.54,"515,708",,
2025-01-29,11.00,11.16,10.94,11.12,0.16,1.46,"1,579,315",,
2025-01-28,10.74,11.00,10.74,10.96,0.22,2.05,"774,633",,
2025-01-27,10.74,10.88,10.70,10.74,-0.06,-0.56,"339,119",,
2025-01-26,10.78,10.88,10.60,10.80,0.02,0.19,"625,226",,
2025-01-23,10.92,11.00,10.78,10.78,-0.06,-0.55,"438,479",,
2025-01-22,10.74,10.92,10.70,10.84,0.18,1.69,"579,017",,
2025-01-21,10.74,10.76,10.64,10.66,-0.04,-0.37,"259,350",,
2025-01-20,10.76,10.78,10.68,10.70,-0.04,-0.37,"157,250",,
2025-01-19,10.76,10.82,10.74,10.74,0.00,0.00,"173,046",,
2025-01-16,10.80,10.80,10.70,10.74,0.00,0.00,"133,259",,
2025-01-15,10.74,10.82,10.74,10.74,-0.02,-0.19,"138,240",,
2025-01-14,10.86,10.92,10.76,10.76,-0.06,-0.55,"277,771",,
2025-01-13,10.68,10.88,10.68,10.82,0.20,1.88,"592,473",,
2025-01-12,10.88,11.00,10.56,10.62,-0.26,-2.39,"498,167",,
2025-01-09,11.06,11.08,10.82,10.88,-0.18,-1.63,"386,791",,
2025-01-08,10.92,11.12,10.82,11.06,0.16,1.47,"318,013",,
2025-01-07,10.90,11.00,10.82,10.90,0.02,0.18,"248,943",,
2025-01-06,10.94,11.06,10.80,10.88,0.00,0.00,"703,756",,
2025-01-05,10.80,10.96,10.74,10.88,0.18,1.68,"519,055",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,10.80,10.96,10.74,10.88,0.18,1.68,"519,055",,
2025-01-02,10.52,10.78,10.46,10.70,0.20,1.90,"449,744",,
2025-01-01,10.40,10.56,10.38,10.50,0.02,0.19,"179,778",,
2024-12-31,10.52,10.66,10.48,10.48,-0.06,-0.57,"241,261",,
2024-12-30,10.18,10.56,10.18,10.54,0.38,3.74,"426,346",,
2024-12-29,10.18,10.28,10.16,10.16,-0.04,-0.39,"153,951",,
2024-12-26,10.14,10.24,10.14,10.20,0.00,0.00,"63,656",,
2024-12-25,10.30,10.32,10.16,10.20,-0.06,-0.58,"233,764",,
2024-12-24,10.30,10.38,10.22,10.26,-0.04,-0.39,"145,949",,
2024-12-23,10.32,10.38,10.22,10.30,-0.02,-0.19,"251,413",,
2024-12-22,10.30,10.48,10.30,10.32,0.02,0.19,"159,741",,
2024-12-19,10.44,10.44,10.26,10.30,-0.20,-1.90,"378,535",,
2024-12-18,10.54,10.58,10.44,10.50,-0.04,-0.38,"247,186",,
2024-12-17,10.66,10.66,10.50,10.54,0.00,0.00,"174,093",,
2024-12-16,10.64,10.68,10.54,10.54,-0.14,-1.31,"265,753",,
2024-12-15,10.62,10.78,10.62,10.68,0.04,0.38,"206,192",,
2024-12-12,10.76,10.78,10.64,10.64,-0.06,-0.56,"203,847",,
2024-12-11,10.86,10.86,10.66,10.70,-0.10,-0.93,"187,211",,
2024-12-10,10.90,10.90,10.70,10.80,-0.08,-0.74,"413,826",,
2024-12-09,10.82,10.94,10.72,10.88,0.12,1.12,"490,123",,
2024-12-08,10.72,10.88,10.70,10.76,0.12,1.13,"626,819",,
2024-12-05,10.50,10.66,10.42,10.64,0.14,1.33,"716,726",,
2024-12-04,10.50,10.64,10.40,10.50,0.06,0.57,"550,967",,
2024-12-03,10.50,10.52,10.28,10.44,-0.04,-0.38,"787,119",,
2024-12-02,10.62,10.70,10.44,10.48,-0.22,-2.06,"362,636",,
2024-12-01,10.64,10.86,10.64,10.70,0.06,0.56,"214,130",,
2024-11-28,10.70,10.70,10.52,10.64,0.04,0.38,"202,619",,
2024-11-27,10.70,10.80,10.52,10.60,-0.16,-1.49,"270,566",,
2024-11-26,10.82,10.90,10.72,10.76,-0.06,-0.55,"189,872",,
2024-11-25,11.12,11.18,10.82,10.82,-0.28,-2.52,"496,106",,
2024-11-24,10.90,11.20,10.74,11.10,0.40,3.74,"784,360",,
2024-11-21,10.70,10.82,10.68,10.70,-0.06,-0.56,"170,074",,
2024-11-20,10.90,10.94,10.74,10.76,-0.10,-0.92,"171,267",,
2024-11-19,10.90,11.04,10.84,10.86,-0.02,-0.18,"376,163",,
2024-11-18,10.72,10.96,10.70,10.88,0.20,1.87,"394,881",,
2024-11-17,10.78,10.92,10.68,10.68,-0.10,-0.93,"260,637",,
2024-11-14,10.88,11.08,10.64,10.78,-0.12,-1.10,"529,273",,
2024-11-13,11.08,11.08,10.90,10.90,-0.26,-2.33,"548,723",,
2024-11-12,11.10,11.20,11.06,11.16,0.06,0.54,"289,407",,
2024-11-11,11.22,11.30,11.06,11.10,-0.12,-1.07,"504,700",,
2024-11-10,11.42,11.48,11.22,11.22,-0.18,-1.58,"225,536",,
2024-11-07,11.58,11.60,11.38,11.40,-0.02,-0.18,"273,080",,
2024-11-06,11.40,11.56,11.38,11.42,0.04,0.35,"355,086",,
2024-11-05,11.22,11.40,11.14,11.38,0.16,1.43,"422,749",,
2024-11-04,11.30,11.38,11.06,11.22,-0.04,-0.36,"404,531",,
2024-11-03,11.60,11.74,11.18,11.26,-0.34,-2.93,"843,827",,
2024-10-31,11.80,11.80,11.60,11.60,-0.20,-1.69,"345,567",,
2024-10-30,11.68,11.82,11.68,11.80,0.12,1.03,"184,793",,
2024-10-29,11.90,11.90,11.66,11.68,-0.18,-1.52,"450,893",,
2024-10-28,11.94,12.00,11.84,11.86,-0.08,-0.67,"403,209",,
2024-10-27,11.72,12.02,11.72,11.94,0.30,2.58,"864,872",,
2024-10-24,11.80,11.82,11.60,11.64,-0.16,-1.36,"708,206",,
2024-10-23,12.12,12.22,11.78,11.80,-0.32,-2.64,"1,827,300",,
2024-10-22,11.92,12.56,11.84,12.12,0.22,1.85,"2,522,825",,
2024-10-21,11.80,11.94,11.72,11.90,0.12,1.02,"413,518",,
2024-10-20,11.80,11.94,11.66,11.78,-0.02,-0.17,"410,096",,
2024-10-17,12.08,12.30,11.80,11.80,-0.30,-2.48,"1,226,961",,
2024-10-16,12.14,12.16,12.04,12.10,-0.04,-0.33,"379,363",,
2024-10-15,12.16,12.30,12.06,12.14,-0.04,-0.33,"634,340",,
2024-10-14,12.08,12.44,11.96,12.18,0.18,1.50,"1,296,645",,
2024-10-13,11.76,12.12,11.76,12.00,0.30,2.56,"1,460,212",,
2024-10-10,11.40,11.70,11.40,11.70,0.26,2.27,"674,595",,
2024-10-09,11.66,11.70,11.36,11.44,-0.26,-2.22,"854,199",,
2024-10-08,11.66,11.76,11.42,11.70,0.00,0.00,"633,530",,
2024-10-07,11.52,11.96,11.52,11.70,0.00,0.00,"826,865",,
2024-10-06,12.30,12.30,11.54,11.70,-0.58,-4.72,"1,139,961",,
2024-10-03,12.38,12.66,12.16,12.28,-0.10,-0.81,"778,794",,
2024-10-02,12.64,12.72,12.20,12.38,-0.46,-3.58,"1,422,364",,
2024-10-01,12.82,13.06,12.60,12.84,0.12,0.94,"1,160,581",,
2024-09-30,12.80,13.14,12.60,12.72,-0.04,-0.31,"2,299,525",,
