0,1,2,3,4,5,6,7,8,9
2025-05-29,44.45,45.75,44.15,45.05,0.70,1.58,"450,338",,
2025-05-28,44.90,45.20,44.30,44.35,-0.25,-0.56,"278,948",,
2025-05-27,44.35,44.60,43.85,44.60,0.50,1.13,"215,022",,
2025-05-26,46.10,46.10,43.20,44.10,-1.85,-4.03,"393,748",,
2025-05-25,45.45,46.45,44.75,45.95,0.75,1.66,"450,288",,
2025-05-22,45.20,45.65,44.75,45.20,0.00,0.00,"326,719",,
2025-05-21,44.70,45.40,44.50,45.20,0.60,1.35,"761,815",,
2025-05-20,43.60,44.65,43.40,44.60,1.25,2.88,"534,675",,
2025-05-19,43.70,43.70,42.85,43.35,0.15,0.35,"123,050",,
2025-05-18,43.50,43.65,43.05,43.20,-0.30,-0.69,"62,642",,
2025-05-15,43.80,44.05,43.35,43.50,-0.70,-1.58,"74,822",,
2025-05-14,43.55,44.40,43.55,44.20,0.80,1.84,"112,141",,
2025-05-13,43.60,43.85,43.00,43.40,-0.20,-0.46,"98,903",,
2025-05-12,42.50,43.90,42.50,43.60,1.35,3.20,"97,848",,
2025-05-11,42.75,43.00,42.15,42.25,-0.40,-0.94,"65,433",,
2025-05-08,43.15,43.70,42.60,42.65,-0.70,-1.61,"75,842",,
2025-05-07,44.20,44.20,43.25,43.35,-0.65,-1.48,"88,786",,
2025-05-06,43.40,44.10,43.10,44.00,0.60,1.38,"137,451",,
2025-05-05,42.75,43.40,42.25,43.40,0.70,1.64,"259,378",,
2025-05-04,43.90,44.15,42.45,42.70,-1.20,-2.73,"383,355",,
2025-05-01,45.10,45.35,43.65,43.90,-1.50,-3.30,"150,614",,
2025-04-30,46.20,46.70,44.95,45.40,-1.60,-3.40,"453,703",,
2025-04-29,47.00,47.25,46.40,47.00,0.15,0.32,"131,617",,
2025-04-28,47.20,47.35,46.40,46.85,-0.25,-0.53,"178,523",,
2025-04-27,46.05,47.10,46.05,47.10,1.10,2.39,"214,477",,
2025-04-24,46.30,46.30,45.90,46.00,-0.30,-0.65,"75,491",,
2025-04-23,47.15,47.40,45.85,46.30,-0.50,-1.07,"179,442",,
2025-04-22,45.60,47.00,44.95,46.80,1.20,2.63,"204,551",,
2025-04-21,46.05,46.45,45.50,45.60,-0.50,-1.08,"150,460",,
2025-04-20,46.15,46.60,46.05,46.10,-0.05,-0.11,"128,788",,
2025-04-17,47.50,47.50,45.85,46.15,-1.45,-3.05,"247,027",,
2025-04-16,46.25,47.65,45.75,47.60,1.45,3.14,"339,133",,
2025-04-15,47.70,47.70,46.00,46.15,-1.25,-2.64,"175,525",,
2025-04-14,45.00,47.40,44.70,47.40,2.70,6.04,"274,112",,
2025-04-13,44.20,45.30,43.95,44.70,0.50,1.13,"361,934",,
2025-04-10,44.40,44.50,43.80,44.20,1.60,3.76,"393,221",,
2025-04-09,43.05,44.00,42.50,42.60,-0.45,-1.05,"122,748",,
2025-04-08,43.00,45.00,42.45,43.05,1.35,3.24,"769,789",,
2025-04-07,39.25,42.45,39.25,41.70,-0.30,-0.71,"409,960",,
2025-04-06,42.05,45.50,41.95,42.00,-4.60,-9.87,"368,930",,
2025-04-03,46.95,47.45,46.00,46.60,-0.90,-1.89,"78,317",,
2025-03-27,47.00,48.65,46.75,47.50,0.65,1.39,"264,467",,
