0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,16.60,16.80,16.58,16.70,0.12,0.72,"91,293",,,,,
2025-05-28,16.46,16.60,16.46,16.58,0.12,0.73,"22,441",,,,,
2025-05-27,16.50,16.68,16.38,16.46,-0.14,-0.84,"210,328",,,,,
2025-05-26,16.88,17.04,16.30,16.60,-0.30,-1.78,"158,584",,,,,
2025-05-25,17.42,17.42,16.84,16.90,-0.64,-3.65,"168,101",,,,,
2025-05-22,17.00,17.54,16.84,17.54,0.58,3.42,"97,639",,,,,
2025-05-21,16.78,16.96,16.78,16.96,0.12,0.71,"17,195",,,,,
2025-05-20,16.92,16.94,16.76,16.84,-0.10,-0.59,"122,302",,,,,
2025-05-19,17.22,17.22,16.76,16.94,-0.18,-1.05,"198,581",,,,,
2025-05-18,17.42,17.52,17.12,17.12,-0.30,-1.72,"101,713",,,,,
2025-05-15,17.52,17.52,17.36,17.42,-0.10,-0.57,"25,124",,,,,
2025-05-14,17.58,17.60,17.46,17.52,-0.06,-0.34,"45,310",,,,,
2025-05-13,17.44,17.60,17.26,17.58,0.26,1.50,"191,200",,,,,
2025-05-12,17.32,17.52,17.32,17.32,0.00,0.00,"65,729",,,,,
2025-05-11,17.24,17.44,17.22,17.32,0.08,0.46,"69,328",,,,,
2025-05-08,17.32,17.40,17.22,17.24,-0.08,-0.46,"80,968",,,,,
2025-05-07,17.56,17.56,17.26,17.32,-0.24,-1.37,"49,470",,,,,
2025-05-06,17.38,17.56,17.32,17.56,0.16,0.92,"67,711",,,,,
2025-05-05,17.52,17.60,17.30,17.40,-0.12,-0.68,"263,983",,,,,
2025-05-04,17.72,17.86,17.50,17.52,-0.18,-1.02,"123,229",,,,,
2025-05-01,18.00,18.06,17.70,17.70,-0.30,-1.67,"113,909",,,,,
2025-04-30,17.88,18.04,17.84,18.00,0.12,0.67,"89,253",,,,,
2025-04-29,18.30,18.30,17.88,17.88,-0.28,-1.54,"80,073",,,,,
2025-04-28,18.22,18.28,18.10,18.16,-0.14,-0.77,"62,480",,,,,
2025-04-27,18.30,18.44,18.22,18.30,-0.02,-0.11,"24,279",,,,,
2025-04-24,18.42,18.42,18.14,18.32,0.12,0.66,"51,723",,,,,
2025-04-23,17.98,18.20,17.98,18.20,0.28,1.56,"100,706",,,,,
2025-04-22,17.80,17.94,17.68,17.92,0.02,0.11,"59,805",,,,,
2025-04-21,18.00,18.00,17.82,17.90,-0.08,-0.44,"31,414",,,,,
2025-04-20,17.78,18.08,17.78,17.98,0.20,1.12,"70,011",,,,,
2025-04-17,17.94,17.94,17.76,17.78,-0.16,-0.89,"83,724",,,,,
2025-04-16,18.64,18.64,17.80,17.94,-0.74,-3.96,"755,819",,,,,
2025-04-15,18.82,18.82,18.60,18.68,-0.14,-0.74,"62,258",,,,,
2025-04-14,18.76,18.96,18.70,18.82,0.02,0.11,"82,842",,,,,
2025-04-13,18.80,18.90,18.72,18.80,-0.04,-0.21,"37,307",,,,,
2025-04-10,18.60,18.94,18.58,18.84,0.60,3.29,"222,297",,,,,
2025-04-09,18.48,19.12,18.12,18.24,-0.26,-1.41,"133,104",,,,,
2025-04-08,18.40,18.84,18.28,18.50,0.10,0.54,"97,216",,,,,
2025-04-07,18.32,18.88,17.50,18.40,0.00,0.00,"411,378",,,,,
2025-04-06,20.00,20.00,18.40,18.40,-1.82,-9.00,"282,006",,,,,
2025-04-03,19.68,20.34,19.50,20.22,0.50,2.54,"151,396",,,,,
2025-03-27,19.72,19.72,19.58,19.72,-0.02,-0.10,"107,078",,,,,
2025-03-26,19.42,19.78,19.42,19.74,0.32,1.65,"100,221",,,,,
2025-03-25,19.52,19.52,19.34,19.42,-0.06,-0.31,"54,906",,,,,
2025-03-24,19.50,19.58,19.18,19.48,0.12,0.62,"69,951",,,,,
2025-03-23,19.56,19.64,19.36,19.36,-0.20,-1.02,"53,059",,,,,
2025-03-20,19.28,19.56,19.08,19.56,0.28,1.45,"83,400",,,,,
