0,1,2,3,4,5,6,7,8,9
2025-05-29,22.52,22.82,22.42,22.70,0.20,0.89,"23,293",,
2025-05-28,22.42,22.68,22.30,22.50,0.20,0.90,"41,231",,
2025-05-27,22.90,22.96,22.28,22.30,-0.56,-2.45,"29,105",,
2025-05-26,23.40,23.40,22.60,22.86,-0.40,-1.72,"49,126",,
2025-05-25,23.72,23.90,23.26,23.26,-0.44,-1.86,"30,741",,
2025-05-22,24.00,24.00,23.70,23.70,-0.30,-1.25,"32,566",,
2025-05-21,24.28,24.32,23.74,24.00,-0.20,-0.83,"54,283",,
2025-05-20,23.88,24.20,23.80,24.20,0.30,1.26,"56,578",,
2025-05-19,23.80,23.94,23.76,23.90,0.00,0.00,"39,072",,
2025-05-18,24.00,24.06,23.82,23.90,-0.08,-0.33,"22,552",,
2025-05-15,24.40,24.46,23.86,23.98,-0.42,-1.72,"46,564",,
2025-05-14,24.28,24.54,23.98,24.40,-0.08,-0.33,"87,348",,
2025-05-13,24.60,24.70,24.30,24.48,-0.02,-0.08,"38,525",,
2025-05-12,24.00,24.56,24.00,24.50,0.44,1.83,"43,903",,
2025-05-11,24.00,24.28,23.76,24.06,0.16,0.67,"24,374",,
2025-05-08,24.10,24.30,23.64,23.90,-0.40,-1.65,"48,266",,
2025-05-07,24.58,24.58,24.00,24.30,0.00,0.00,"36,747",,
2025-05-06,24.40,24.40,24.02,24.30,-0.10,-0.41,"45,389",,
2025-05-05,24.00,24.40,23.90,24.40,0.36,1.50,"55,290",,
2025-05-04,24.64,24.88,23.98,24.04,-0.66,-2.67,"92,500",,
2025-05-01,24.78,24.92,24.70,24.70,-0.28,-1.12,"27,344",,
2025-04-30,25.10,25.20,24.80,24.98,-0.27,-1.07,"30,328",,
2025-04-29,25.40,25.50,25.15,25.25,-0.15,-0.59,"54,736",,
2025-04-28,25.40,25.60,25.15,25.40,0.00,0.00,"63,241",,
2025-04-27,25.20,25.40,25.05,25.40,0.25,0.99,"33,740",,
2025-04-24,24.84,25.20,24.70,25.15,0.43,1.74,"68,129",,
2025-04-23,24.74,25.00,24.66,24.72,0.08,0.32,"42,597",,
2025-04-22,24.88,25.00,24.60,24.64,-0.36,-1.44,"91,986",,
2025-04-21,25.40,25.40,24.84,25.00,-0.25,-0.99,"33,491",,
2025-04-20,25.00,25.45,25.00,25.25,0.25,1.00,"31,538",,
2025-04-17,24.94,25.00,24.70,25.00,-0.10,-0.40,"43,240",,
2025-04-16,25.30,25.50,24.92,25.10,-0.20,-0.79,"55,957",,
2025-04-15,25.80,26.05,25.30,25.30,-0.30,-1.17,"88,878",,
2025-04-14,24.98,26.00,24.90,25.60,0.64,2.56,"118,793",,
2025-04-13,24.50,25.10,24.50,24.96,0.72,2.97,"49,077",,
2025-04-10,24.04,24.50,23.86,24.24,1.12,4.84,"70,154",,
2025-04-09,23.40,23.68,22.96,23.12,-0.74,-3.10,"77,958",,
2025-04-08,23.36,24.44,23.36,23.86,0.58,2.49,"104,570",,
2025-04-07,22.60,23.40,21.80,23.28,0.20,0.87,"115,993",,
2025-04-06,22.98,23.98,22.98,23.08,-2.27,-8.95,"111,834",,
2025-04-03,25.85,25.90,25.30,25.35,-0.65,-2.50,"36,432",,
2025-03-27,26.00,26.20,25.85,26.00,0.25,0.97,"63,576",,
2025-03-26,25.40,25.95,25.40,25.75,0.45,1.78,"36,878",,
2025-03-25,25.55,25.70,25.30,25.30,0.00,0.00,"41,945",,
2025-03-24,25.20,25.40,24.72,25.30,0.30,1.20,"25,265",,
2025-03-23,25.30,25.60,25.00,25.00,-0.30,-1.19,"37,273",,
2025-03-20,25.50,25.80,25.25,25.30,-0.15,-0.59,"32,145",,
2025-03-19,26.00,26.00,25.10,25.45,-0.05,-0.20,"31,973",,
2025-03-18,25.90,26.00,25.40,25.50,-0.40,-1.54,"30,417",,
2025-03-17,26.25,26.50,25.90,25.90,-0.30,-1.15,"93,445",,
2025-03-16,25.50,26.25,25.50,26.20,0.25,0.96,"84,755",,
2025-03-13,25.55,26.05,25.55,25.95,0.40,1.57,"57,130",,
2025-03-12,25.35,25.55,25.10,25.55,0.45,1.79,"50,882",,
2025-03-11,24.86,25.10,24.18,25.10,0.00,0.00,"152,073",,
2025-03-10,25.90,26.50,25.10,25.10,-1.00,-3.83,"121,409",,
2025-03-09,28.00,28.00,25.90,26.10,-0.25,-0.95,"139,508",,
2025-03-06,26.85,26.85,26.30,26.35,-0.50,-1.86,"76,240",,
2025-03-05,27.20,27.50,26.70,26.85,-0.35,-1.29,"38,927",,
2025-03-04,27.80,27.80,27.00,27.20,-0.50,-1.81,"45,870",,
2025-03-03,27.50,27.75,27.45,27.70,0.20,0.73,"39,510",,
2025-03-02,28.40,28.40,27.45,27.50,-0.75,-2.65,"62,018",,
2025-02-27,27.80,29.30,27.70,28.25,0.50,1.80,"64,962",,
2025-02-26,27.90,28.00,27.70,27.75,-0.15,-0.54,"38,957",,
2025-02-25,28.35,28.35,27.80,27.90,-0.40,-1.41,"71,322",,
2025-02-24,28.50,28.50,28.15,28.30,-0.05,-0.18,"38,031",,
2025-02-20,28.35,28.45,28.10,28.35,0.00,0.00,"66,354",,
2025-02-19,29.20,29.20,28.30,28.35,-0.60,-2.07,"85,497",,
2025-02-18,28.85,29.25,28.80,28.95,0.15,0.52,"85,074",,
2025-02-17,28.80,28.85,28.60,28.80,0.05,0.17,"55,552",,
2025-02-16,28.60,28.95,28.60,28.75,0.00,0.00,"39,938",,
2025-02-13,28.75,28.95,28.70,28.75,-0.15,-0.52,"55,973",,
2025-02-12,29.50,29.50,28.75,28.90,-0.55,-1.87,"103,158",,
2025-02-11,29.05,29.50,29.05,29.45,0.40,1.38,"143,122",,
2025-02-10,29.40,29.40,28.90,29.05,-0.25,-0.85,"161,477",,
2025-02-09,29.50,29.50,29.25,29.30,-0.15,-0.51,"51,220",,
2025-02-06,29.65,29.65,29.20,29.45,-0.05,-0.17,"63,506",,
2025-02-05,29.50,29.50,29.25,29.50,0.00,0.00,"65,224",,
2025-02-04,29.60,29.65,29.30,29.50,0.00,0.00,"83,995",,
2025-02-03,30.00,30.00,29.50,29.50,-0.35,-1.17,"101,937",,
2025-02-02,29.75,30.05,29.70,29.85,0.10,0.34,"134,717",,
2025-01-30,29.35,29.90,29.35,29.75,0.30,1.02,"66,971",,
2025-01-29,30.00,30.00,29.35,29.45,-0.45,-1.51,"158,658",,
2025-01-28,30.15,30.25,29.90,29.90,-0.25,-0.83,"195,053",,
2025-01-27,29.90,30.45,29.90,30.15,0.20,0.67,"109,543",,
