0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,35.40,36.40,35.40,36.00,0.60,1.69,"305,091",,,,,
2025-05-28,35.15,35.65,34.85,35.40,0.25,0.71,"153,668",,,,,
2025-05-27,35.85,35.85,35.15,35.15,-0.70,-1.95,"160,537",,,,,
2025-05-26,36.45,36.65,35.45,35.85,-0.85,-2.32,"234,961",,,,,
2025-05-25,36.95,36.95,36.50,36.70,0.00,0.00,"67,175",,,,,
2025-05-22,36.95,37.10,36.55,36.70,-0.40,-1.08,"233,820",,,,,
2025-05-21,36.90,37.25,36.50,37.10,0.20,0.54,"357,798",,,,,
2025-05-20,36.15,36.95,36.15,36.90,0.55,1.51,"298,302",,,,,
2025-05-19,36.80,37.10,36.15,36.35,-0.65,-1.76,"167,676",,,,,
2025-05-18,36.80,37.20,36.55,37.00,0.45,1.23,"146,386",,,,,
2025-05-15,36.50,36.80,36.45,36.55,0.00,0.00,"145,091",,,,,
2025-05-14,37.00,37.00,36.50,36.55,-0.20,-0.54,"101,009",,,,,
2025-05-13,36.50,36.75,36.35,36.75,0.20,0.55,"110,595",,,,,
2025-05-12,36.25,36.55,35.85,36.55,0.55,1.53,"179,815",,,,,
2025-05-11,36.00,36.10,35.50,36.00,0.55,1.55,"304,209",,,,,
2025-05-08,35.10,35.80,35.10,35.45,0.50,1.43,"440,382",,,,,
2025-05-07,35.00,35.15,34.65,34.95,-0.15,-0.43,"219,624",,,,,
2025-05-06,34.70,35.15,34.45,35.10,0.10,0.29,"260,759",,,,,
2025-05-05,34.55,35.20,34.40,35.00,0.05,0.14,"384,733",,,,,
2025-05-04,35.30,35.35,34.85,34.95,-0.40,-1.13,"143,668",,,,,
2025-05-01,35.80,36.05,35.35,35.35,-0.85,-2.35,"194,020",,,,,
2025-04-30,36.70,36.70,35.75,36.20,-0.50,-1.36,"193,997",,,,,
2025-04-29,36.55,37.25,36.30,36.70,0.15,0.41,"449,156",,,,,
2025-04-28,37.00,37.00,36.55,36.55,-0.55,-1.48,"162,128",,,,,
2025-04-27,37.40,37.65,36.90,37.10,-0.30,-0.80,"343,869",,,,,
2025-04-24,36.95,37.45,36.90,37.40,0.45,1.22,"248,263",,,,,
2025-04-23,36.70,37.70,36.55,36.95,1.05,2.92,"932,409",,,,,
2025-04-22,35.30,35.90,35.10,35.90,0.15,0.42,"325,703",,,,,
2025-04-21,35.90,36.05,35.60,35.75,-0.25,-0.69,"96,179",,,,,
2025-04-20,35.20,36.10,35.00,36.00,0.80,2.27,"293,055",,,,,
2025-04-17,35.30,35.30,34.50,35.20,-0.15,-0.42,"469,164",,,,,
2025-04-16,36.50,36.50,35.00,35.35,-1.15,-3.15,"576,718",,,,,
2025-04-15,36.05,36.80,36.00,36.50,-0.80,-2.14,"391,285",,,,,
2025-04-14,36.75,37.35,36.60,37.30,0.70,1.91,"544,364",,,,,
2025-04-13,37.40,37.40,36.55,36.60,-0.40,-1.08,"359,518",,,,,
2025-04-10,37.50,37.50,36.70,37.00,1.00,2.78,"550,796",,,,,
2025-04-09,37.90,38.25,35.75,36.00,-2.00,-5.26,"857,235",,,,,
2025-04-08,38.30,39.00,37.90,38.00,-0.30,-0.78,"422,112",,,,,
2025-04-07,36.00,39.05,34.85,38.30,1.80,4.93,"1,018,709",,,,,
2025-04-06,38.80,38.80,36.15,36.50,-3.40,-8.52,"431,515",,,,,
2025-04-03,39.10,39.95,38.80,39.90,0.60,1.53,"197,309",,,,,
2025-03-27,39.45,40.15,39.30,39.30,-0.65,-1.63,"170,606",,,,,
2025-03-26,39.70,40.00,39.40,39.95,0.25,0.63,"146,561",,,,,
