0,1,2,3,4,5,6,7,8,9
2025-05-29,41.50,42.60,41.05,41.10,-0.40,-0.96,"375,137",,
2025-05-28,42.95,42.95,41.10,41.50,-0.30,-0.72,"346,881",,
2025-05-27,43.20,43.70,41.65,41.80,-1.70,-3.91,"300,788",,
2025-05-26,45.20,45.60,42.60,43.50,-0.50,-1.14,"488,037",,
2025-05-25,46.00,46.50,44.00,44.00,-1.50,-3.30,"653,978",,
2025-05-22,44.00,46.10,43.55,45.50,1.25,2.82,"1,099,614",,
2025-05-21,46.20,46.55,44.00,44.25,-1.80,-3.91,"845,699",,
2025-05-20,44.80,46.65,44.15,46.05,1.85,4.19,"856,748",,
2025-05-19,43.30,45.30,42.75,44.20,1.70,4.00,"2,000,169",,
2025-05-18,41.00,44.05,39.50,42.50,-0.70,-1.62,"2,514,324",,
2025-05-15,44.70,44.70,43.20,43.20,-4.80,-10.00,"1,611,456",,
2025-05-14,47.80,48.85,47.00,48.00,0.60,1.27,"826,475",,
2025-05-13,44.00,47.80,44.00,47.40,3.40,7.73,"1,670,924",,
2025-05-12,42.90,44.45,42.40,44.00,1.50,3.53,"754,842",,
2025-05-11,41.90,43.25,41.90,42.50,0.00,0.00,"205,739",,
2025-05-08,43.85,44.45,41.95,42.50,-1.40,-3.19,"1,017,687",,
2025-05-07,43.35,44.55,42.40,43.90,0.55,1.27,"558,081",,
2025-05-06,42.90,44.75,42.50,43.35,0.45,1.05,"1,227,278",,
2025-05-05,42.00,43.10,41.50,42.90,0.90,2.14,"629,540",,
2025-05-04,42.00,42.80,40.15,42.00,0.15,0.36,"611,141",,
2025-05-01,41.60,41.85,40.60,41.85,0.00,0.00,"522,224",,
2025-04-30,40.50,42.00,40.50,41.85,1.45,3.59,"1,138,438",,
2025-04-29,40.20,41.60,39.65,40.40,0.40,1.00,"1,206,306",,
2025-04-28,38.10,40.00,38.10,40.00,1.80,4.71,"1,106,001",,
2025-04-27,38.40,38.70,38.10,38.20,0.30,0.79,"156,561",,
2025-04-24,37.30,38.60,37.20,37.90,0.65,1.74,"618,258",,
2025-04-23,38.00,38.20,37.10,37.25,-0.20,-0.53,"341,138",,
2025-04-22,38.75,39.10,37.20,37.45,-0.95,-2.47,"616,019",,
2025-04-21,36.95,38.90,36.65,38.40,1.45,3.92,"785,934",,
2025-04-20,36.85,38.15,36.80,36.95,0.20,0.54,"286,356",,
2025-04-17,38.00,38.00,36.70,36.75,-1.25,-3.29,"388,131",,
2025-04-16,37.70,38.70,37.50,38.00,0.10,0.26,"343,747",,
2025-04-15,38.00,39.70,37.55,37.90,0.00,0.00,"741,581",,
2025-04-14,38.25,38.80,37.30,37.90,-0.35,-0.92,"528,172",,
2025-04-13,38.00,40.00,38.00,38.25,0.25,0.66,"1,180,337",,
2025-04-10,37.50,39.25,37.50,38.00,1.45,3.97,"1,678,448",,
2025-04-09,36.30,37.30,35.10,36.55,0.55,1.53,"2,282,792",,
