0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,42.40,43.55,42.30,43.55,1.15,2.71,"257,673",,,,,
2025-05-28,42.00,42.70,42.00,42.40,0.40,0.95,"179,106",,,,,
2025-05-27,43.00,43.15,41.75,42.00,-1.00,-2.33,"144,917",,,,,
2025-05-26,44.40,44.40,42.40,43.00,-1.45,-3.26,"297,248",,,,,
2025-05-25,45.10,45.30,44.35,44.45,-0.65,-1.44,"148,247",,,,,
2025-05-22,44.50,45.20,44.30,45.10,0.15,0.33,"246,580",,,,,
2025-05-21,44.80,45.40,44.15,44.95,-0.05,-0.11,"461,621",,,,,
2025-05-20,42.60,45.65,42.60,45.00,2.55,6.01,"1,181,991",,,,,
2025-05-19,43.40,43.40,42.10,42.45,-1.10,-2.53,"344,599",,,,,
2025-05-18,43.85,44.15,43.40,43.55,-0.10,-0.23,"133,964",,,,,
2025-05-15,43.45,43.95,43.35,43.65,0.20,0.46,"273,836",,,,,
2025-05-14,43.65,44.00,43.15,43.45,-0.20,-0.46,"286,861",,,,,
2025-05-13,44.30,44.30,43.10,43.65,-0.20,-0.46,"243,622",,,,,
2025-05-12,42.80,44.40,42.70,43.85,1.20,2.81,"625,024",,,,,
2025-05-11,43.90,44.15,41.90,42.65,0.20,0.47,"672,556",,,,,
2025-05-08,40.80,42.45,40.20,42.45,1.55,3.79,"680,130",,,,,
2025-05-07,40.50,40.90,39.85,40.90,0.50,1.24,"258,996",,,,,
2025-05-06,40.60,41.20,40.20,40.40,-0.10,-0.25,"347,358",,,,,
2025-05-05,40.90,40.90,40.15,40.50,-0.45,-1.10,"243,202",,,,,
2025-05-04,41.10,41.20,40.20,40.95,-0.05,-0.12,"189,693",,,,,
2025-05-01,41.20,41.25,40.45,41.00,-0.10,-0.24,"229,766",,,,,
2025-04-30,42.90,42.95,41.10,41.10,-1.90,-4.42,"306,945",,,,,
2025-04-29,42.60,43.95,42.35,43.00,0.45,1.06,"458,788",,,,,
2025-04-28,41.00,43.30,40.85,42.55,1.80,4.42,"965,123",,,,,
2025-04-27,40.80,41.10,40.55,40.75,0.25,0.62,"270,305",,,,,
2025-04-24,40.35,40.90,40.05,40.50,0.15,0.37,"398,337",,,,,
2025-04-23,39.85,40.60,39.85,40.35,0.90,2.28,"296,979",,,,,
2025-04-22,40.00,40.40,39.20,39.45,-0.75,-1.87,"528,754",,,,,
2025-04-21,40.10,40.45,39.75,40.20,0.20,0.50,"214,710",,,,,
2025-04-20,40.55,41.55,39.80,40.00,-0.35,-0.87,"402,312",,,,,
2025-04-17,40.40,40.50,39.95,40.35,-0.40,-0.98,"384,489",,,,,
2025-04-16,41.30,41.60,40.70,40.75,-0.85,-2.04,"531,816",,,,,
2025-04-15,42.00,42.60,41.20,41.60,0.10,0.24,"576,838",,,,,
2025-04-14,40.85,42.60,40.45,41.50,1.00,2.47,"670,745",,,,,
2025-04-13,39.65,40.55,39.60,40.50,0.90,2.27,"433,853",,,,,
2025-04-10,40.35,40.35,38.80,39.60,2.60,7.03,"827,421",,,,,
2025-04-09,36.90,40.00,36.85,37.00,-0.80,-2.12,"1,812,061",,,,,
2025-04-08,39.90,39.90,37.45,37.80,-0.50,-1.31,"1,104,372",,,,,
2025-04-07,37.10,39.30,36.45,38.30,-2.15,-5.32,"3,397,938",,,,,
2025-04-06,40.80,42.35,40.45,40.45,-4.45,-9.91,"710,965",,,,,
2025-04-03,45.00,46.95,44.35,44.90,-1.00,-2.18,"413,450",,,,,
2025-03-27,46.95,47.05,45.60,45.90,-0.40,-0.86,"468,971",,,,,
2025-03-26,44.95,46.30,44.80,46.30,1.70,3.81,"206,025",,,,,
2025-03-25,47.20,47.25,44.00,44.60,-2.60,-5.51,"744,283",,,,,
2025-03-24,47.30,47.70,46.50,47.20,-0.30,-0.63,"198,618",,,,,
2025-03-23,47.65,47.65,46.70,47.50,-0.25,-0.52,"195,759",,,,,
2025-03-20,47.85,48.00,46.45,47.75,0.10,0.21,"193,076",,,,,
2025-03-19,47.25,47.75,46.40,47.65,0.45,0.95,"133,163",,,,,
2025-03-18,47.10,47.75,46.00,47.20,0.10,0.21,"234,489",,,,,
2025-03-17,48.80,49.40,47.10,47.10,-1.70,-3.48,"359,669",,,,,
2025-03-16,47.10,48.85,46.40,48.80,1.70,3.61,"344,935",,,,,
2025-03-13,44.60,47.80,44.50,47.10,2.50,5.61,"580,306",,,,,
2025-03-12,44.60,45.10,43.35,44.60,0.20,0.45,"379,673",,,,,
2025-03-11,43.40,44.95,41.25,44.40,0.90,2.07,"932,019",,,,,
2025-03-10,43.55,44.45,43.05,43.50,-0.10,-0.23,"433,024",,,,,
2025-03-09,45.20,45.40,43.10,43.60,-1.40,-3.11,"685,331",,,,,
2025-03-06,47.40,47.60,43.60,45.00,-2.45,-5.16,"1,099,168",,,,,
2025-03-05,49.35,49.70,47.35,47.45,-1.95,-3.95,"933,540",,,,,
2025-03-04,50.50,50.60,49.20,49.40,-1.50,-2.95,"585,407",,,,,
2025-03-03,49.65,51.20,49.65,50.90,0.60,1.19,"368,917",,,,,
2025-03-02,51.90,52.30,49.55,50.30,-1.70,-3.27,"361,521",,,,,
2025-02-27,51.70,52.50,51.40,52.00,0.10,0.19,"339,421",,,,,
2025-02-26,52.00,52.60,51.60,51.90,-0.10,-0.19,"403,369",,,,,
2025-02-25,53.20,53.20,51.50,52.00,-1.30,-2.44,"509,988",,,,,
2025-02-24,54.30,54.50,52.90,53.30,-1.00,-1.84,"329,603",,,,,
2025-02-20,55.00,55.30,53.90,54.30,-0.70,-1.27,"317,581",,,,,
2025-02-19,55.60,56.40,54.80,55.00,-0.50,-0.90,"363,407",,,,,
2025-02-18,55.40,56.00,55.10,55.50,0.30,0.54,"178,268",,,,,
2025-02-17,55.50,56.40,55.00,55.20,0.10,0.18,"301,300",,,,,
2025-02-16,55.30,55.80,54.70,55.10,-0.20,-0.36,"183,541",,,,,
2025-02-13,55.30,56.20,54.90,55.30,-0.10,-0.18,"292,745",,,,,
2025-02-12,55.40,56.20,54.80,55.40,0.00,0.00,"250,625",,,,,
2025-02-11,56.60,56.70,55.30,55.40,-1.20,-2.12,"287,661",,,,,
2025-02-10,57.20,57.40,56.20,56.60,-0.80,-1.39,"221,714",,,,,
2025-02-09,57.80,58.10,57.10,57.40,-0.60,-1.03,"185,067",,,,,
2025-02-06,57.80,59.00,57.60,58.00,0.00,0.00,"376,206",,,,,
2025-02-05,58.40,59.20,57.80,58.00,-0.60,-1.02,"591,327",,,,,
2025-02-04,56.30,58.90,56.30,58.60,2.30,4.09,"1,136,456",,,,,
2025-02-03,56.00,56.70,54.90,56.30,0.30,0.54,"544,314",,,,,
2025-02-02,56.40,57.00,55.90,56.00,-0.50,-0.88,"616,997",,,,,
2025-01-30,55.00,56.60,54.50,56.50,1.40,2.54,"945,221",,,,,
2025-01-29,52.70,55.40,52.30,55.10,2.30,4.36,"1,468,115",,,,,
2025-01-28,53.50,53.50,51.90,52.80,-0.60,-1.12,"1,297,574",,,,,
2025-01-27,53.70,54.20,53.00,53.40,-0.60,-1.11,"321,687",,,,,
2025-01-26,54.20,54.90,53.50,54.00,-0.20,-0.37,"397,905",,,,,
2025-01-23,54.10,54.70,53.50,54.20,0.10,0.18,"278,418",,,,,
2025-01-22,53.90,55.10,53.70,54.10,0.30,0.56,"461,271",,,,,
2025-01-21,54.30,54.50,53.80,53.80,-0.70,-1.28,"260,785",,,,,
2025-01-20,55.50,55.50,54.30,54.50,-0.40,-0.73,"328,274",,,,,
2025-01-19,54.40,55.50,54.30,54.90,0.10,0.18,"269,871",,,,,
2025-01-16,55.10,55.10,53.90,54.80,-0.20,-0.36,"379,862",,,,,
2025-01-15,54.10,55.00,54.10,55.00,0.90,1.66,"678,287",,,,,
2025-01-14,53.80,54.40,53.50,54.10,0.20,0.37,"294,932",,,,,
2025-01-13,54.70,55.10,53.60,53.90,-1.10,-2.00,"419,641",,,,,
2025-01-12,55.60,56.40,54.50,55.00,-0.80,-1.43,"386,811",,,,,
2025-01-09,56.00,56.10,54.90,55.80,-0.30,-0.53,"379,513",,,,,
2025-01-08,54.00,56.70,53.90,56.10,1.50,2.75,"896,868",,,,,
2025-01-07,54.90,54.90,53.40,54.60,0.00,0.00,"533,221",,,,,
2025-01-06,52.70,54.80,52.20,54.60,1.90,3.61,"891,224",,,,,
2025-01-05,53.40,53.60,52.60,52.70,-0.70,-1.31,"209,233",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
