0,1,2,3,4,5,6,7,8,9
2025-05-29,15.12,15.26,15.00,15.08,0.04,0.27,"60,974",,
2025-05-28,15.04,15.40,15.04,15.04,0.02,0.13,"58,333",,
2025-05-27,15.46,15.60,15.00,15.02,-0.50,-3.22,"139,898",,
2025-05-26,15.22,16.00,15.22,15.52,0.34,2.24,"319,751",,
2025-05-25,15.64,15.76,15.18,15.18,-0.54,-3.44,"90,850",,
2025-05-22,15.80,15.82,15.70,15.72,-0.10,-0.63,"81,644",,
2025-05-21,15.90,16.10,15.70,15.82,-0.16,-1.00,"155,191",,
2025-05-20,15.64,16.10,15.64,15.98,0.26,1.65,"183,215",,
2025-05-19,15.66,15.76,15.62,15.72,0.02,0.13,"152,363",,
2025-05-18,15.64,15.86,15.64,15.70,0.04,0.26,"73,024",,
2025-05-15,15.62,16.00,15.62,15.66,0.04,0.26,"179,788",,
2025-05-14,15.54,15.78,15.50,15.62,0.06,0.39,"95,212",,
2025-05-13,15.96,15.96,15.56,15.56,-0.14,-0.89,"80,380",,
2025-05-12,15.70,15.86,15.62,15.70,0.12,0.77,"110,095",,
2025-05-11,16.02,16.26,15.58,15.58,-0.44,-2.75,"180,348",,
2025-05-08,16.00,16.06,15.80,16.02,0.04,0.25,"72,660",,
2025-05-07,16.00,16.06,15.76,15.98,-0.04,-0.25,"153,091",,
2025-05-06,16.18,16.28,16.00,16.02,-0.16,-0.99,"250,611",,
2025-05-05,16.00,16.20,16.00,16.18,0.08,0.50,"69,599",,
2025-05-04,16.10,16.20,16.00,16.10,0.00,0.00,"135,692",,
2025-05-01,16.30,16.30,16.08,16.10,-0.10,-0.62,"91,115",,
2025-04-30,16.40,16.40,16.08,16.20,-0.02,-0.12,"257,622",,
2025-04-29,16.42,16.42,16.20,16.22,-0.16,-0.98,"234,785",,
2025-04-28,16.44,16.52,16.28,16.38,-0.06,-0.36,"247,735",,
2025-04-27,16.22,16.56,16.22,16.44,0.24,1.48,"198,566",,
2025-04-24,16.48,16.50,16.20,16.20,-0.26,-1.58,"98,252",,
2025-04-23,16.54,16.56,16.30,16.46,0.18,1.11,"255,221",,
2025-04-22,16.06,16.82,16.06,16.28,0.00,0.00,"394,904",,
2025-04-21,16.14,16.40,16.10,16.28,0.04,0.25,"165,648",,
2025-04-20,16.24,16.58,16.20,16.24,0.00,0.00,"166,127",,
2025-04-17,16.52,16.76,16.14,16.24,-0.28,-1.69,"318,040",,
