0,1,2,3,4,5,6,7,8,9
2025-05-29,173.40,175.00,171.20,174.80,2.80,1.63,"56,528",,
2025-05-28,170.00,172.40,169.80,172.00,2.00,1.18,"17,575",,
2025-05-27,171.40,177.00,168.40,170.00,-1.40,-0.82,"58,831",,
2025-05-26,166.00,174.40,166.00,171.40,5.20,3.13,"99,120",,
2025-05-25,170.40,170.40,166.20,166.20,-4.40,-2.58,"20,017",,
2025-05-22,173.60,173.60,169.60,170.60,-3.60,-2.07,"27,462",,
2025-05-21,176.40,176.40,173.60,174.20,-2.20,-1.25,"27,310",,
2025-05-20,174.80,176.40,173.00,176.40,2.00,1.15,"25,399",,
2025-05-19,174.60,177.00,173.80,174.40,-0.20,-0.11,"46,398",,
2025-05-18,178.00,178.00,174.20,174.60,-5.40,-3.00,"44,567",,
2025-05-15,179.40,183.40,178.20,180.00,0.00,0.00,"102,045",,
2025-05-14,181.00,181.00,179.00,180.00,-1.00,-0.55,"39,749",,
2025-05-13,179.60,182.40,178.40,181.00,1.20,0.67,"90,398",,
2025-05-12,170.00,183.80,170.00,179.80,8.60,5.02,"236,090",,
2025-05-11,170.00,174.00,169.60,171.20,1.20,0.71,"34,501",,
2025-05-08,169.60,172.60,168.20,170.00,0.40,0.24,"50,299",,
2025-05-07,170.40,172.00,169.00,169.60,-3.20,-1.85,"47,769",,
2025-05-06,173.20,175.40,170.80,172.80,-0.20,-0.12,"52,092",,
2025-05-05,166.20,175.80,166.20,173.00,4.80,2.85,"165,097",,
2025-05-04,171.00,172.00,165.20,168.20,-1.80,-1.06,"93,023",,
2025-05-01,176.00,176.40,169.00,170.00,-3.00,-1.73,"376,455",,
2025-04-30,167.00,173.00,167.00,173.00,15.60,9.91,"420,622",,
2025-04-29,154.60,159.00,154.60,157.40,2.80,1.81,"82,934",,
2025-04-28,151.00,155.60,151.00,154.60,3.60,2.38,"67,622",,
2025-04-27,151.80,153.40,151.00,151.00,0.40,0.27,"37,179",,
2025-04-24,151.20,152.00,149.80,150.60,0.40,0.27,"115,715",,
2025-04-23,154.40,155.40,149.40,150.20,-3.20,-2.09,"141,897",,
2025-04-22,153.20,154.80,151.60,153.40,-0.80,-0.52,"48,310",,
2025-04-21,153.80,155.20,153.40,154.20,0.40,0.26,"13,484",,
2025-04-20,153.80,155.60,152.80,153.80,0.60,0.39,"22,340",,
2025-04-17,156.00,156.00,152.80,153.20,-3.60,-2.30,"43,060",,
2025-04-16,157.80,157.80,154.60,156.80,-1.00,-0.63,"36,826",,
2025-04-15,153.20,157.80,153.00,157.80,4.60,3.00,"59,304",,
2025-04-14,152.00,153.20,149.00,153.20,1.40,0.92,"49,626",,
2025-04-13,152.40,153.00,149.60,151.80,2.80,1.88,"22,728",,
2025-04-10,151.20,152.40,146.60,149.00,4.80,3.33,"99,860",,
2025-04-09,148.80,149.20,144.00,144.20,-4.80,-3.22,"47,516",,
2025-04-08,148.00,151.20,145.20,149.00,3.40,2.34,"74,395",,
2025-04-07,136.20,146.80,134.00,145.60,2.40,1.68,"66,414",,
2025-04-06,145.00,147.80,137.20,143.20,-7.20,-4.79,"100,020",,
2025-04-03,156.00,156.40,150.20,150.40,-5.60,-3.59,"41,143",,
2025-03-27,156.00,158.00,154.20,156.00,0.60,0.39,"38,356",,
2025-03-26,153.20,156.00,153.20,155.40,2.20,1.44,"21,874",,
2025-03-25,156.00,156.00,152.00,153.20,-1.80,-1.16,"31,527",,
2025-03-24,155.40,157.00,154.60,155.00,-2.00,-1.27,"18,305",,
2025-03-23,158.00,158.00,155.40,157.00,-0.80,-0.51,"12,266",,
2025-03-20,156.80,160.40,154.60,157.80,3.60,2.33,"100,212",,
2025-03-19,152.00,155.20,150.00,154.20,-0.80,-0.52,"75,765",,
2025-03-18,158.20,158.40,154.00,155.00,-2.80,-1.77,"58,510",,
2025-03-17,161.20,161.20,156.60,157.80,-3.40,-2.11,"99,942",,
2025-03-16,159.00,161.60,157.20,161.20,2.20,1.38,"28,790",,
2025-03-13,153.40,159.40,152.20,159.00,4.20,2.71,"62,717",,
2025-03-12,157.20,159.80,154.00,154.80,-2.40,-1.53,"52,494",,
2025-03-11,155.20,159.00,150.20,157.20,1.20,0.77,"143,793",,
2025-03-10,159.60,162.20,156.00,156.00,-7.00,-4.29,"56,650",,
2025-03-09,158.20,163.60,155.00,163.00,4.80,3.03,"45,919",,
2025-03-06,157.20,159.80,155.00,158.20,-1.60,-1.00,"73,917",,
2025-03-05,166.20,166.20,157.00,159.80,-6.80,-4.08,"88,673",,
2025-03-04,168.00,170.00,165.00,166.60,-2.20,-1.30,"62,957",,
2025-03-03,174.80,175.00,168.00,168.80,-6.20,-3.54,"91,453",,
2025-03-02,174.20,180.40,174.20,175.00,1.00,0.57,"137,570",,
2025-02-27,171.60,175.00,170.40,174.00,1.80,1.05,"124,466",,
2025-02-26,167.00,173.00,165.60,172.20,5.20,3.11,"160,211",,
2025-02-25,161.60,170.40,161.60,167.00,5.80,3.60,"191,353",,
2025-02-24,163.40,165.80,161.00,161.20,-3.20,-1.95,"49,789",,
