0,1,2,3,4,5,6,7,8,9
2025-05-29,25.00,25.70,24.70,24.96,0.16,0.65,"328,264",,
2025-05-28,24.76,25.20,24.66,24.80,-0.08,-0.32,"278,671",,
2025-05-27,25.55,25.55,24.06,24.88,-0.32,-1.27,"222,898",,
2025-05-26,26.05,26.20,24.50,25.20,-0.75,-2.89,"284,401",,
2025-05-25,26.35,26.35,25.80,25.95,-0.35,-1.33,"159,223",,
2025-05-22,26.15,26.40,25.80,26.30,0.15,0.57,"248,215",,
2025-05-21,27.00,27.00,26.15,26.15,-0.85,-3.15,"275,700",,
2025-05-20,26.60,27.15,26.60,27.00,0.20,0.75,"231,160",,
2025-05-19,27.35,27.50,26.40,26.80,-0.55,-2.01,"452,107",,
2025-05-18,27.00,27.65,26.90,27.35,0.45,1.67,"597,927",,
2025-05-15,27.10,27.15,26.50,26.90,-0.10,-0.37,"390,510",,
2025-05-14,27.65,28.00,26.95,27.00,-0.75,-2.70,"1,063,247",,
2025-05-13,27.35,28.00,27.05,27.75,0.45,1.65,"1,001,796",,
2025-05-12,27.50,28.35,27.15,27.30,1.25,4.80,"2,413,543",,
2025-05-11,25.95,26.20,25.60,26.05,0.25,0.97,"299,112",,
2025-05-08,26.00,26.00,25.30,25.80,0.00,0.00,"316,573",,
2025-05-07,26.05,26.50,25.50,25.80,-0.20,-0.77,"760,672",,
2025-05-06,25.15,26.40,25.05,26.00,0.70,2.77,"1,216,842",,
2025-05-05,25.10,25.40,24.92,25.30,-0.10,-0.39,"617,926",,
2025-05-04,25.20,25.50,24.90,25.40,0.20,0.79,"267,541",,
2025-05-01,25.60,25.60,24.96,25.20,-0.30,-1.18,"309,180",,
2025-04-30,25.85,26.45,25.40,25.50,-0.30,-1.16,"1,153,077",,
2025-04-29,25.50,25.95,25.40,25.80,0.20,0.78,"610,398",,
2025-04-28,25.00,25.90,24.76,25.60,0.60,2.40,"1,054,264",,
2025-04-27,24.94,25.40,24.90,25.00,0.10,0.40,"413,790",,
2025-04-24,24.60,24.94,24.52,24.90,0.30,1.22,"263,769",,
2025-04-23,24.90,25.15,24.60,24.60,-0.26,-1.05,"323,121",,
2025-04-22,24.54,24.88,24.30,24.86,0.20,0.81,"315,475",,
2025-04-21,24.76,24.76,24.50,24.66,-0.04,-0.16,"738,914",,
2025-04-20,24.34,24.78,24.30,24.70,0.54,2.24,"426,548",,
2025-04-17,24.52,24.52,24.00,24.16,-0.54,-2.19,"414,946",,
2025-04-16,24.36,24.74,24.12,24.70,0.50,2.07,"474,834",,
2025-04-15,24.84,25.20,24.12,24.20,-0.62,-2.50,"561,779",,
2025-04-14,24.64,24.90,24.30,24.82,0.22,0.89,"427,373",,
2025-04-13,24.20,24.84,24.20,24.60,0.68,2.84,"514,646",,
2025-04-10,23.98,24.00,23.50,23.92,1.12,4.91,"863,632",,
2025-04-09,23.52,23.86,22.50,22.80,-0.90,-3.80,"715,567",,
2025-04-08,23.10,23.90,22.90,23.70,1.14,5.05,"1,196,099",,
2025-04-07,21.90,23.14,20.94,22.56,-0.22,-0.97,"1,940,401",,
2025-04-06,23.56,24.00,22.78,22.78,-2.52,-9.96,"1,034,844",,
2025-04-03,25.80,25.80,24.58,25.30,-0.95,-3.62,"1,614,655",,
2025-03-27,26.00,26.25,25.70,26.25,0.10,0.38,"1,238,430",,
2025-03-26,25.90,26.55,25.90,26.15,0.25,0.97,"912,964",,
2025-03-25,27.10,27.15,25.80,25.90,-1.30,-4.78,"1,119,600",,
2025-03-24,27.50,27.65,27.15,27.20,-0.35,-1.27,"293,967",,
2025-03-23,27.75,27.80,27.50,27.55,0.05,0.18,"121,337",,
2025-03-20,27.80,28.10,27.50,27.50,-0.30,-1.08,"114,186",,
2025-03-19,27.70,27.85,27.50,27.80,0.00,0.00,"165,492",,
2025-03-18,28.40,28.45,27.65,27.80,-0.60,-2.11,"288,103",,
2025-03-17,28.70,28.80,28.15,28.40,0.05,0.18,"239,737",,
2025-03-16,27.65,28.55,27.65,28.35,0.65,2.35,"300,515",,
2025-03-13,27.60,27.90,27.55,27.70,0.10,0.36,"166,395",,
2025-03-12,27.95,28.20,27.40,27.60,-0.40,-1.43,"362,873",,
2025-03-11,27.95,28.00,27.00,28.00,-0.10,-0.36,"482,838",,
2025-03-10,28.70,28.70,27.70,28.10,-0.60,-2.09,"379,235",,
2025-03-09,28.75,28.80,28.50,28.70,-0.05,-0.17,"329,101",,
2025-03-06,28.95,29.10,28.50,28.75,-0.20,-0.69,"499,866",,
2025-03-05,28.60,29.25,28.40,28.95,0.15,0.52,"353,539",,
2025-03-04,28.90,29.35,28.50,28.80,-0.20,-0.69,"339,955",,
2025-03-03,28.90,29.10,28.50,29.00,0.10,0.35,"407,609",,
2025-03-02,30.00,30.00,28.45,28.90,-1.15,-3.83,"998,000",,
2025-02-27,30.75,30.95,29.90,30.05,-0.80,-2.59,"487,898",,
2025-02-26,30.80,31.30,30.55,30.85,0.00,0.00,"322,437",,
2025-02-25,31.25,31.30,30.60,30.85,-0.55,-1.75,"532,415",,
2025-02-24,31.65,32.20,31.00,31.40,-0.55,-1.72,"179,362",,
2025-02-20,31.40,31.95,31.20,31.95,0.45,1.43,"186,307",,
2025-02-19,31.60,31.80,30.95,31.50,-0.10,-0.32,"507,091",,
2025-02-18,31.85,32.45,31.60,31.60,-0.30,-0.94,"502,106",,
2025-02-17,31.95,31.95,31.60,31.90,-0.05,-0.16,"200,137",,
2025-02-16,32.25,32.35,31.95,31.95,-0.30,-0.93,"150,494",,
2025-02-13,31.60,32.30,31.60,32.25,0.60,1.90,"377,220",,
2025-02-12,32.30,32.40,31.55,31.65,-0.75,-2.31,"788,455",,
2025-02-11,32.60,32.60,32.25,32.40,-0.30,-0.92,"298,205",,
2025-02-10,32.80,32.80,32.50,32.70,-0.10,-0.30,"418,407",,
2025-02-09,33.00,33.20,32.60,32.80,-0.45,-1.35,"546,233",,
2025-02-06,33.15,33.40,33.00,33.25,0.00,0.00,"268,035",,
2025-02-05,33.30,33.30,32.85,33.25,0.00,0.00,"361,699",,
2025-02-04,33.05,33.45,33.00,33.25,-0.05,-0.15,"249,308",,
2025-02-03,33.40,33.50,33.00,33.30,-0.15,-0.45,"285,721",,
2025-02-02,33.85,33.90,33.35,33.45,-0.45,-1.33,"314,313",,
2025-01-30,34.00,34.15,33.70,33.90,-0.05,-0.15,"149,427",,
2025-01-29,34.45,34.45,33.80,33.95,-0.55,-1.59,"279,414",,
2025-01-28,34.00,34.65,33.90,34.50,0.50,1.47,"310,545",,
2025-01-27,34.45,34.50,33.85,34.00,-0.45,-1.31,"229,196",,
2025-01-26,33.75,34.80,33.70,34.45,0.70,2.07,"764,534",,
2025-01-23,34.00,34.10,33.45,33.75,-0.25,-0.74,"469,060",,
2025-01-22,34.10,34.80,33.95,34.00,-0.15,-0.44,"1,063,273",,
2025-01-21,34.15,34.15,33.65,34.15,0.10,0.29,"615,150",,
2025-01-20,34.30,34.40,33.90,34.05,-0.20,-0.58,"514,817",,
2025-01-19,34.00,34.35,33.70,34.25,0.55,1.63,"1,152,211",,
2025-01-16,32.75,33.85,32.50,33.70,0.95,2.90,"859,741",,
2025-01-15,32.90,33.00,32.60,32.75,0.00,0.00,"373,447",,
2025-01-14,33.45,33.50,32.75,32.75,-0.70,-2.09,"855,862",,
2025-01-13,33.35,33.75,33.10,33.45,0.15,0.45,"828,272",,
2025-01-12,31.80,33.40,31.70,33.30,1.35,4.23,"1,703,450",,
2025-01-09,32.40,32.65,31.85,31.95,-0.40,-1.24,"497,881",,
2025-01-08,32.00,32.70,31.75,32.35,0.45,1.41,"830,650",,
2025-01-07,31.40,31.95,31.25,31.90,0.40,1.27,"498,462",,
