0,1,2,3,4,5,6,7,8,9
2025-05-29,9.28,9.28,9.15,9.25,0.13,1.43,"39,869",,
2025-05-28,9.01,9.20,9.01,9.12,0.09,1.00,"28,540",,
2025-05-27,9.03,9.06,9.00,9.03,-0.01,-0.11,"24,551",,
2025-05-26,9.02,9.08,9.00,9.04,0.01,0.11,"7,131",,
2025-05-25,9.07,9.14,8.93,9.03,-0.06,-0.66,"147,947",,
2025-05-22,9.04,9.21,9.04,9.09,0.02,0.22,"48,254",,
2025-05-21,9.11,9.13,9.05,9.07,-0.03,-0.33,"34,608",,
2025-05-20,9.10,9.12,9.08,9.10,-0.04,-0.44,"18,589",,
2025-05-19,9.17,9.20,9.08,9.14,-0.03,-0.33,"23,973",,
2025-05-18,9.23,9.27,9.17,9.17,-0.10,-1.08,"46,613",,
2025-05-15,9.17,9.31,9.17,9.27,0.07,0.76,"32,595",,
2025-05-14,9.29,9.29,9.17,9.20,0.07,0.77,"30,674",,
2025-05-13,9.10,9.24,9.10,9.13,0.03,0.33,"26,500",,
2025-05-12,9.20,9.20,9.10,9.10,-0.02,-0.22,"257,783",,
2025-05-11,9.21,9.30,9.01,9.12,-0.08,-0.87,"94,777",,
2025-05-08,9.35,9.35,9.17,9.20,-0.17,-1.81,"66,854",,
2025-05-07,9.58,9.58,9.34,9.37,-0.23,-2.40,"26,118",,
2025-05-06,9.41,9.60,9.31,9.60,0.23,2.45,"20,747",,
2025-05-05,9.47,9.99,9.30,9.37,0.08,0.86,"159,848",,
2025-05-04,9.38,9.38,9.21,9.29,-0.09,-0.96,"32,870",,
2025-05-01,9.26,10.00,9.26,9.38,0.08,0.86,"171,139",,
2025-04-30,9.45,9.45,9.30,9.30,-0.06,-0.64,"33,484",,
2025-04-29,9.45,9.45,9.32,9.36,-0.06,-0.64,"60,273",,
2025-04-28,9.71,9.71,9.38,9.42,-0.16,-1.67,"66,063",,
2025-04-27,9.70,9.73,9.50,9.58,-0.12,-1.24,"30,882",,
2025-04-24,9.77,9.84,9.65,9.70,-0.09,-0.92,"47,878",,
2025-04-23,10.00,10.00,9.78,9.79,-0.18,-1.81,"94,165",,
2025-04-22,9.73,10.10,9.72,9.97,0.24,2.47,"288,040",,
2025-04-21,9.73,9.79,9.73,9.73,0.00,0.00,"32,814",,
2025-04-20,9.67,9.75,9.67,9.73,0.06,0.62,"48,442",,
2025-04-17,9.65,9.70,9.63,9.67,0.02,0.21,"81,342",,
2025-04-16,9.52,9.65,9.51,9.65,0.14,1.47,"63,841",,
2025-04-15,9.44,9.60,9.43,9.51,0.08,0.85,"119,658",,
2025-04-14,9.44,9.48,9.43,9.43,0.00,0.00,"114,383",,
2025-04-13,9.41,9.49,9.39,9.43,0.02,0.21,"131,125",,
2025-04-10,9.36,9.41,9.36,9.41,0.05,0.53,"30,679",,
2025-04-09,9.42,9.42,9.35,9.36,-0.06,-0.64,"61,119",,
2025-04-08,9.40,9.46,9.34,9.42,0.10,1.07,"65,324",,
2025-04-07,9.16,9.33,9.10,9.32,0.12,1.30,"175,534",,
2025-04-06,9.44,9.44,9.16,9.20,-0.26,-2.75,"133,636",,
2025-04-03,9.44,9.47,9.40,9.46,-0.04,-0.42,"32,844",,
2025-03-27,9.45,9.50,9.45,9.50,0.05,0.53,"188,324",,
2025-03-26,9.30,9.45,9.29,9.45,0.14,1.50,"121,594",,
2025-03-25,9.28,9.32,9.26,9.31,0.07,0.76,"28,374",,
2025-03-24,9.28,9.28,9.21,9.24,-0.02,-0.22,"12,668",,
2025-03-23,9.20,9.26,9.15,9.26,0.08,0.87,"31,144",,
2025-03-20,9.22,9.22,9.18,9.18,0.03,0.33,"23,834",,
2025-03-19,9.28,9.28,9.15,9.15,-0.11,-1.19,"46,583",,
2025-03-18,9.19,9.27,9.19,9.26,-0.01,-0.11,"35,831",,
2025-03-17,9.28,9.28,9.19,9.27,0.04,0.43,"70,023",,
2025-03-16,9.28,9.28,9.19,9.23,0.01,0.11,"40,382",,
2025-03-13,9.28,9.28,9.18,9.22,0.00,0.00,"21,316",,
2025-03-12,9.19,9.22,9.17,9.22,0.03,0.33,"26,444",,
2025-03-11,9.18,9.20,9.12,9.19,-0.01,-0.11,"41,607",,
2025-03-10,9.06,9.40,9.06,9.20,0.14,1.55,"87,814",,
2025-03-09,9.02,9.08,9.02,9.06,0.06,0.67,"22,963",,
2025-03-06,9.02,9.08,8.99,9.00,-0.09,-0.99,"30,885",,
2025-03-05,9.02,9.09,9.01,9.09,0.08,0.89,"28,145",,
2025-03-04,8.91,9.20,8.90,9.01,-0.52,-5.46,"227,063",,
2025-03-03,9.45,9.53,9.39,9.53,0.14,1.49,"300,288",,
2025-03-02,9.41,9.45,9.35,9.39,-0.01,-0.11,"72,205",,
2025-02-27,9.40,9.45,9.38,9.40,0.00,0.00,"41,055",,
2025-02-26,9.30,9.44,9.26,9.40,0.19,2.06,"81,887",,
2025-02-25,9.13,9.23,9.13,9.21,0.08,0.88,"25,565",,
2025-02-24,9.13,9.15,9.13,9.13,0.00,0.00,"39,643",,
