0,1,2,3,4,5,6,7,8,9
2025-05-29,6.97,6.99,6.95,6.97,0.01,0.14,"28,670",,
2025-05-28,6.93,6.97,6.93,6.96,0.03,0.43,"20,666",,
2025-05-27,6.90,6.96,6.89,6.93,0.01,0.14,"11,233",,
2025-05-26,6.98,6.98,6.88,6.92,-0.06,-0.86,"12,251",,
2025-05-25,6.97,6.99,6.90,6.98,0.08,1.16,"27,067",,
2025-05-22,6.98,6.99,6.90,6.90,-0.08,-1.15,"34,980",,
2025-05-21,6.90,7.06,6.85,6.98,0.11,1.60,"104,031",,
2025-05-20,6.90,6.92,6.86,6.87,-0.03,-0.43,"54,757",,
2025-05-19,6.86,6.91,6.86,6.90,-0.01,-0.14,"17,613",,
2025-05-18,6.94,6.94,6.89,6.91,0.01,0.14,"29,052",,
2025-05-15,6.96,6.96,6.90,6.90,-0.06,-0.86,"34,426",,
2025-05-14,6.98,6.99,6.95,6.96,-0.02,-0.29,"33,734",,
2025-05-13,7.01,7.01,6.97,6.98,0.03,0.43,"7,357",,
2025-05-12,6.96,6.99,6.94,6.95,0.01,0.14,"43,031",,
2025-05-11,6.93,6.96,6.90,6.94,0.02,0.29,"32,912",,
2025-05-08,6.95,6.99,6.92,6.92,-0.01,-0.14,"27,531",,
2025-05-07,6.89,6.98,6.88,6.93,0.06,0.87,"31,899",,
2025-05-06,6.88,6.90,6.78,6.87,-0.01,-0.15,"227,372",,
2025-05-05,7.04,7.04,6.86,6.88,-0.11,-1.57,"153,388",,
2025-05-04,7.00,7.01,6.96,6.99,-0.02,-0.29,"103,218",,
2025-05-01,7.03,7.04,7.00,7.01,-0.04,-0.57,"88,854",,
2025-04-30,7.05,7.08,7.03,7.05,-0.04,-0.56,"57,375",,
2025-04-29,7.10,7.11,7.05,7.09,0.00,0.00,"88,740",,
2025-04-28,7.12,7.13,7.05,7.09,-0.03,-0.42,"106,873",,
2025-04-27,7.09,7.13,7.08,7.12,0.03,0.42,"124,752",,
2025-04-24,7.14,7.14,7.06,7.09,-0.03,-0.42,"248,148",,
