0,1,2,3,4,5,6,7,8,9
2025-05-29,13.50,13.62,13.48,13.54,0.06,0.45,"9,570",,
2025-05-28,13.58,13.90,13.48,13.48,-0.14,-1.03,"65,927",,
2025-05-27,13.68,13.68,13.46,13.62,0.02,0.15,"88,239",,
2025-05-26,13.50,13.60,13.46,13.60,0.14,1.04,"79,569",,
2025-05-25,13.54,13.86,13.30,13.46,-0.04,-0.30,"187,526",,
2025-05-22,13.46,13.66,13.46,13.50,0.04,0.30,"52,530",,
2025-05-21,13.80,13.86,13.46,13.46,-0.32,-2.32,"115,245",,
2025-05-20,14.08,14.14,13.78,13.78,-0.32,-2.27,"165,281",,
2025-05-19,14.40,14.44,14.04,14.10,-0.30,-2.08,"121,219",,
2025-05-18,14.56,14.58,14.38,14.40,-0.20,-1.37,"73,829",,
2025-05-15,14.58,14.90,14.52,14.60,0.02,0.14,"186,923",,
2025-05-14,14.56,14.64,14.52,14.58,0.12,0.83,"47,161",,
2025-05-13,14.70,14.76,14.46,14.46,-0.24,-1.63,"100,741",,
2025-05-12,14.40,14.70,14.30,14.70,0.34,2.37,"163,780",,
2025-05-11,14.66,14.68,14.32,14.36,-0.14,-0.97,"105,973",,
2025-05-08,14.86,14.86,14.50,14.50,-0.24,-1.63,"67,163",,
2025-05-07,14.70,15.10,14.64,14.74,0.08,0.55,"218,897",,
2025-05-06,14.54,15.14,14.54,14.66,0.06,0.41,"238,713",,
2025-05-05,14.56,14.74,14.46,14.60,0.04,0.27,"67,881",,
2025-05-04,14.50,14.90,14.50,14.56,0.02,0.14,"115,914",,
2025-05-01,14.76,14.96,14.40,14.54,-0.06,-0.41,"175,339",,
2025-04-30,14.94,14.98,14.50,14.60,-0.30,-2.01,"217,919",,
2025-04-29,14.60,15.84,14.50,14.90,0.30,2.05,"950,926",,
2025-04-28,14.74,14.88,14.48,14.60,-0.12,-0.82,"155,842",,
2025-04-27,14.90,15.04,14.70,14.72,-0.14,-0.94,"186,239",,
2025-04-24,15.10,15.40,14.78,14.86,-0.40,-2.62,"404,830",,
2025-04-23,16.18,16.48,15.20,15.26,-0.26,-1.68,"1,620,934",,
2025-04-22,14.18,15.52,13.92,15.52,1.40,9.92,"955,044",,
2025-04-21,14.04,14.22,13.92,14.12,0.10,0.71,"64,638",,
2025-04-20,13.92,14.10,13.90,14.02,0.20,1.45,"22,259",,
2025-04-17,14.08,14.08,13.80,13.82,-0.28,-1.99,"47,162",,
2025-04-16,13.66,14.18,13.66,14.10,0.16,1.15,"46,512",,
2025-04-15,14.00,14.26,13.74,13.94,-0.12,-0.85,"87,519",,
2025-04-14,13.84,14.14,13.84,14.06,0.28,2.03,"81,744",,
2025-04-13,13.72,13.86,13.68,13.78,0.10,0.73,"51,454",,
2025-04-10,13.74,13.74,13.58,13.68,0.28,2.09,"70,176",,
2025-04-09,13.70,13.70,13.28,13.40,-0.20,-1.47,"44,689",,
2025-04-08,13.60,13.78,13.58,13.60,0.12,0.89,"40,760",,
2025-04-07,13.58,13.60,13.04,13.48,-0.10,-0.74,"99,520",,
2025-04-06,14.12,14.12,13.56,13.58,-0.82,-5.69,"94,421",,
2025-04-03,14.78,14.78,14.30,14.40,-0.18,-1.23,"38,966",,
2025-03-27,14.48,14.68,14.48,14.58,0.18,1.25,"28,983",,
2025-03-26,14.36,14.50,14.36,14.40,0.06,0.42,"24,964",,
2025-03-25,14.40,14.40,14.26,14.34,-0.06,-0.42,"29,911",,
2025-03-24,14.36,14.42,14.30,14.40,-0.04,-0.28,"23,717",,
2025-03-23,14.36,14.46,14.36,14.44,0.08,0.56,"33,328",,
2025-03-20,14.30,14.40,14.30,14.36,0.06,0.42,"21,551",,
2025-03-19,14.46,14.46,14.22,14.30,-0.16,-1.11,"38,935",,
2025-03-18,14.58,14.62,14.34,14.46,-0.12,-0.82,"47,734",,
2025-03-17,14.62,14.66,14.50,14.58,-0.04,-0.27,"39,707",,
2025-03-16,14.50,14.64,14.46,14.62,0.06,0.41,"85,464",,
2025-03-13,14.48,14.58,14.44,14.56,0.08,0.55,"27,853",,
2025-03-12,14.30,14.48,14.30,14.48,0.18,1.26,"22,463",,
2025-03-11,14.24,14.32,14.14,14.30,-0.04,-0.28,"47,907",,
2025-03-10,14.38,14.38,14.14,14.34,-0.06,-0.42,"20,126",,
2025-03-09,14.40,14.50,14.20,14.40,-0.10,-0.69,"82,977",,
2025-03-06,14.30,14.50,14.20,14.50,0.14,0.97,"31,864",,
2025-03-05,14.54,14.54,14.26,14.36,-0.16,-1.10,"36,542",,
2025-03-04,14.56,14.60,14.40,14.52,-0.18,-1.22,"82,987",,
2025-03-03,14.70,14.74,14.52,14.70,-0.02,-0.14,"34,754",,
2025-03-02,14.92,14.96,14.64,14.72,-0.04,-0.27,"24,561",,
2025-02-27,14.80,14.82,14.70,14.76,-0.04,-0.27,"20,617",,
2025-02-26,14.74,14.82,14.64,14.80,0.08,0.54,"46,358",,
2025-02-25,15.00,15.00,14.70,14.72,-0.18,-1.21,"52,385",,
2025-02-24,15.18,15.18,14.90,14.90,-0.26,-1.72,"23,733",,
2025-02-20,14.96,15.16,14.90,15.16,0.22,1.47,"41,556",,
2025-02-19,15.00,15.04,14.94,14.94,-0.04,-0.27,"18,482",,
2025-02-18,14.98,15.10,14.94,14.98,0.00,0.00,"22,847",,
2025-02-17,15.04,15.08,14.90,14.98,-0.12,-0.79,"31,943",,
2025-02-16,15.06,15.28,15.02,15.10,0.06,0.40,"20,935",,
2025-02-13,15.12,15.16,15.02,15.04,-0.08,-0.53,"66,764",,
2025-02-12,15.12,15.20,15.10,15.12,-0.02,-0.13,"75,267",,
2025-02-11,15.26,15.30,15.06,15.14,-0.12,-0.79,"46,431",,
2025-02-10,15.32,15.32,15.18,15.26,0.00,0.00,"69,126",,
2025-02-09,15.48,15.50,15.16,15.26,-0.22,-1.42,"162,880",,
2025-02-06,15.30,15.50,15.30,15.48,0.10,0.65,"49,295",,
2025-02-05,15.40,15.42,15.36,15.38,0.00,0.00,"37,454",,
2025-02-04,15.36,15.46,15.34,15.38,0.02,0.13,"15,495",,
2025-02-03,15.32,15.40,15.26,15.36,0.06,0.39,"33,788",,
2025-02-02,15.50,15.50,15.30,15.30,-0.18,-1.16,"64,675",,
2025-01-30,15.46,15.54,15.40,15.48,0.02,0.13,"51,760",,
2025-01-29,15.86,15.86,15.46,15.46,-0.40,-2.52,"168,941",,
2025-01-28,15.76,16.06,15.66,15.86,0.10,0.63,"159,163",,
2025-01-27,15.70,16.06,15.70,15.76,0.06,0.38,"276,914",,
2025-01-26,15.50,15.74,15.50,15.70,0.12,0.77,"51,465",,
2025-01-23,15.56,15.60,15.50,15.58,0.02,0.13,"90,754",,
2025-01-22,15.54,15.58,15.48,15.56,0.02,0.13,"65,346",,
2025-01-21,15.52,15.60,15.44,15.54,0.12,0.78,"31,968",,
2025-01-20,15.52,15.60,15.42,15.42,-0.08,-0.52,"72,828",,
2025-01-19,15.58,15.62,15.50,15.50,-0.04,-0.26,"29,015",,
2025-01-16,15.60,15.78,15.52,15.54,-0.12,-0.77,"39,146",,
2025-01-15,15.50,15.70,15.50,15.66,0.12,0.77,"61,820",,
2025-01-14,15.50,15.60,15.50,15.54,0.04,0.26,"9,621",,
2025-01-13,15.48,15.60,15.46,15.50,0.04,0.26,"19,272",,
2025-01-12,15.46,15.52,15.38,15.46,0.00,0.00,"16,260",,
2025-01-09,15.62,15.62,15.40,15.46,-0.02,-0.13,"16,743",,
2025-01-08,15.56,15.58,15.48,15.48,-0.08,-0.51,"31,728",,
2025-01-07,15.44,15.66,15.40,15.56,0.12,0.78,"41,462",,
2025-01-06,15.48,15.66,15.38,15.44,0.04,0.26,"72,021",,
2025-01-05,15.26,15.48,15.26,15.40,0.14,0.92,"50,928",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,15.26,15.48,15.26,15.40,0.14,0.92,"50,928",,
2025-01-02,15.18,15.30,15.14,15.26,0.08,0.53,"13,233",,
2025-01-01,15.14,15.20,15.08,15.18,0.14,0.93,"13,208",,
2024-12-31,15.00,15.20,15.00,15.04,-0.02,-0.13,"40,350",,
2024-12-30,14.94,15.10,14.70,15.06,0.18,1.21,"117,963",,
2024-12-29,15.04,15.24,14.80,14.88,-0.26,-1.72,"154,993",,
2024-12-26,15.40,15.40,15.12,15.14,-0.26,-1.69,"38,118",,
2024-12-25,15.36,15.40,15.16,15.40,0.16,1.05,"89,419",,
2024-12-24,15.20,15.30,15.16,15.24,0.10,0.66,"27,884",,
2024-12-23,15.20,15.22,15.10,15.14,-0.04,-0.26,"27,606",,
2024-12-22,15.22,15.40,15.16,15.18,-0.02,-0.13,"21,984",,
2024-12-19,15.28,15.50,15.20,15.20,-0.12,-0.78,"54,378",,
2024-12-18,15.30,15.36,15.18,15.32,0.06,0.39,"59,193",,
2024-12-17,15.46,15.46,15.20,15.26,-0.14,-0.91,"30,797",,
2024-12-16,15.52,15.52,15.30,15.40,-0.08,-0.52,"68,950",,
2024-12-15,15.46,15.56,15.44,15.48,0.00,0.00,"10,069",,
2024-12-12,15.50,15.62,15.48,15.48,0.00,0.00,"24,624",,
2024-12-11,15.48,15.56,15.44,15.48,0.04,0.26,"25,455",,
2024-12-10,15.46,15.62,15.40,15.44,-0.10,-0.64,"75,125",,
2024-12-09,15.56,15.64,15.50,15.54,-0.02,-0.13,"81,766",,
2024-12-08,15.70,15.70,15.50,15.56,-0.30,-1.89,"98,811",,
2024-12-05,15.74,15.88,15.66,15.86,0.06,0.38,"149,993",,
2024-12-04,15.58,16.00,15.50,15.80,0.46,3.00,"224,975",,
2024-12-03,15.26,15.46,15.02,15.34,0.10,0.66,"49,684",,
2024-12-02,15.48,15.54,15.24,15.24,-0.24,-1.55,"39,198",,
2024-12-01,15.38,15.70,15.38,15.48,0.04,0.26,"28,640",,
2024-11-28,15.46,15.52,15.34,15.44,0.00,0.00,"34,933",,
2024-11-27,15.50,15.52,15.42,15.44,-0.10,-0.64,"25,739",,
2024-11-26,15.44,15.64,15.36,15.54,0.12,0.78,"32,356",,
2024-11-25,15.56,15.64,15.20,15.42,-0.12,-0.77,"38,196",,
2024-11-24,15.48,15.60,15.48,15.54,0.04,0.26,"19,944",,
2024-11-21,15.62,15.74,15.44,15.50,-0.10,-0.64,"46,129",,
2024-11-20,15.36,15.64,15.28,15.60,0.22,1.43,"129,329",,
2024-11-19,15.50,15.54,15.36,15.38,-0.08,-0.52,"99,151",,
2024-11-18,15.56,15.60,15.40,15.46,-0.10,-0.64,"40,774",,
2024-11-17,15.60,15.70,15.56,15.56,-0.04,-0.26,"17,897",,
2024-11-14,15.68,15.80,15.50,15.60,-0.10,-0.64,"51,127",,
2024-11-13,15.78,15.78,15.60,15.70,-0.04,-0.25,"32,435",,
2024-11-12,15.80,15.86,15.74,15.74,-0.16,-1.01,"30,100",,
2024-11-11,16.00,16.00,15.80,15.90,-0.08,-0.50,"49,936",,
2024-11-10,16.02,16.08,15.94,15.98,0.00,0.00,"27,145",,
2024-11-07,15.98,16.02,15.88,15.98,0.04,0.25,"28,788",,
2024-11-06,15.76,16.00,15.76,15.94,0.18,1.14,"41,816",,
2024-11-05,15.90,15.90,15.74,15.76,0.06,0.38,"44,634",,
2024-11-04,15.90,15.90,15.68,15.70,-0.18,-1.13,"68,273",,
2024-11-03,15.92,16.02,15.84,15.88,-0.04,-0.25,"24,641",,
2024-10-31,15.94,16.00,15.84,15.92,-0.02,-0.13,"57,213",,
2024-10-30,15.78,15.96,15.78,15.94,0.16,1.01,"42,204",,
2024-10-29,16.10,16.10,15.76,15.78,-0.32,-1.99,"73,251",,
