0,1,2,3,4,5,6,7,8,9
2025-05-29,8.28,8.33,8.27,8.29,0.04,0.48,"393,049",,
2025-05-28,8.26,8.30,8.23,8.25,-0.01,-0.12,"142,478",,
2025-05-27,8.31,8.32,8.23,8.26,-0.06,-0.72,"182,032",,
2025-05-26,8.28,8.33,8.28,8.32,0.04,0.48,"111,150",,
2025-05-25,8.38,8.38,8.28,8.28,-0.10,-1.19,"213,572",,
2025-05-22,8.36,8.40,8.33,8.38,-0.01,-0.12,"153,385",,
2025-05-21,8.39,8.39,8.32,8.39,-0.01,-0.12,"245,705",,
2025-05-20,8.37,8.40,8.36,8.40,0.03,0.36,"156,583",,
2025-05-19,8.29,8.40,8.29,8.37,0.08,0.97,"280,170",,
2025-05-18,8.36,8.36,8.29,8.29,-0.07,-0.84,"133,963",,
2025-05-15,8.35,8.39,8.35,8.36,0.00,0.00,"280,216",,
2025-05-14,8.35,8.36,8.33,8.36,0.01,0.12,"77,233",,
2025-05-13,8.32,8.35,8.30,8.35,0.03,0.36,"108,832",,
2025-05-12,8.30,8.35,8.30,8.32,0.02,0.24,"176,915",,
2025-05-11,8.34,8.35,8.29,8.30,-0.10,-1.19,"228,109",,
2025-05-08,8.32,8.41,8.32,8.40,0.04,0.48,"167,092",,
2025-05-07,8.33,8.37,8.31,8.36,-0.06,-0.71,"157,405",,
2025-05-06,8.45,8.45,8.37,8.42,0.00,0.00,"205,855",,
2025-05-05,8.36,8.42,8.31,8.42,0.06,0.72,"156,660",,
2025-05-04,8.35,8.39,8.32,8.36,0.01,0.12,"109,391",,
2025-05-01,8.43,8.44,8.35,8.35,-0.09,-1.07,"91,545",,
2025-04-30,8.42,8.47,8.38,8.44,0.03,0.36,"330,055",,
2025-04-29,8.43,8.47,8.41,8.41,-0.02,-0.24,"264,107",,
2025-04-28,8.42,8.44,8.38,8.43,0.01,0.12,"158,757",,
2025-04-27,8.44,8.45,8.36,8.42,-0.02,-0.24,"110,585",,
2025-04-24,8.44,8.46,8.35,8.44,0.01,0.12,"283,272",,
2025-04-23,8.33,8.47,8.33,8.43,0.10,1.20,"509,430",,
2025-04-22,8.29,8.56,8.27,8.33,0.04,0.48,"916,325",,
2025-04-21,8.35,8.35,8.27,8.29,-0.07,-0.84,"130,251",,
2025-04-20,8.38,8.39,8.33,8.36,-0.02,-0.24,"167,257",,
2025-04-17,8.28,8.38,8.28,8.38,0.01,0.12,"103,402",,
2025-04-16,8.35,8.40,8.31,8.37,0.02,0.24,"176,111",,
2025-04-15,8.32,8.35,8.27,8.35,0.02,0.24,"263,347",,
2025-04-14,8.29,8.33,8.27,8.33,0.04,0.48,"137,426",,
2025-04-13,8.32,8.36,8.29,8.29,-0.03,-0.36,"146,277",,
2025-04-10,8.30,8.35,8.27,8.32,0.07,0.85,"235,499",,
2025-04-09,8.21,8.26,8.15,8.25,0.04,0.49,"356,723",,
2025-04-08,8.25,8.26,8.16,8.21,-0.01,-0.12,"274,551",,
2025-04-07,8.08,8.30,8.03,8.22,0.05,0.61,"887,649",,
2025-04-06,8.20,8.29,8.13,8.17,-0.23,-2.74,"423,994",,
2025-04-03,8.29,8.45,8.27,8.40,0.11,1.33,"637,280",,
2025-03-27,8.30,8.35,8.26,8.29,0.02,0.24,"392,062",,
2025-03-26,8.16,8.29,8.16,8.27,0.12,1.47,"259,047",,
2025-03-25,8.22,8.22,8.14,8.15,0.00,0.00,"262,265",,
2025-03-24,8.13,8.20,8.13,8.15,-0.05,-0.61,"117,263",,
2025-03-23,8.18,8.20,8.14,8.20,-0.01,-0.12,"106,778",,
2025-03-20,8.13,8.21,8.12,8.21,0.08,0.98,"249,506",,
2025-03-19,8.15,8.18,8.13,8.13,-0.02,-0.25,"155,790",,
2025-03-18,8.17,8.18,8.13,8.15,-0.02,-0.24,"102,780",,
2025-03-17,8.15,8.20,8.12,8.17,0.02,0.25,"258,299",,
2025-03-16,8.15,8.20,8.13,8.15,0.01,0.12,"353,345",,
2025-03-13,8.08,8.14,8.04,8.14,0.06,0.74,"198,968",,
2025-03-12,8.18,8.18,8.04,8.08,-0.06,-0.74,"824,199",,
2025-03-11,8.16,8.22,8.11,8.14,-0.09,-1.09,"252,285",,
2025-03-10,8.25,8.25,8.15,8.23,-0.02,-0.24,"458,071",,
2025-03-09,8.35,8.35,8.22,8.25,-0.10,-1.20,"379,065",,
2025-03-06,8.25,8.35,8.25,8.35,0.10,1.21,"302,332",,
2025-03-05,8.23,8.33,8.23,8.25,0.03,0.36,"320,513",,
2025-03-04,8.32,8.33,8.21,8.22,-0.10,-1.20,"384,922",,
2025-03-03,8.34,8.35,8.30,8.32,-0.02,-0.24,"129,477",,
2025-03-02,8.32,8.34,8.30,8.34,0.03,0.36,"159,834",,
