0,1,2,3,4,5,6,7,8,9
2025-05-29,8.14,8.20,8.14,8.20,0.06,0.74,"67,877",,
2025-05-28,8.13,8.18,8.13,8.14,0.00,0.00,"44,514",,
2025-05-27,8.16,8.19,8.14,8.14,-0.02,-0.25,"47,064",,
2025-05-26,8.20,8.20,8.13,8.16,-0.02,-0.24,"19,311",,
2025-05-25,8.16,8.20,8.15,8.18,0.03,0.37,"26,053",,
2025-05-22,8.19,8.21,8.14,8.15,-0.06,-0.73,"131,377",,
2025-05-21,8.18,8.21,8.15,8.21,0.03,0.37,"122,939",,
2025-05-20,8.15,8.18,8.15,8.18,0.01,0.12,"88,562",,
2025-05-19,8.17,8.21,8.17,8.17,-0.02,-0.24,"67,527",,
2025-05-18,8.21,8.23,8.19,8.19,-0.02,-0.24,"35,573",,
2025-05-15,8.19,8.25,8.18,8.21,0.02,0.24,"81,458",,
2025-05-14,8.19,8.24,8.18,8.19,0.00,0.00,"77,853",,
2025-05-13,8.18,8.23,8.16,8.19,0.01,0.12,"147,446",,
2025-05-12,8.18,8.20,8.13,8.18,0.00,0.00,"259,811",,
2025-05-11,8.20,8.22,8.14,8.18,-0.02,-0.24,"206,948",,
2025-05-08,8.18,8.22,8.16,8.20,0.02,0.24,"81,147",,
2025-05-07,8.17,8.22,8.17,8.18,0.02,0.25,"57,057",,
2025-05-06,8.19,8.22,8.15,8.16,-0.02,-0.24,"148,125",,
2025-05-05,8.20,8.27,8.18,8.18,-0.01,-0.12,"86,430",,
2025-05-04,8.24,8.30,8.19,8.19,-0.05,-0.61,"88,523",,
2025-05-01,8.26,8.31,8.24,8.24,-0.05,-0.60,"44,435",,
2025-04-30,8.21,8.31,8.20,8.29,0.05,0.61,"152,365",,
2025-04-29,8.25,8.27,8.21,8.24,-0.01,-0.12,"73,360",,
2025-04-28,8.29,8.30,8.24,8.25,-0.04,-0.48,"55,637",,
2025-04-27,8.34,8.34,8.29,8.29,-0.05,-0.60,"59,195",,
2025-04-24,8.41,8.41,8.30,8.34,-0.04,-0.48,"82,214",,
2025-04-23,8.23,8.50,8.20,8.38,0.16,1.95,"468,195",,
2025-04-22,8.17,8.23,8.15,8.22,0.05,0.61,"143,787",,
2025-04-21,8.16,8.18,8.16,8.17,0.01,0.12,"52,460",,
2025-04-20,8.17,8.19,8.15,8.16,-0.02,-0.24,"132,870",,
2025-04-17,8.21,8.21,8.15,8.18,0.00,0.00,"163,209",,
2025-04-16,8.18,8.20,8.15,8.18,0.01,0.12,"87,660",,
2025-04-15,8.18,8.23,8.15,8.17,-0.05,-0.61,"211,736",,
2025-04-14,8.20,8.25,8.18,8.22,0.02,0.24,"2,068,227",,
2025-04-13,8.19,8.26,8.19,8.20,0.01,0.12,"98,358",,
2025-04-10,8.29,8.29,8.18,8.19,0.03,0.37,"234,393",,
2025-04-09,8.27,8.28,8.16,8.16,-0.10,-1.21,"255,232",,
2025-04-08,8.24,8.31,8.24,8.26,0.00,0.00,"271,147",,
2025-04-07,8.09,8.27,7.97,8.26,0.17,2.10,"234,177",,
2025-04-06,8.25,8.25,7.80,8.09,-0.19,-2.29,"367,458",,
2025-04-03,8.30,8.32,8.23,8.28,-0.03,-0.36,"58,427",,
2025-03-27,8.29,8.31,8.27,8.31,0.02,0.24,"99,541",,
2025-03-26,8.24,8.30,8.21,8.29,0.04,0.48,"125,153",,
2025-03-25,8.22,8.26,8.20,8.25,0.04,0.49,"114,214",,
2025-03-24,8.25,8.25,8.20,8.21,-0.03,-0.36,"24,150",,
2025-03-23,8.22,8.28,8.21,8.24,0.03,0.37,"32,270",,
2025-03-20,8.26,8.27,8.18,8.21,-0.05,-0.61,"351,821",,
