0,1,2,3,4,5,6,7,8,9
2025-05-29,4.53,4.59,4.52,4.53,0.01,0.22,"84,618",,
2025-05-28,4.51,4.55,4.50,4.52,0.01,0.22,"161,992",,
2025-05-27,4.50,4.55,4.48,4.51,0.02,0.45,"247,936",,
2025-05-26,4.52,4.56,4.46,4.49,-0.03,-0.66,"101,204",,
2025-05-25,4.55,4.56,4.51,4.52,-0.02,-0.44,"94,834",,
2025-05-22,4.56,4.58,4.50,4.54,-0.04,-0.87,"247,153",,
2025-05-21,4.62,4.63,4.55,4.58,-0.05,-1.08,"120,519",,
2025-05-20,4.60,4.63,4.60,4.63,0.01,0.22,"16,480",,
2025-05-19,4.59,4.62,4.57,4.62,0.04,0.87,"94,796",,
2025-05-18,4.60,4.62,4.58,4.58,-0.03,-0.65,"117,838",,
2025-05-15,4.64,4.64,4.57,4.61,-0.03,-0.65,"117,753",,
2025-05-14,4.61,4.65,4.60,4.64,0.03,0.65,"172,093",,
2025-05-13,4.65,4.65,4.61,4.61,-0.03,-0.65,"136,884",,
2025-05-12,4.59,4.64,4.59,4.64,0.03,0.65,"80,169",,
2025-05-11,4.66,4.69,4.57,4.61,-0.04,-0.86,"219,319",,
2025-05-08,4.63,4.68,4.59,4.65,-0.05,-1.06,"69,975",,
2025-05-07,4.70,4.70,4.60,4.70,0.03,0.64,"146,436",,
2025-05-06,4.67,4.67,4.59,4.67,0.03,0.65,"90,370",,
2025-05-05,4.65,4.65,4.55,4.64,-0.01,-0.22,"200,050",,
2025-05-04,4.63,4.66,4.60,4.65,0.00,0.00,"38,506",,
2025-05-01,4.72,4.73,4.63,4.65,-0.07,-1.48,"68,680",,
2025-04-30,4.64,4.73,4.64,4.72,0.08,1.72,"269,758",,
2025-04-29,4.67,4.68,4.64,4.64,-0.03,-0.64,"88,439",,
2025-04-28,4.70,4.70,4.64,4.67,-0.03,-0.64,"35,639",,
2025-04-27,4.67,4.71,4.64,4.70,0.00,0.00,"60,445",,
2025-04-24,4.68,4.71,4.65,4.70,0.03,0.64,"185,756",,
2025-04-23,4.58,4.83,4.53,4.67,0.09,1.97,"840,310",,
2025-04-22,4.52,4.64,4.50,4.58,0.04,0.88,"253,083",,
2025-04-21,4.57,4.57,4.52,4.54,-0.03,-0.66,"34,285",,
2025-04-20,4.59,4.59,4.52,4.57,0.03,0.66,"67,279",,
2025-04-17,4.51,4.58,4.49,4.54,0.03,0.67,"63,397",,
2025-04-16,4.52,4.53,4.47,4.51,0.00,0.00,"41,534",,
2025-04-15,4.50,4.53,4.46,4.51,0.01,0.22,"144,738",,
2025-04-14,4.50,4.54,4.48,4.50,0.00,0.00,"41,605",,
2025-04-13,4.53,4.54,4.44,4.50,-0.03,-0.66,"86,443",,
2025-04-10,4.51,4.53,4.49,4.53,0.05,1.12,"69,294",,
2025-04-09,4.52,4.52,4.43,4.48,0.00,0.00,"39,128",,
2025-04-08,4.56,4.56,4.42,4.48,0.04,0.90,"87,842",,
2025-04-07,4.33,4.45,4.33,4.44,0.01,0.23,"213,907",,
2025-04-06,4.58,4.60,4.40,4.43,-0.20,-4.32,"271,977",,
2025-04-03,4.66,4.66,4.58,4.63,-0.03,-0.64,"107,304",,
2025-03-27,4.68,4.68,4.59,4.66,0.00,0.00,"88,575",,
2025-03-26,4.59,4.66,4.59,4.66,0.08,1.75,"61,676",,
2025-03-25,4.57,4.59,4.56,4.58,0.01,0.22,"50,121",,
2025-03-24,4.59,4.59,4.54,4.57,0.01,0.22,"47,034",,
2025-03-23,4.56,4.56,4.53,4.56,0.00,0.00,"49,733",,
2025-03-20,4.59,4.59,4.54,4.56,-0.01,-0.22,"20,148",,
2025-03-19,4.56,4.59,4.52,4.57,0.03,0.66,"63,588",,
2025-03-18,4.60,4.61,4.54,4.54,-0.06,-1.30,"70,685",,
2025-03-17,4.60,4.60,4.53,4.60,0.01,0.22,"16,328",,
2025-03-16,4.59,4.59,4.53,4.59,0.01,0.22,"116,019",,
2025-03-13,4.55,4.60,4.55,4.58,0.02,0.44,"55,708",,
2025-03-12,4.55,4.60,4.53,4.56,0.01,0.22,"20,086",,
2025-03-11,4.54,4.57,4.51,4.55,0.01,0.22,"76,356",,
2025-03-10,4.59,4.60,4.53,4.54,-0.05,-1.09,"39,870",,
2025-03-09,4.58,4.59,4.55,4.59,0.01,0.22,"26,264",,
2025-03-06,4.57,4.64,4.52,4.58,0.02,0.44,"116,021",,
2025-03-05,4.61,4.66,4.50,4.56,-0.05,-1.08,"130,442",,
2025-03-04,4.67,4.67,4.59,4.61,-0.04,-0.86,"119,670",,
2025-03-03,4.66,4.68,4.63,4.65,0.03,0.65,"33,637",,
2025-03-02,4.67,4.70,4.61,4.62,-0.05,-1.07,"41,999",,
2025-02-27,4.66,4.70,4.65,4.67,0.01,0.21,"21,396",,
2025-02-26,4.65,4.69,4.62,4.66,0.01,0.22,"23,748",,
2025-02-25,4.60,4.65,4.59,4.65,0.04,0.87,"111,095",,
2025-02-24,4.63,4.63,4.59,4.61,-0.02,-0.43,"67,086",,
2025-02-20,4.65,4.65,4.59,4.63,-0.01,-0.22,"184,269",,
2025-02-19,4.67,4.68,4.63,4.64,-0.03,-0.64,"79,749",,
2025-02-18,4.64,4.68,4.64,4.67,0.02,0.43,"73,709",,
2025-02-17,4.72,4.72,4.64,4.65,-0.07,-1.48,"202,474",,
2025-02-16,4.70,4.74,4.69,4.72,-0.02,-0.42,"86,574",,
2025-02-13,4.74,4.74,4.71,4.74,0.00,0.00,"38,921",,
2025-02-12,4.72,4.81,4.70,4.74,0.02,0.42,"108,540",,
2025-02-11,4.74,4.77,4.70,4.72,-0.01,-0.21,"88,869",,
2025-02-10,4.77,4.77,4.70,4.73,-0.01,-0.21,"176,653",,
2025-02-09,4.76,4.77,4.72,4.74,-0.01,-0.21,"75,625",,
2025-02-06,4.78,4.78,4.71,4.75,-0.02,-0.42,"186,852",,
2025-02-05,4.78,4.78,4.74,4.77,-0.01,-0.21,"167,746",,
2025-02-04,4.77,4.79,4.77,4.78,0.01,0.21,"26,394",,
