0,1,2,3,4,5,6,7,8,9
2025-05-29,7.92,7.99,7.85,7.85,-0.07,-0.88,"30,531",,
2025-05-28,8.05,8.14,7.87,7.92,-0.04,-0.50,"38,698",,
2025-05-27,8.26,8.26,7.84,7.96,-0.12,-1.49,"91,364",,
2025-05-26,8.26,8.35,8.01,8.08,-0.18,-2.18,"51,031",,
2025-05-25,8.11,8.39,8.11,8.26,0.15,1.85,"90,148",,
2025-05-22,8.10,8.20,7.98,8.11,0.01,0.12,"107,748",,
2025-05-21,8.35,8.35,8.08,8.10,-0.25,-2.99,"149,565",,
2025-05-20,8.39,8.50,8.35,8.35,-0.15,-1.76,"77,729",,
2025-05-19,8.64,8.85,8.23,8.50,-0.20,-2.30,"185,038",,
2025-05-18,8.72,9.16,8.64,8.70,-0.15,-1.69,"230,490",,
2025-05-15,8.90,9.14,8.75,8.85,-0.16,-1.78,"134,852",,
2025-05-14,9.04,9.14,9.00,9.01,-0.03,-0.33,"162,353",,
2025-05-13,9.11,9.24,9.03,9.04,-0.06,-0.66,"171,991",,
2025-05-12,9.06,9.30,9.03,9.10,0.04,0.44,"284,765",,
2025-05-11,9.15,9.27,9.02,9.06,-0.05,-0.55,"153,913",,
2025-05-08,9.22,9.27,9.05,9.11,-0.16,-1.73,"260,690",,
2025-05-07,9.26,9.27,9.02,9.27,0.11,1.20,"197,391",,
2025-05-06,9.25,9.53,9.16,9.16,-0.19,-2.03,"207,856",,
2025-05-05,9.04,9.69,8.97,9.35,0.11,1.19,"837,463",,
2025-05-04,9.35,9.46,8.96,9.24,-0.11,-1.18,"340,002",,
2025-05-01,9.55,9.59,9.33,9.35,-0.40,-4.10,"435,777",,
2025-04-30,9.41,10.20,9.41,9.75,0.34,3.61,"1,644,297",,
2025-04-29,9.56,9.95,9.38,9.41,-0.33,-3.39,"907,970",,
2025-04-28,9.92,10.04,9.52,9.74,-0.14,-1.42,"1,074,840",,
2025-04-27,10.00,10.60,9.78,9.88,0.24,2.49,"3,313,356",,
2025-04-24,10.60,10.60,9.40,9.64,0.00,0.00,"2,297,503",,
2025-04-23,9.64,9.64,9.64,9.64,0.87,9.92,"310,840",,
2025-04-22,8.77,8.77,8.50,8.77,0.79,9.90,"476,797",,
2025-04-21,7.98,7.98,7.50,7.98,0.72,9.92,"450,829",,
2025-04-20,7.26,7.26,7.26,7.26,0.66,10.00,"150,814",,
2025-04-17,6.21,6.60,6.21,6.60,0.60,10.00,"878,973",,
2025-04-16,6.02,6.05,6.00,6.00,-0.02,-0.33,"51,353",,
2025-04-15,6.06,6.10,6.02,6.02,-0.04,-0.66,"20,342",,
