0,1,2,3,4,5,6,7,8,9
2025-05-29,5.75,5.75,5.70,5.70,-0.05,-0.87,"524,330",,
2025-05-28,5.73,5.80,5.73,5.75,0.01,0.17,"112,223",,
2025-05-27,5.73,5.75,5.72,5.74,0.00,0.00,"112,502",,
2025-05-26,5.74,5.77,5.73,5.74,-0.01,-0.17,"17,209",,
2025-05-25,5.75,5.79,5.73,5.75,0.00,0.00,"27,952",,
2025-05-22,5.77,5.78,5.75,5.75,-0.02,-0.35,"67,156",,
2025-05-21,5.82,5.84,5.77,5.77,-0.04,-0.69,"69,835",,
2025-05-20,5.86,5.89,5.81,5.81,-0.05,-0.85,"161,215",,
2025-05-19,5.76,5.87,5.76,5.86,0.06,1.03,"377,156",,
2025-05-18,5.82,5.85,5.79,5.80,0.00,0.00,"31,815",,
2025-05-15,5.86,5.86,5.77,5.80,-0.08,-1.36,"238,518",,
2025-05-14,5.85,5.90,5.84,5.88,0.03,0.51,"55,250",,
2025-05-13,5.89,5.89,5.84,5.85,-0.11,-1.85,"172,046",,
2025-05-12,5.92,5.98,5.91,5.96,0.03,0.51,"333,038",,
2025-05-11,5.90,5.93,5.88,5.93,0.05,0.85,"92,159",,
2025-05-08,5.95,5.95,5.88,5.88,-0.07,-1.18,"56,187",,
2025-05-07,5.90,5.95,5.90,5.95,0.08,1.36,"124,179",,
2025-05-06,5.87,5.90,5.85,5.87,0.01,0.17,"48,786",,
2025-05-05,5.88,5.90,5.84,5.86,-0.01,-0.17,"48,869",,
2025-05-04,5.88,5.88,5.83,5.87,-0.01,-0.17,"75,341",,
2025-05-01,5.98,5.98,5.88,5.88,-0.04,-0.68,"94,759",,
2025-04-30,6.00,6.01,5.92,5.92,-0.07,-1.17,"147,514",,
2025-04-29,6.01,6.02,5.97,5.99,-0.02,-0.33,"120,664",,
2025-04-28,6.00,6.01,5.96,6.01,0.01,0.17,"925,892",,
2025-04-27,5.97,6.05,5.96,6.00,0.03,0.50,"233,208",,
2025-04-24,5.95,6.03,5.90,5.97,0.03,0.51,"505,043",,
2025-04-23,5.90,5.97,5.84,5.94,0.10,1.71,"287,567",,
2025-04-22,5.79,6.09,5.79,5.84,0.04,0.69,"694,143",,
2025-04-21,5.78,5.81,5.76,5.80,0.00,0.00,"133,069",,
2025-04-20,5.79,5.82,5.74,5.80,0.01,0.17,"182,844",,
2025-04-17,5.80,5.80,5.76,5.79,-0.01,-0.17,"70,491",,
2025-04-16,5.78,5.80,5.75,5.80,0.03,0.52,"84,250",,
2025-04-15,5.80,5.80,5.75,5.77,-0.03,-0.52,"48,612",,
2025-04-14,5.77,5.80,5.76,5.80,0.04,0.69,"80,803",,
2025-04-13,5.77,5.78,5.74,5.76,-0.01,-0.17,"167,784",,
2025-04-10,5.70,5.79,5.70,5.77,0.09,1.58,"107,555",,
2025-04-09,5.69,5.70,5.64,5.68,-0.01,-0.18,"91,715",,
2025-04-08,5.70,5.77,5.69,5.69,-0.01,-0.18,"105,275",,
2025-04-07,5.66,5.75,5.60,5.70,0.02,0.35,"210,462",,
2025-04-06,5.73,5.73,5.67,5.68,-0.14,-2.41,"248,413",,
2025-04-03,5.84,5.84,5.76,5.82,-0.01,-0.17,"87,096",,
2025-03-27,5.79,5.84,5.76,5.83,0.04,0.69,"217,487",,
2025-03-26,5.71,5.79,5.71,5.79,0.08,1.40,"194,205",,
2025-03-25,5.70,5.74,5.68,5.71,0.01,0.18,"142,641",,
2025-03-24,5.68,5.70,5.67,5.70,0.00,0.00,"271,828",,
