0,1,2,3,4,5,6,7,8,9
2025-05-29,9.23,9.30,9.15,9.27,-0.17,-1.80,"236,446",,
2025-05-28,9.35,9.46,9.35,9.44,0.09,0.96,"81,431",,
2025-05-27,9.29,9.59,9.28,9.35,0.15,1.63,"215,553",,
2025-05-26,9.35,9.36,9.16,9.20,-0.08,-0.86,"126,744",,
2025-05-25,9.31,9.35,9.22,9.28,-0.03,-0.32,"196,627",,
2025-05-22,9.34,9.38,9.30,9.31,-0.08,-0.85,"46,830",,
2025-05-21,9.40,9.41,9.31,9.39,0.03,0.32,"18,362",,
2025-05-20,9.45,9.45,9.30,9.36,-0.09,-0.95,"124,391",,
2025-05-19,9.35,9.45,9.35,9.45,0.05,0.53,"39,541",,
2025-05-18,9.37,9.41,9.35,9.40,0.08,0.86,"12,649",,
2025-05-15,9.34,9.41,9.32,9.32,-0.04,-0.43,"39,389",,
2025-05-14,9.40,9.42,9.35,9.36,-0.04,-0.43,"51,447",,
2025-05-13,9.36,9.41,9.33,9.40,0.03,0.32,"63,590",,
2025-05-12,9.36,9.37,9.32,9.37,0.01,0.11,"25,910",,
2025-05-11,9.30,9.36,9.30,9.36,0.03,0.32,"23,513",,
2025-05-08,9.28,9.33,9.28,9.33,0.04,0.43,"7,399",,
2025-05-07,9.26,9.34,9.26,9.29,0.03,0.32,"20,103",,
2025-05-06,9.28,9.30,9.26,9.26,-0.02,-0.22,"53,313",,
2025-05-05,9.29,9.30,9.26,9.28,-0.01,-0.11,"48,210",,
2025-05-04,9.31,9.35,9.27,9.29,-0.02,-0.21,"23,269",,
2025-05-01,9.34,9.40,9.30,9.31,-0.03,-0.32,"76,921",,
2025-04-30,9.38,9.38,9.33,9.34,-0.02,-0.21,"59,487",,
2025-04-29,9.43,9.43,9.36,9.36,-0.05,-0.53,"64,970",,
2025-04-28,9.45,9.45,9.39,9.41,0.01,0.11,"62,998",,
2025-04-27,9.39,9.45,9.39,9.40,0.02,0.21,"48,642",,
2025-04-24,9.44,9.44,9.35,9.38,-0.03,-0.32,"32,890",,
2025-04-23,9.33,9.50,9.31,9.41,0.07,0.75,"108,169",,
2025-04-22,9.35,9.40,9.31,9.34,0.02,0.21,"78,706",,
2025-04-21,9.32,9.35,9.30,9.32,-0.01,-0.11,"23,134",,
2025-04-20,9.33,9.35,9.30,9.33,0.00,0.00,"89,148",,
2025-04-17,9.34,9.34,9.29,9.33,-0.02,-0.21,"63,484",,
2025-04-16,9.26,9.41,9.23,9.35,0.09,0.97,"127,704",,
2025-04-15,9.34,9.35,9.22,9.26,-0.08,-0.86,"72,082",,
2025-04-14,9.34,9.35,9.30,9.34,0.01,0.11,"37,821",,
2025-04-13,9.29,9.35,9.29,9.33,0.05,0.54,"40,295",,
2025-04-10,9.35,9.36,9.28,9.28,-0.01,-0.11,"99,964",,
2025-04-09,9.30,9.34,9.28,9.29,-0.01,-0.11,"29,629",,
2025-04-08,9.30,9.35,9.28,9.30,-0.02,-0.21,"45,650",,
2025-04-07,9.26,9.36,9.14,9.32,0.05,0.54,"114,192",,
2025-04-06,9.36,9.36,9.22,9.27,-0.13,-1.38,"88,758",,
2025-04-03,9.40,9.41,9.36,9.40,-0.05,-0.53,"29,621",,
2025-03-27,9.31,9.45,9.28,9.45,0.11,1.18,"111,887",,
2025-03-26,9.35,9.40,9.34,9.34,-0.01,-0.11,"93,427",,
2025-03-25,9.30,9.35,9.28,9.35,0.05,0.54,"51,546",,
2025-03-24,9.25,9.30,9.25,9.30,0.05,0.54,"35,304",,
2025-03-23,9.38,9.38,9.21,9.25,-0.13,-1.39,"70,940",,
2025-03-20,9.36,9.40,9.25,9.38,0.06,0.64,"61,027",,
2025-03-19,9.40,9.40,9.26,9.32,-0.07,-0.75,"66,973",,
2025-03-18,9.42,9.43,9.19,9.39,-0.10,-1.05,"264,256",,
2025-03-17,9.43,9.53,9.39,9.49,0.10,1.06,"36,332",,
2025-03-16,9.40,9.40,9.27,9.39,0.03,0.32,"117,338",,
2025-03-13,9.40,9.45,9.36,9.36,0.02,0.21,"13,669",,
2025-03-12,9.55,9.55,9.30,9.34,-0.15,-1.58,"53,585",,
2025-03-11,9.45,9.50,9.41,9.49,-0.03,-0.32,"22,497",,
2025-03-10,9.52,9.55,9.42,9.52,-0.02,-0.21,"82,527",,
2025-03-09,9.32,9.56,9.15,9.54,0.23,2.47,"158,848",,
2025-03-06,9.44,9.44,9.27,9.31,-0.13,-1.38,"88,914",,
2025-03-05,9.43,9.47,9.30,9.44,0.01,0.11,"127,085",,
2025-03-04,9.49,9.50,9.40,9.43,0.03,0.32,"26,975",,
2025-03-03,9.50,9.51,9.35,9.40,0.00,0.00,"56,023",,
2025-03-02,9.52,9.52,9.35,9.40,-0.09,-0.95,"34,622",,
2025-02-27,9.39,9.50,9.38,9.49,0.15,1.61,"21,167",,
2025-02-26,9.35,9.40,9.32,9.34,-0.09,-0.95,"183,035",,
2025-02-25,9.51,9.53,9.30,9.43,0.03,0.32,"171,208",,
