0,1,2,3,4,5,6,7,8,9
2025-05-29,5.59,5.71,5.59,5.62,0.03,0.54,"148,557",,
2025-05-28,5.56,5.61,5.54,5.59,0.05,0.90,"159,900",,
2025-05-27,5.50,5.72,5.46,5.54,0.04,0.73,"585,626",,
2025-05-26,5.40,5.55,5.39,5.50,0.09,1.66,"226,313",,
2025-05-25,5.62,5.62,5.40,5.41,-0.18,-3.22,"246,622",,
2025-05-22,5.55,5.60,5.55,5.59,0.04,0.72,"49,484",,
2025-05-21,5.60,5.61,5.55,5.55,-0.06,-1.07,"43,906",,
2025-05-20,5.62,5.63,5.58,5.61,0.00,0.00,"45,912",,
2025-05-19,5.56,5.63,5.56,5.61,0.06,1.08,"86,283",,
2025-05-18,5.57,5.60,5.55,5.55,0.00,0.00,"66,345",,
2025-05-15,5.62,5.63,5.55,5.55,-0.07,-1.25,"67,964",,
2025-05-14,5.58,5.62,5.58,5.62,0.04,0.72,"58,313",,
2025-05-13,5.61,5.62,5.57,5.58,-0.03,-0.53,"112,541",,
2025-05-12,5.57,5.62,5.55,5.61,0.04,0.72,"44,369",,
2025-05-11,5.58,5.63,5.54,5.57,0.01,0.18,"64,848",,
2025-05-08,5.60,5.65,5.56,5.56,-0.06,-1.07,"41,409",,
2025-05-07,5.62,5.65,5.57,5.62,0.02,0.36,"57,259",,
2025-05-06,5.58,5.64,5.54,5.60,0.02,0.36,"28,836",,
2025-05-05,5.60,5.60,5.52,5.58,0.01,0.18,"35,116",,
2025-05-04,5.62,5.66,5.56,5.57,-0.05,-0.89,"47,615",,
2025-05-01,5.61,5.64,5.56,5.62,0.01,0.18,"59,942",,
2025-04-30,5.65,5.66,5.61,5.61,-0.03,-0.53,"48,092",,
2025-04-29,5.69,5.73,5.60,5.64,-0.07,-1.23,"223,513",,
2025-04-28,5.73,5.75,5.66,5.71,-0.04,-0.70,"175,362",,
2025-04-27,5.80,5.89,5.71,5.75,0.09,1.59,"319,042",,
2025-04-24,5.84,5.89,5.63,5.66,-0.09,-1.57,"312,949",,
2025-04-23,5.56,5.89,5.54,5.75,0.20,3.60,"955,732",,
2025-04-22,5.42,5.80,5.40,5.55,0.13,2.40,"954,033",,
2025-04-21,5.43,5.45,5.40,5.42,0.00,0.00,"166,391",,
2025-04-20,5.42,5.45,5.41,5.42,0.00,0.00,"30,866",,
2025-04-17,5.44,5.46,5.40,5.42,-0.01,-0.18,"47,164",,
2025-04-16,5.46,5.47,5.40,5.43,-0.01,-0.18,"76,143",,
2025-04-15,5.48,5.50,5.41,5.44,-0.05,-0.91,"92,100",,
2025-04-14,5.44,5.50,5.44,5.49,0.04,0.73,"144,328",,
