0,1,2,3,4,5,6,7,8,9
2025-05-29,10.24,10.36,10.20,10.20,-0.02,-0.20,"188,790",,
2025-05-28,10.18,10.28,10.18,10.22,0.04,0.39,"85,378",,
2025-05-27,10.20,10.36,10.18,10.18,0.02,0.20,"168,282",,
2025-05-26,10.10,10.24,10.10,10.16,-0.04,-0.39,"196,966",,
2025-05-25,10.14,10.22,10.12,10.20,0.06,0.59,"67,581",,
2025-05-22,10.14,10.18,10.10,10.14,0.02,0.20,"87,389",,
2025-05-21,10.22,10.26,10.10,10.12,-0.10,-0.98,"146,312",,
2025-05-20,10.20,10.26,10.20,10.22,0.02,0.20,"49,352",,
2025-05-19,10.34,10.34,10.20,10.20,-0.12,-1.16,"107,595",,
2025-05-18,10.28,10.50,10.26,10.32,0.04,0.39,"231,946",,
2025-05-15,10.30,10.32,10.20,10.28,-0.02,-0.19,"73,485",,
2025-05-14,10.34,10.34,10.22,10.30,-0.02,-0.19,"161,210",,
2025-05-13,10.20,10.32,10.16,10.32,0.16,1.57,"178,999",,
2025-05-12,10.24,10.24,10.14,10.16,-0.02,-0.20,"40,048",,
2025-05-11,10.26,10.28,10.10,10.18,-0.08,-0.78,"178,805",,
2025-05-08,10.30,10.30,10.24,10.26,-0.04,-0.39,"45,527",,
2025-05-07,10.28,10.30,10.22,10.30,0.00,0.00,"21,517",,
2025-05-06,10.30,10.30,10.20,10.30,0.00,0.00,"125,518",,
2025-05-05,10.26,10.30,10.16,10.30,0.02,0.19,"115,257",,
2025-05-04,10.32,10.32,10.22,10.28,0.06,0.59,"122,441",,
2025-05-01,10.26,10.68,10.18,10.22,-0.04,-0.39,"254,759",,
2025-04-30,10.32,10.38,10.24,10.26,-0.04,-0.39,"183,793",,
2025-04-29,10.30,10.42,10.30,10.30,0.02,0.19,"147,567",,
2025-04-28,10.34,10.38,10.20,10.28,-0.06,-0.58,"170,620",,
2025-04-27,10.46,10.48,10.30,10.34,-0.14,-1.34,"160,893",,
2025-04-24,10.34,10.50,10.32,10.48,0.14,1.35,"348,932",,
2025-04-23,10.26,10.42,10.26,10.34,0.08,0.78,"348,124",,
2025-04-22,10.18,10.46,10.16,10.26,0.06,0.59,"459,175",,
2025-04-21,10.18,10.20,10.12,10.20,0.02,0.20,"241,876",,
2025-04-20,10.22,10.24,10.10,10.18,0.08,0.79,"184,337",,
2025-04-17,10.18,10.20,10.10,10.10,-0.08,-0.79,"190,686",,
2025-04-16,10.18,10.20,10.10,10.18,-0.02,-0.20,"262,582",,
2025-04-15,10.10,10.22,10.10,10.20,0.10,0.99,"210,008",,
2025-04-14,10.04,10.10,9.99,10.10,0.06,0.60,"314,592",,
2025-04-13,9.98,10.08,9.98,10.04,0.06,0.60,"235,848",,
2025-04-10,10.06,10.06,9.95,9.98,-0.02,-0.20,"510,790",,
2025-04-09,10.00,10.06,9.93,10.00,0.04,0.40,"324,341",,
2025-04-08,9.97,10.12,9.91,9.96,-0.01,-0.10,"553,130",,
2025-04-07,9.90,9.97,9.70,9.97,0.07,0.71,"558,200",,
2025-04-06,9.99,9.99,9.71,9.90,-0.20,-1.98,"1,709,119",,
2025-04-03,10.00,10.16,10.00,10.10,0.00,0.00,"342,892",,
2025-03-27,10.04,10.12,9.99,10.10,0.08,0.80,"321,464",,
2025-03-26,9.91,10.08,9.91,10.02,0.12,1.21,"1,046,873",,
2025-03-25,9.96,9.98,9.90,9.90,-0.09,-0.90,"156,402",,
