0,1,2,3,4,5,6,7,8,9
2025-05-29,3.84,3.86,3.81,3.85,0.01,0.26,"59,402",,
2025-05-28,3.84,3.84,3.81,3.84,0.01,0.26,"26,358",,
2025-05-27,3.79,3.85,3.77,3.83,-0.01,-0.26,"105,989",,
2025-05-26,3.80,3.87,3.80,3.84,-0.03,-0.78,"166,145",,
2025-05-25,3.85,3.90,3.82,3.87,-0.02,-0.51,"20,522",,
2025-05-22,3.90,3.90,3.85,3.89,0.00,0.00,"85,140",,
2025-05-21,3.90,3.90,3.88,3.89,-0.01,-0.26,"29,585",,
2025-05-20,3.90,3.92,3.89,3.90,-0.03,-0.76,"60,189",,
2025-05-19,3.95,3.95,3.89,3.93,-0.02,-0.51,"226,303",,
2025-05-18,4.01,4.01,3.90,3.95,-0.04,-1.00,"304,317",,
2025-05-15,3.97,4.02,3.94,3.99,0.02,0.50,"325,291",,
2025-05-14,4.00,4.00,3.94,3.97,-0.04,-1.00,"272,488",,
2025-05-13,3.89,4.04,3.87,4.01,0.13,3.35,"630,062",,
2025-05-12,3.90,3.90,3.86,3.88,-0.02,-0.51,"173,388",,
2025-05-11,3.86,3.98,3.86,3.90,0.03,0.78,"461,183",,
2025-05-08,3.82,3.87,3.81,3.87,0.04,1.04,"67,138",,
2025-05-07,3.85,3.87,3.80,3.83,-0.02,-0.52,"200,003",,
2025-05-06,3.87,3.87,3.81,3.85,-0.02,-0.52,"85,607",,
2025-05-05,3.88,3.88,3.82,3.87,-0.01,-0.26,"154,740",,
2025-05-04,3.85,3.89,3.82,3.88,0.03,0.78,"206,311",,
2025-05-01,3.91,3.91,3.84,3.85,-0.06,-1.53,"297,533",,
2025-04-30,3.90,3.91,3.84,3.91,0.02,0.51,"352,847",,
2025-04-29,3.95,3.95,3.89,3.89,-0.07,-1.77,"361,694",,
2025-04-28,4.00,4.00,3.92,3.96,-0.03,-0.75,"208,787",,
2025-04-27,3.94,3.99,3.93,3.99,0.05,1.27,"442,868",,
2025-04-24,3.99,4.00,3.90,3.94,-0.06,-1.50,"882,619",,
2025-04-23,3.86,4.11,3.83,4.00,0.14,3.63,"2,687,518",,
2025-04-22,3.80,3.90,3.77,3.86,0.05,1.31,"556,681",,
2025-04-21,3.84,3.84,3.78,3.81,-0.03,-0.78,"73,298",,
2025-04-20,3.80,3.84,3.79,3.84,0.04,1.05,"215,644",,
2025-04-17,3.80,3.81,3.76,3.80,0.00,0.00,"181,199",,
2025-04-16,3.75,3.82,3.73,3.80,0.05,1.33,"383,468",,
2025-04-15,3.71,3.75,3.70,3.75,0.04,1.08,"179,622",,
2025-04-14,3.72,3.73,3.69,3.71,-0.01,-0.27,"400,636",,
2025-04-13,3.74,3.75,3.71,3.72,-0.02,-0.53,"505,678",,
2025-04-10,3.75,3.75,3.72,3.74,0.04,1.08,"249,630",,
2025-04-09,3.78,3.78,3.69,3.70,-0.10,-2.63,"249,771",,
2025-04-08,3.76,3.83,3.75,3.80,0.00,0.00,"153,291",,
2025-04-07,3.79,3.81,3.71,3.80,-0.03,-0.78,"170,415",,
2025-04-06,3.85,3.86,3.71,3.83,-0.11,-2.79,"228,019",,
2025-04-03,3.94,3.95,3.91,3.94,0.00,0.00,"13,762",,
2025-03-27,3.95,3.96,3.91,3.94,0.00,0.00,"56,403",,
2025-03-26,3.89,3.94,3.88,3.94,0.04,1.03,"142,002",,
2025-03-25,3.89,3.90,3.88,3.90,0.00,0.00,"31,584",,
2025-03-24,3.92,3.92,3.87,3.90,-0.02,-0.51,"130,275",,
2025-03-23,3.90,3.93,3.86,3.92,0.01,0.26,"123,065",,
2025-03-20,3.91,3.92,3.88,3.91,0.00,0.00,"52,147",,
2025-03-19,3.91,3.92,3.88,3.91,0.00,0.00,"97,824",,
2025-03-18,3.93,3.94,3.89,3.91,-0.04,-1.01,"86,766",,
2025-03-17,3.90,3.95,3.90,3.95,0.05,1.28,"186,845",,
2025-03-16,3.92,3.92,3.89,3.90,-0.02,-0.51,"70,400",,
2025-03-13,3.92,3.92,3.87,3.92,0.01,0.26,"71,747",,
2025-03-12,3.89,3.92,3.62,3.91,-0.02,-0.51,"54,155",,
2025-03-11,3.95,3.95,3.89,3.93,-0.02,-0.51,"77,446",,
2025-03-10,3.91,3.95,3.88,3.95,0.02,0.51,"89,034",,
2025-03-09,3.94,3.96,3.91,3.93,-0.02,-0.51,"12,391",,
2025-03-06,3.93,3.95,3.89,3.95,0.02,0.51,"147,435",,
2025-03-05,3.94,3.95,3.92,3.93,-0.01,-0.25,"86,137",,
2025-03-04,3.97,3.97,3.93,3.94,-0.03,-0.76,"30,596",,
2025-03-03,3.98,3.98,3.94,3.97,-0.01,-0.25,"52,080",,
2025-03-02,3.93,3.99,3.93,3.98,0.05,1.27,"222,367",,
2025-02-27,3.96,3.96,3.92,3.93,-0.03,-0.76,"165,899",,
2025-02-26,3.93,3.97,3.93,3.96,0.01,0.25,"29,027",,
2025-02-25,3.96,3.96,3.93,3.95,-0.01,-0.25,"82,068",,
2025-02-24,3.96,3.98,3.95,3.96,-0.01,-0.25,"134,834",,
2025-02-20,3.98,3.98,3.95,3.97,-0.01,-0.25,"51,746",,
2025-02-19,3.97,3.99,3.95,3.98,0.02,0.51,"67,277",,
2025-02-18,3.96,3.98,3.95,3.96,-0.02,-0.50,"213,646",,
2025-02-17,3.99,4.00,3.97,3.98,-0.01,-0.25,"110,882",,
2025-02-16,3.99,4.00,3.98,3.99,0.01,0.25,"41,259",,
2025-02-13,4.00,4.01,3.98,3.98,-0.02,-0.50,"100,070",,
2025-02-12,4.01,4.03,3.98,4.00,-0.01,-0.25,"105,057",,
2025-02-11,4.01,4.04,4.00,4.01,-0.02,-0.50,"21,210",,
2025-02-10,4.00,4.03,3.99,4.03,0.01,0.25,"199,770",,
2025-02-09,4.04,4.04,4.02,4.02,-0.01,-0.25,"113,170",,
2025-02-06,4.03,4.05,4.01,4.03,0.00,0.00,"59,512",,
2025-02-05,4.02,4.04,4.01,4.03,0.02,0.50,"44,251",,
2025-02-04,4.03,4.06,4.01,4.01,-0.02,-0.50,"81,801",,
2025-02-03,4.06,4.06,4.02,4.03,-0.03,-0.74,"33,419",,
2025-02-02,4.03,4.06,4.02,4.06,0.02,0.50,"54,258",,
2025-01-30,4.04,4.05,4.01,4.04,0.00,0.00,"91,918",,
2025-01-29,4.04,4.05,4.03,4.04,-0.01,-0.25,"59,446",,
2025-01-28,4.07,4.07,4.03,4.05,0.00,0.00,"117,740",,
2025-01-27,4.06,4.13,4.04,4.05,-0.01,-0.25,"586,781",,
2025-01-26,4.05,4.06,4.03,4.06,0.01,0.25,"48,607",,
2025-01-23,4.03,4.07,4.03,4.05,0.02,0.50,"214,181",,
2025-01-22,4.04,4.04,4.01,4.03,-0.01,-0.25,"28,637",,
2025-01-21,4.02,4.05,4.02,4.04,0.00,0.00,"41,630",,
2025-01-20,4.04,4.04,4.01,4.04,-0.01,-0.25,"49,068",,
2025-01-19,4.02,4.05,4.01,4.05,0.02,0.50,"65,057",,
2025-01-16,4.00,4.03,3.99,4.03,0.03,0.75,"114,071",,
2025-01-15,3.97,4.01,3.97,4.00,0.03,0.76,"157,057",,
2025-01-14,3.99,4.00,3.97,3.97,-0.02,-0.50,"60,746",,
2025-01-13,3.99,3.99,3.98,3.99,-0.01,-0.25,"116,003",,
2025-01-12,4.00,4.01,3.97,4.00,-0.01,-0.25,"230,953",,
2025-01-09,4.02,4.03,3.98,4.01,-0.02,-0.50,"169,068",,
2025-01-08,4.03,4.05,4.00,4.03,-0.02,-0.49,"349,371",,
2025-01-07,4.04,4.06,4.04,4.05,0.00,0.00,"203,097",,
2025-01-06,4.05,4.06,4.03,4.05,-0.01,-0.25,"17,522",,
2025-01-05,4.04,4.06,4.04,4.06,0.00,0.00,"24,442",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,4.04,4.06,4.04,4.06,0.00,0.00,"24,442",,
2025-01-02,4.04,4.06,4.04,4.06,0.02,0.50,"82,844",,
2025-01-01,4.04,4.06,4.03,4.04,-0.02,-0.49,"14,784",,
2024-12-31,4.06,4.06,4.04,4.06,0.00,0.00,"24,980",,
2024-12-30,4.04,4.07,4.03,4.06,0.00,0.00,"31,233",,
2024-12-29,4.04,4.06,4.03,4.06,-0.01,-0.25,"10,949",,
2024-12-26,4.04,4.07,4.03,4.07,0.01,0.25,"27,334",,
2024-12-25,4.07,4.07,4.04,4.06,0.00,0.00,"38,672",,
2024-12-24,4.04,4.08,4.04,4.06,-0.02,-0.49,"10,387",,
2024-12-23,4.05,4.09,4.02,4.08,0.01,0.25,"43,880",,
2024-12-22,4.05,4.08,4.04,4.07,-0.01,-0.25,"21,390",,
2024-12-19,4.07,4.08,4.04,4.08,0.00,0.00,"56,673",,
2024-12-18,4.07,4.08,4.03,4.08,0.01,0.25,"31,191",,
2024-12-17,4.06,4.08,4.03,4.07,0.01,0.25,"52,580",,
2024-12-16,4.08,4.09,4.04,4.06,-0.02,-0.49,"49,600",,
2024-12-15,4.05,4.09,4.02,4.08,0.02,0.49,"53,038",,
2024-12-12,4.05,4.09,4.04,4.06,-0.01,-0.25,"17,230",,
2024-12-11,4.10,4.11,4.05,4.07,-0.01,-0.25,"21,399",,
2024-12-10,4.07,4.10,4.07,4.08,-0.02,-0.49,"50,567",,
2024-12-09,4.06,4.13,4.04,4.10,0.03,0.74,"114,146",,
2024-12-08,4.04,4.07,4.03,4.07,0.03,0.74,"33,491",,
2024-12-05,4.05,4.05,4.01,4.04,-0.01,-0.25,"24,016",,
2024-12-04,4.07,4.07,4.03,4.05,-0.03,-0.74,"23,161",,
2024-12-03,4.02,4.08,4.01,4.08,0.05,1.24,"49,410",,
2024-12-02,4.07,4.07,4.00,4.03,-0.04,-0.98,"70,537",,
2024-12-01,4.06,4.07,4.04,4.07,0.00,0.00,"16,742",,
2024-11-28,4.04,4.07,4.01,4.07,0.03,0.74,"120,270",,
2024-11-27,4.02,4.05,4.01,4.04,0.02,0.50,"66,674",,
2024-11-26,4.04,4.06,4.02,4.02,-0.02,-0.50,"58,237",,
2024-11-25,4.03,4.06,4.03,4.04,0.01,0.25,"90,004",,
2024-11-24,4.05,4.06,4.03,4.03,-0.01,-0.25,"176,304",,
2024-11-21,4.05,4.07,4.03,4.04,-0.04,-0.98,"59,752",,
2024-11-20,4.03,4.08,4.02,4.08,0.03,0.74,"87,583",,
