0,1,2,3,4,5,6,7,8,9
2025-05-29,4.78,4.87,4.78,4.84,0.06,1.26,"139,015",,
2025-05-28,4.73,4.78,4.73,4.78,0.05,1.06,"68,069",,
2025-05-27,4.74,4.77,4.71,4.73,-0.03,-0.63,"96,559",,
2025-05-26,4.78,4.78,4.74,4.76,-0.02,-0.42,"85,233",,
2025-05-25,4.81,4.82,4.76,4.78,-0.04,-0.83,"94,624",,
2025-05-22,4.86,4.87,4.81,4.82,-0.07,-1.43,"189,038",,
2025-05-21,4.92,4.92,4.86,4.89,-0.02,-0.41,"55,241",,
2025-05-20,4.93,4.94,4.88,4.91,-0.02,-0.41,"103,281",,
2025-05-19,4.95,4.95,4.90,4.93,-0.01,-0.20,"57,798",,
2025-05-18,4.95,4.96,4.93,4.94,-0.02,-0.40,"49,111",,
2025-05-15,4.99,5.02,4.95,4.96,-0.04,-0.80,"59,090",,
2025-05-14,4.98,5.00,4.95,5.00,0.02,0.40,"120,895",,
2025-05-13,4.98,4.99,4.96,4.98,0.00,0.00,"38,063",,
2025-05-12,4.96,4.98,4.92,4.98,0.03,0.61,"70,201",,
2025-05-11,4.93,5.01,4.91,4.95,0.02,0.41,"161,818",,
2025-05-08,4.95,4.95,4.90,4.93,-0.02,-0.40,"77,390",,
2025-05-07,4.94,4.98,4.90,4.95,0.01,0.20,"70,702",,
2025-05-06,4.98,5.00,4.90,4.94,-0.01,-0.20,"91,105",,
2025-05-05,5.01,5.02,4.94,4.95,-0.06,-1.20,"167,629",,
2025-05-04,5.02,5.04,5.00,5.01,-0.01,-0.20,"161,064",,
2025-05-01,5.04,5.15,5.00,5.02,-0.03,-0.59,"349,410",,
2025-04-30,5.17,5.17,5.02,5.05,-0.07,-1.37,"260,396",,
2025-04-29,5.15,5.25,5.12,5.12,-0.02,-0.39,"421,209",,
2025-04-28,5.17,5.19,5.11,5.14,-0.11,-2.10,"218,384",,
2025-04-27,5.31,5.34,5.20,5.25,-0.01,-0.19,"502,140",,
2025-04-24,5.50,5.50,5.25,5.26,-0.26,-4.71,"1,205,056",,
2025-04-23,5.05,5.52,5.03,5.52,0.50,9.96,"3,255,485",,
2025-04-22,4.95,5.10,4.93,5.02,0.05,1.01,"268,455",,
2025-04-21,5.00,5.01,4.95,4.97,0.01,0.20,"168,269",,
2025-04-20,4.95,4.97,4.94,4.96,0.04,0.81,"38,496",,
2025-04-17,4.98,4.99,4.92,4.92,-0.07,-1.40,"75,642",,
2025-04-16,4.96,5.00,4.95,4.99,0.03,0.60,"40,515",,
2025-04-15,5.03,5.04,4.91,4.96,-0.07,-1.39,"100,958",,
2025-04-14,4.99,5.03,4.96,5.03,0.04,0.80,"48,836",,
2025-04-13,4.90,4.99,4.90,4.99,0.09,1.84,"65,017",,
2025-04-10,4.83,4.90,4.83,4.90,0.09,1.87,"65,339",,
2025-04-09,4.92,4.93,4.80,4.81,-0.09,-1.84,"117,474",,
2025-04-08,4.82,4.93,4.82,4.90,0.08,1.66,"115,603",,
2025-04-07,4.80,4.85,4.60,4.82,0.01,0.21,"156,812",,
2025-04-06,4.97,4.97,4.80,4.81,-0.19,-3.80,"223,111",,
2025-04-03,5.04,5.04,4.97,5.00,-0.07,-1.38,"303,543",,
2025-03-27,5.08,5.09,5.05,5.07,0.00,0.00,"53,453",,
2025-03-26,5.01,5.07,5.01,5.07,0.07,1.40,"75,902",,
2025-03-25,5.02,5.04,5.00,5.00,-0.02,-0.40,"107,122",,
2025-03-24,5.01,5.04,4.99,5.02,0.01,0.20,"119,702",,
2025-03-23,5.01,5.03,5.00,5.01,0.01,0.20,"64,377",,
2025-03-20,5.01,5.04,5.00,5.00,-0.01,-0.20,"64,754",,
2025-03-19,5.01,5.03,4.99,5.01,-0.01,-0.20,"101,137",,
2025-03-18,5.03,5.06,5.01,5.02,-0.01,-0.20,"51,321",,
2025-03-17,5.02,5.06,5.01,5.03,0.01,0.20,"198,015",,
2025-03-16,5.00,5.03,4.98,5.02,0.02,0.40,"46,240",,
2025-03-13,4.99,5.02,4.96,5.00,0.02,0.40,"306,558",,
2025-03-12,5.01,5.06,4.98,4.98,-0.04,-0.80,"543,680",,
2025-03-11,5.04,5.06,5.01,5.02,-0.02,-0.40,"79,044",,
2025-03-10,5.04,5.08,5.04,5.04,-0.01,-0.20,"40,844",,
2025-03-09,5.08,5.09,5.05,5.05,-0.03,-0.59,"40,714",,
2025-03-06,5.10,5.10,5.04,5.08,0.00,0.00,"118,112",,
2025-03-05,5.06,5.10,5.06,5.08,0.01,0.20,"54,440",,
2025-03-04,5.09,5.10,5.06,5.07,-0.02,-0.39,"67,478",,
