0,1,2,3,4,5,6,7,8,9
2025-05-29,4.28,4.36,4.27,4.28,0.02,0.47,"92,855",,
2025-05-28,4.26,4.34,4.24,4.26,-0.01,-0.23,"61,545",,
2025-05-27,4.24,4.40,4.24,4.27,0.02,0.47,"130,858",,
2025-05-26,4.26,4.29,4.23,4.25,-0.01,-0.23,"64,914",,
2025-05-25,4.27,4.29,4.25,4.26,-0.06,-1.39,"102,996",,
2025-05-22,4.30,4.35,4.27,4.32,-0.01,-0.23,"56,039",,
2025-05-21,4.35,4.38,4.29,4.33,-0.07,-1.59,"176,513",,
2025-05-20,4.40,4.43,4.37,4.40,-0.03,-0.68,"88,548",,
2025-05-19,4.45,4.46,4.39,4.43,-0.03,-0.67,"89,825",,
2025-05-18,4.48,4.50,4.45,4.46,-0.03,-0.67,"135,950",,
2025-05-15,4.51,4.52,4.49,4.49,-0.05,-1.10,"162,768",,
2025-05-14,4.52,4.56,4.48,4.54,0.02,0.44,"78,623",,
2025-05-13,4.50,4.56,4.47,4.52,0.02,0.44,"106,994",,
2025-05-12,4.45,4.59,4.40,4.50,0.05,1.12,"239,609",,
2025-05-11,4.40,4.66,4.40,4.45,0.05,1.14,"921,068",,
2025-05-08,4.42,4.42,4.36,4.40,-0.03,-0.68,"142,244",,
2025-05-07,4.48,4.48,4.41,4.43,-0.05,-1.12,"136,220",,
2025-05-06,4.47,4.49,4.43,4.48,0.01,0.22,"69,999",,
2025-05-05,4.41,4.54,4.41,4.47,0.00,0.00,"257,385",,
2025-05-04,4.53,4.53,4.42,4.47,0.00,0.00,"138,076",,
2025-05-01,4.55,4.83,4.47,4.47,-0.05,-1.11,"629,862",,
2025-04-30,4.57,4.74,4.52,4.52,-0.02,-0.44,"579,501",,
2025-04-29,4.50,4.79,4.45,4.54,0.05,1.11,"997,292",,
2025-04-28,4.55,4.60,4.40,4.49,-0.12,-2.60,"579,535",,
2025-04-27,4.67,4.71,4.55,4.61,-0.06,-1.28,"361,658",,
2025-04-24,5.06,5.06,4.62,4.67,-0.17,-3.51,"1,974,236",,
2025-04-23,4.41,4.84,4.41,4.84,0.44,10.00,"3,152,157",,
2025-04-22,4.32,4.43,4.27,4.40,0.08,1.85,"226,568",,
2025-04-21,4.36,4.40,4.32,4.32,-0.05,-1.14,"80,677",,
2025-04-20,4.41,4.44,4.37,4.37,-0.05,-1.13,"85,670",,
2025-04-17,4.43,4.45,4.40,4.42,-0.01,-0.23,"31,588",,
2025-04-16,4.34,4.45,4.33,4.43,0.09,2.07,"141,174",,
2025-04-15,4.39,4.42,4.30,4.34,-0.05,-1.14,"140,891",,
2025-04-14,4.37,4.39,4.36,4.39,0.02,0.46,"15,817",,
2025-04-13,4.33,4.38,4.33,4.37,0.04,0.92,"31,391",,
2025-04-10,4.33,4.34,4.31,4.33,0.06,1.41,"32,512",,
2025-04-09,4.30,4.33,4.25,4.27,-0.03,-0.70,"34,116",,
2025-04-08,4.29,4.40,4.27,4.30,0.01,0.23,"50,940",,
2025-04-07,4.29,4.31,4.20,4.29,-0.01,-0.23,"137,642",,
2025-04-06,4.44,4.44,4.29,4.30,-0.16,-3.59,"107,873",,
2025-04-03,4.42,4.48,4.40,4.46,0.03,0.68,"76,891",,
2025-03-27,4.46,4.46,4.41,4.43,-0.02,-0.45,"101,422",,
2025-03-26,4.40,4.46,4.40,4.45,0.05,1.14,"95,144",,
2025-03-25,4.48,4.48,4.37,4.40,-0.14,-3.08,"221,672",,
2025-03-24,4.51,4.55,4.47,4.54,0.04,0.89,"187,423",,
2025-03-23,4.43,4.51,4.43,4.50,0.09,2.04,"163,011",,
2025-03-20,4.42,4.48,4.41,4.41,-0.01,-0.23,"60,403",,
2025-03-19,4.45,4.46,4.39,4.42,-0.04,-0.90,"69,191",,
2025-03-18,4.48,4.50,4.44,4.46,0.00,0.00,"55,565",,
2025-03-17,4.34,4.50,4.34,4.46,0.12,2.76,"143,684",,
2025-03-16,4.37,4.37,4.32,4.34,-0.02,-0.46,"38,036",,
2025-03-13,4.27,4.40,4.05,4.36,0.04,0.93,"446,881",,
2025-03-12,4.29,4.33,4.29,4.32,0.00,0.00,"48,672",,
2025-03-11,4.35,4.35,4.30,4.32,-0.05,-1.14,"116,131",,
2025-03-10,4.32,4.40,4.32,4.37,0.01,0.23,"39,543",,
2025-03-09,4.40,4.50,4.32,4.36,-0.03,-0.68,"195,439",,
2025-03-06,4.45,4.45,4.39,4.39,-0.04,-0.90,"50,232",,
2025-03-05,4.46,4.47,4.42,4.43,0.00,0.00,"26,081",,
2025-03-04,4.44,4.47,4.42,4.43,-0.01,-0.23,"76,862",,
2025-03-03,4.45,4.45,4.42,4.44,0.00,0.00,"37,292",,
2025-03-02,4.49,4.49,4.40,4.44,-0.04,-0.89,"58,363",,
2025-02-27,4.48,4.49,4.45,4.48,0.02,0.45,"132,566",,
2025-02-26,4.48,4.50,4.46,4.46,-0.04,-0.89,"80,136",,
2025-02-25,4.52,4.52,4.47,4.50,-0.01,-0.22,"38,145",,
2025-02-24,4.49,4.53,4.47,4.51,0.02,0.45,"157,020",,
2025-02-20,4.50,4.51,4.48,4.49,-0.02,-0.44,"35,138",,
2025-02-19,4.51,4.53,4.51,4.51,-0.02,-0.44,"19,594",,
2025-02-18,4.50,4.53,4.50,4.53,0.01,0.22,"57,709",,
2025-02-17,4.50,4.53,4.50,4.52,0.01,0.22,"106,018",,
