0,1,2,3,4,5,6,7,8,9
2025-05-29,5.67,5.77,5.65,5.71,0.04,0.71,"101,797",,
2025-05-28,5.64,5.68,5.63,5.67,0.03,0.53,"49,499",,
2025-05-27,5.69,5.71,5.63,5.64,-0.05,-0.88,"118,994",,
2025-05-26,5.72,5.75,5.67,5.69,-0.08,-1.39,"128,660",,
2025-05-25,5.78,5.79,5.72,5.77,-0.01,-0.17,"111,433",,
2025-05-22,5.83,5.83,5.77,5.78,-0.05,-0.86,"79,950",,
2025-05-21,5.83,5.83,5.79,5.83,-0.01,-0.17,"47,058",,
2025-05-20,5.78,5.84,5.77,5.84,0.06,1.04,"63,232",,
2025-05-19,5.86,5.87,5.72,5.78,-0.08,-1.37,"125,781",,
2025-05-18,5.89,5.89,5.86,5.86,-0.03,-0.51,"47,682",,
2025-05-15,5.93,5.93,5.87,5.89,0.00,0.00,"149,956",,
2025-05-14,5.90,5.93,5.88,5.89,-0.01,-0.17,"46,528",,
2025-05-13,5.94,5.94,5.87,5.90,-0.04,-0.67,"107,216",,
2025-05-12,5.93,5.94,5.90,5.94,0.01,0.17,"56,853",,
2025-05-11,5.89,5.93,5.87,5.93,0.07,1.19,"67,870",,
2025-05-08,5.89,5.89,5.86,5.86,-0.03,-0.51,"58,935",,
2025-05-07,5.87,5.89,5.86,5.89,0.01,0.17,"38,257",,
2025-05-06,5.89,5.91,5.88,5.88,-0.04,-0.68,"97,917",,
2025-05-05,5.93,5.93,5.89,5.92,0.02,0.34,"35,277",,
2025-05-04,5.90,5.94,5.88,5.90,0.00,0.00,"98,882",,
2025-05-01,5.96,5.96,5.87,5.90,-0.07,-1.17,"150,947",,
2025-04-30,6.02,6.02,5.96,5.97,-0.01,-0.17,"170,817",,
2025-04-29,6.01,6.02,5.96,5.98,-0.01,-0.17,"143,613",,
2025-04-28,6.06,6.06,5.98,5.99,-0.07,-1.16,"227,221",,
2025-04-27,6.14,6.16,5.99,6.06,-0.08,-1.30,"425,038",,
2025-04-24,6.15,6.17,6.05,6.14,0.00,0.00,"208,402",,
2025-04-23,5.95,6.25,5.91,6.14,0.24,4.07,"904,521",,
2025-04-22,5.86,6.15,5.82,5.90,0.02,0.34,"686,429",,
2025-04-21,5.95,5.96,5.87,5.88,-0.07,-1.18,"217,170",,
2025-04-20,5.91,5.96,5.91,5.95,0.01,0.17,"146,358",,
2025-04-17,5.96,5.96,5.91,5.94,-0.01,-0.17,"139,859",,
2025-04-16,5.95,5.99,5.93,5.95,0.02,0.34,"161,734",,
2025-04-15,5.97,5.99,5.93,5.93,-0.05,-0.84,"104,737",,
2025-04-14,6.03,6.03,5.93,5.98,-0.05,-0.83,"169,343",,
2025-04-13,6.08,6.10,6.00,6.03,-0.05,-0.82,"194,323",,
2025-04-10,6.15,6.18,6.06,6.08,-0.01,-0.16,"106,282",,
2025-04-09,6.14,6.15,6.00,6.09,-0.06,-0.98,"54,515",,
2025-04-08,5.93,6.17,5.93,6.15,0.02,0.33,"337,813",,
2025-04-07,6.00,6.14,5.82,6.13,0.12,2.00,"300,075",,
2025-04-06,6.22,6.22,6.01,6.01,-0.22,-3.53,"346,555",,
2025-04-03,6.30,6.30,6.21,6.23,-0.07,-1.11,"220,138",,
2025-03-27,6.25,6.31,6.22,6.30,0.05,0.80,"69,993",,
2025-03-26,6.18,6.25,6.15,6.25,0.11,1.79,"117,863",,
2025-03-25,6.15,6.20,6.13,6.14,0.01,0.16,"46,380",,
2025-03-24,6.20,6.20,6.13,6.13,-0.06,-0.97,"95,549",,
2025-03-23,6.24,6.24,6.16,6.19,-0.05,-0.80,"43,075",,
2025-03-20,6.19,6.24,6.16,6.24,0.08,1.30,"43,278",,
2025-03-19,6.24,6.24,6.13,6.16,-0.03,-0.48,"87,421",,
2025-03-18,6.16,6.19,6.13,6.19,-0.03,-0.48,"37,377",,
2025-03-17,6.20,6.24,6.17,6.22,0.05,0.81,"67,371",,
2025-03-16,6.13,6.19,6.11,6.17,0.05,0.82,"93,741",,
2025-03-13,6.18,6.18,6.11,6.12,-0.06,-0.97,"167,718",,
2025-03-12,6.18,6.22,6.11,6.18,0.00,0.00,"142,106",,
2025-03-11,6.23,6.27,6.16,6.18,-0.03,-0.48,"76,024",,
2025-03-10,6.28,6.33,6.21,6.21,-0.07,-1.11,"65,918",,
2025-03-09,6.20,6.35,6.18,6.28,0.06,0.96,"154,187",,
2025-03-06,6.27,6.28,6.20,6.22,-0.04,-0.64,"109,492",,
2025-03-05,6.31,6.38,6.21,6.26,-0.08,-1.26,"96,258",,
2025-03-04,6.23,6.40,6.13,6.34,0.12,1.93,"222,648",,
2025-03-03,6.23,6.33,6.15,6.22,-0.01,-0.16,"136,881",,
2025-03-02,6.14,6.24,6.13,6.23,0.09,1.47,"191,445",,
2025-02-27,6.14,6.18,6.12,6.14,0.00,0.00,"106,287",,
2025-02-26,6.17,6.17,6.11,6.14,-0.10,-1.60,"178,772",,
2025-02-25,6.15,6.24,6.09,6.24,0.02,0.32,"355,291",,
2025-02-24,6.25,6.26,6.20,6.22,-0.03,-0.48,"139,097",,
2025-02-20,6.25,6.30,6.23,6.25,-0.01,-0.16,"168,978",,
2025-02-19,6.26,6.27,6.22,6.26,0.00,0.00,"113,590",,
2025-02-18,6.27,6.28,6.22,6.26,0.00,0.00,"187,965",,
2025-02-17,6.27,6.31,6.26,6.26,-0.03,-0.48,"87,087",,
2025-02-16,6.30,6.32,6.28,6.29,-0.01,-0.16,"59,189",,
2025-02-13,6.28,6.31,6.28,6.30,0.00,0.00,"65,481",,
2025-02-12,6.30,6.32,6.28,6.30,0.00,0.00,"92,649",,
2025-02-11,6.33,6.34,6.30,6.30,-0.03,-0.47,"168,585",,
2025-02-10,6.32,6.34,6.31,6.33,0.01,0.16,"61,014",,
2025-02-09,6.34,6.35,6.31,6.32,-0.02,-0.32,"113,105",,
2025-02-06,6.32,6.34,6.30,6.34,0.04,0.63,"137,889",,
2025-02-05,6.33,6.33,6.30,6.30,-0.02,-0.32,"43,153",,
2025-02-04,6.33,6.34,6.30,6.32,0.02,0.32,"97,567",,
2025-02-03,6.33,6.33,6.30,6.30,-0.02,-0.32,"111,949",,
2025-02-02,6.32,6.34,6.30,6.32,0.00,0.00,"64,156",,
2025-01-30,6.32,6.34,6.30,6.32,0.01,0.16,"106,868",,
2025-01-29,6.35,6.35,6.30,6.31,-0.03,-0.47,"104,159",,
2025-01-28,6.35,6.35,6.31,6.34,0.02,0.32,"198,875",,
2025-01-27,6.34,6.38,6.32,6.32,0.00,0.00,"387,769",,
2025-01-26,6.39,6.39,6.29,6.32,-0.02,-0.32,"205,620",,
2025-01-23,6.33,6.36,6.31,6.34,0.00,0.00,"198,168",,
2025-01-22,6.35,6.37,6.32,6.34,-0.01,-0.16,"115,246",,
2025-01-21,6.34,6.36,6.32,6.35,0.01,0.16,"252,497",,
2025-01-20,6.35,6.39,6.32,6.34,-0.01,-0.16,"147,376",,
2025-01-19,6.30,6.37,6.30,6.35,0.04,0.63,"129,289",,
2025-01-16,6.33,6.35,6.30,6.31,-0.02,-0.32,"217,227",,
2025-01-15,6.34,6.37,6.31,6.33,-0.01,-0.16,"267,815",,
2025-01-14,6.27,6.34,6.26,6.34,0.03,0.48,"368,044",,
2025-01-13,6.29,6.34,6.29,6.31,0.02,0.32,"121,069",,
2025-01-12,6.35,6.36,6.29,6.29,-0.05,-0.79,"132,088",,
2025-01-09,6.28,6.34,6.24,6.34,0.04,0.63,"165,471",,
2025-01-08,6.31,6.36,6.27,6.30,-0.01,-0.16,"201,952",,
2025-01-07,6.31,6.35,6.26,6.31,-0.08,-1.25,"523,245",,
2025-01-06,6.44,6.44,6.35,6.39,-0.05,-0.78,"220,695",,
2025-01-05,6.54,6.54,6.43,6.44,-0.10,-1.53,"94,622",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
