0,1,2,3,4,5,6,7,8,9
2025-05-29,6.78,6.85,6.78,6.85,0.07,1.03,"167,597",,
2025-05-28,6.77,6.80,6.76,6.78,0.01,0.15,"97,596",,
2025-05-27,6.77,6.79,6.75,6.77,0.00,0.00,"109,141",,
2025-05-26,6.80,6.80,6.77,6.77,-0.03,-0.44,"64,608",,
2025-05-25,6.88,6.88,6.71,6.80,-0.03,-0.44,"229,991",,
2025-05-22,6.82,6.88,6.79,6.83,-0.04,-0.58,"90,917",,
2025-05-21,6.88,6.89,6.78,6.87,-0.01,-0.15,"223,803",,
2025-05-20,6.86,6.89,6.85,6.88,0.02,0.29,"100,957",,
2025-05-19,6.90,6.90,6.85,6.86,-0.04,-0.58,"43,755",,
2025-05-18,6.93,6.94,6.85,6.90,-0.04,-0.58,"240,724",,
2025-05-15,6.90,6.97,6.90,6.94,0.02,0.29,"176,409",,
2025-05-14,6.90,6.93,6.88,6.92,0.03,0.44,"131,828",,
2025-05-13,6.89,6.92,6.86,6.89,-0.03,-0.43,"174,868",,
2025-05-12,6.90,6.92,6.87,6.92,0.03,0.44,"160,105",,
2025-05-11,6.91,6.91,6.87,6.89,-0.02,-0.29,"95,479",,
2025-05-08,6.89,6.92,6.87,6.91,0.03,0.44,"131,739",,
2025-05-07,6.93,6.95,6.86,6.88,-0.06,-0.86,"181,290",,
2025-05-06,6.94,6.97,6.92,6.94,0.00,0.00,"115,151",,
2025-05-05,6.99,6.99,6.90,6.94,-0.04,-0.57,"234,368",,
2025-05-04,7.05,7.05,6.92,6.98,-0.12,-1.69,"366,552",,
2025-05-01,7.13,7.17,7.08,7.10,-0.03,-0.42,"347,782",,
2025-04-30,7.20,7.20,7.09,7.13,-0.05,-0.70,"333,357",,
2025-04-29,7.15,7.19,7.15,7.18,0.03,0.42,"144,192",,
2025-04-28,7.20,7.20,7.15,7.15,0.00,0.00,"176,896",,
2025-04-27,7.20,7.22,7.15,7.15,-0.02,-0.28,"442,121",,
2025-04-24,7.26,7.30,7.13,7.17,-0.08,-1.10,"775,843",,
2025-04-23,7.21,7.29,7.20,7.25,0.07,0.97,"588,468",,
2025-04-22,7.17,7.21,7.04,7.18,0.03,0.42,"483,921",,
2025-04-21,7.24,7.27,7.15,7.15,-0.10,-1.38,"147,572",,
2025-04-20,7.24,7.29,7.22,7.25,0.01,0.14,"259,339",,
2025-04-17,7.25,7.28,7.19,7.24,-0.01,-0.14,"131,315",,
2025-04-16,7.23,7.27,7.23,7.25,0.02,0.28,"47,351",,
2025-04-15,7.30,7.30,7.21,7.23,-0.06,-0.82,"127,114",,
2025-04-14,7.30,7.30,7.25,7.29,-0.01,-0.14,"181,746",,
2025-04-13,7.30,7.33,7.27,7.30,0.01,0.14,"137,019",,
2025-04-10,7.35,7.37,7.29,7.29,-0.04,-0.55,"167,584",,
2025-04-09,7.32,7.52,7.28,7.33,0.03,0.41,"96,336",,
2025-04-08,7.32,7.40,7.28,7.30,-0.02,-0.27,"238,549",,
2025-04-07,7.30,7.42,7.18,7.32,-0.05,-0.68,"178,653",,
2025-04-06,7.50,7.56,7.30,7.37,-0.23,-3.03,"216,268",,
2025-04-03,7.57,7.60,7.50,7.60,0.03,0.40,"57,882",,
2025-03-27,7.55,7.58,7.54,7.57,0.02,0.26,"77,052",,
2025-03-26,7.54,7.60,7.51,7.55,0.01,0.13,"126,675",,
2025-03-25,7.55,7.56,7.49,7.54,0.00,0.00,"39,795",,
2025-03-24,7.50,7.55,7.49,7.54,0.03,0.40,"147,019",,
2025-03-23,7.50,7.55,7.47,7.51,-0.04,-0.53,"40,313",,
2025-03-20,7.46,7.55,7.46,7.55,0.09,1.21,"63,641",,
2025-03-19,7.49,7.50,7.43,7.46,-0.03,-0.40,"144,702",,
2025-03-18,7.59,7.62,7.44,7.49,-0.10,-1.32,"114,169",,
2025-03-17,7.77,7.77,7.54,7.59,0.03,0.40,"54,749",,
2025-03-16,7.50,7.60,7.50,7.56,0.03,0.40,"58,715",,
2025-03-13,7.49,7.59,7.49,7.53,0.05,0.67,"48,582",,
2025-03-12,7.40,7.54,7.38,7.48,0.04,0.54,"43,245",,
2025-03-11,7.56,7.59,7.28,7.44,-0.12,-1.59,"224,363",,
2025-03-10,7.59,7.63,7.55,7.56,-0.05,-0.66,"46,403",,
2025-03-09,7.66,7.70,7.61,7.61,-0.05,-0.65,"40,236",,
2025-03-06,7.74,7.74,7.58,7.66,-0.03,-0.39,"76,755",,
2025-03-05,7.71,7.75,7.68,7.69,-0.02,-0.26,"75,989",,
2025-03-04,7.82,7.87,7.71,7.71,-0.11,-1.41,"60,602",,
2025-03-03,7.87,7.90,7.79,7.82,-0.06,-0.76,"93,471",,
2025-03-02,7.90,7.97,7.81,7.88,-0.02,-0.25,"72,209",,
2025-02-27,7.90,7.92,7.87,7.90,0.06,0.77,"93,045",,
2025-02-26,7.90,7.90,7.82,7.84,-0.08,-1.01,"63,994",,
2025-02-25,7.90,7.97,7.87,7.92,0.02,0.25,"42,220",,
2025-02-24,7.96,7.97,7.88,7.90,-0.06,-0.75,"74,733",,
2025-02-20,8.02,8.03,7.93,7.96,-0.01,-0.13,"24,812",,
2025-02-19,7.97,8.02,7.97,7.97,0.00,0.00,"41,936",,
2025-02-18,7.94,8.05,7.94,7.97,-0.03,-0.38,"38,066",,
2025-02-17,8.01,8.04,7.95,8.00,-0.03,-0.37,"66,436",,
2025-02-16,8.03,8.10,8.02,8.03,-0.04,-0.50,"29,626",,
2025-02-13,8.06,8.11,8.04,8.07,0.00,0.00,"24,673",,
2025-02-12,8.07,8.10,8.02,8.07,0.00,0.00,"54,439",,
2025-02-11,8.11,8.12,8.01,8.07,-0.05,-0.62,"79,549",,
2025-02-10,8.06,8.34,8.06,8.12,0.04,0.50,"59,326",,
2025-02-09,8.19,8.25,8.08,8.08,-0.11,-1.34,"72,355",,
2025-02-06,8.23,8.25,8.17,8.19,-0.04,-0.49,"53,141",,
