0,1,2,3,4,5,6,7,8,9
2025-05-29,9.94,9.99,9.91,9.96,0.03,0.30,"59,945",,
2025-05-28,9.79,9.94,9.79,9.93,0.13,1.33,"20,962",,
2025-05-27,9.89,9.90,9.78,9.80,-0.10,-1.01,"139,337",,
2025-05-26,9.95,9.97,9.88,9.90,-0.04,-0.40,"30,648",,
2025-05-25,10.00,10.00,9.89,9.94,-0.06,-0.60,"174,769",,
2025-05-22,10.00,10.04,9.97,10.00,-0.06,-0.60,"48,387",,
2025-05-21,10.04,10.08,10.00,10.06,0.02,0.20,"29,026",,
2025-05-20,10.02,10.08,9.99,10.04,-0.02,-0.20,"121,602",,
2025-05-19,10.08,10.08,10.02,10.06,-0.02,-0.20,"54,449",,
2025-05-18,10.08,10.12,10.06,10.08,0.00,0.00,"11,241",,
2025-05-15,10.08,10.12,10.06,10.08,-0.02,-0.20,"12,173",,
2025-05-14,10.18,10.18,10.08,10.10,0.00,0.00,"17,660",,
2025-05-13,10.22,10.22,10.08,10.10,0.02,0.20,"24,810",,
2025-05-12,10.06,10.12,10.06,10.08,0.02,0.20,"61,275",,
2025-05-11,10.10,10.12,10.06,10.06,-0.06,-0.59,"28,476",,
2025-05-08,10.06,10.16,10.06,10.12,0.06,0.60,"21,545",,
2025-05-07,10.14,10.16,10.06,10.06,-0.12,-1.18,"77,138",,
2025-05-06,10.20,10.22,10.14,10.18,-0.02,-0.20,"22,052",,
2025-05-05,10.20,10.26,10.14,10.20,0.10,0.99,"115,870",,
2025-05-04,10.14,10.24,10.08,10.10,-0.06,-0.59,"80,307",,
2025-05-01,10.40,10.40,10.12,10.16,-0.18,-1.74,"55,646",,
2025-04-30,10.30,10.42,10.02,10.34,0.02,0.19,"198,052",,
2025-04-29,10.10,10.50,10.04,10.32,0.24,2.38,"701,431",,
2025-04-28,10.12,10.12,10.04,10.08,0.00,0.00,"61,126",,
2025-04-27,10.08,10.12,10.02,10.08,0.02,0.20,"85,288",,
2025-04-24,10.24,10.24,10.00,10.06,-0.16,-1.57,"360,252",,
2025-04-23,10.52,10.64,10.20,10.22,-0.24,-2.29,"495,976",,
