0,1,2,3,4,5,6,7,8,9
2025-05-29,22.26,22.74,22.10,22.74,0.64,2.90,"72,525",,
2025-05-28,22.00,22.20,21.82,22.10,0.10,0.45,"42,637",,
2025-05-27,22.16,22.16,21.54,22.00,-0.10,-0.45,"91,676",,
2025-05-26,21.82,22.20,21.80,22.10,0.00,0.00,"49,287",,
2025-05-25,21.90,22.20,21.88,22.10,0.10,0.45,"66,949",,
2025-05-22,22.16,22.42,21.98,22.00,-0.50,-2.22,"11,414",,
2025-05-21,22.62,22.92,22.20,22.50,0.00,0.00,"63,043",,
2025-05-20,22.06,22.60,21.90,22.50,0.70,3.21,"36,036",,
2025-05-19,22.16,22.16,21.52,21.80,-0.36,-1.62,"65,150",,
2025-05-18,21.82,22.16,21.82,22.16,0.18,0.82,"19,475",,
2025-05-15,22.22,22.22,21.62,21.98,-0.24,-1.08,"46,657",,
2025-05-14,21.32,22.40,21.26,22.22,1.06,5.01,"95,228",,
2025-05-13,20.92,21.20,20.54,21.16,0.28,1.34,"96,138",,
2025-05-12,20.80,21.20,20.80,20.88,0.06,0.29,"20,454",,
2025-05-11,20.80,20.96,20.74,20.82,-0.02,-0.10,"14,776",,
2025-05-08,21.32,21.32,20.76,20.84,-0.16,-0.76,"26,032",,
2025-05-07,21.38,21.50,20.72,21.00,-0.38,-1.78,"62,956",,
2025-05-06,21.50,21.84,21.34,21.38,-0.12,-0.56,"45,810",,
2025-05-05,21.60,21.60,21.16,21.50,-0.10,-0.46,"35,044",,
2025-05-04,21.88,21.88,21.32,21.60,-0.28,-1.28,"28,745",,
2025-05-01,21.82,22.12,21.80,21.88,0.08,0.37,"43,015",,
2025-04-30,22.42,22.50,21.80,21.80,-0.62,-2.77,"64,711",,
2025-04-29,22.36,22.68,22.30,22.42,-0.06,-0.27,"46,302",,
2025-04-28,22.40,22.60,22.36,22.48,-0.02,-0.09,"45,686",,
2025-04-27,22.54,22.58,22.30,22.50,0.14,0.63,"27,314",,
2025-04-24,22.06,22.54,22.06,22.36,0.08,0.36,"47,996",,
2025-04-23,23.50,23.50,22.04,22.28,-0.22,-0.98,"112,200",,
2025-04-22,23.12,23.20,22.30,22.50,-0.74,-3.18,"90,032",,
2025-04-21,23.70,23.96,23.24,23.24,-0.46,-1.94,"23,440",,
2025-04-20,23.52,24.16,23.52,23.70,0.00,0.00,"79,106",,
2025-04-17,23.60,23.70,23.20,23.70,0.10,0.42,"32,639",,
2025-04-16,23.50,23.86,23.00,23.60,0.04,0.17,"46,869",,
2025-04-15,23.68,23.68,23.36,23.56,0.30,1.29,"38,932",,
2025-04-14,22.54,23.46,22.38,23.26,0.78,3.47,"67,824",,
2025-04-13,22.30,22.58,21.94,22.48,0.86,3.98,"45,314",,
2025-04-10,21.50,22.48,21.50,21.62,1.12,5.46,"64,004",,
2025-04-09,20.92,21.78,20.50,20.50,-0.86,-4.03,"60,178",,
2025-04-08,21.50,22.80,21.34,21.36,0.04,0.19,"28,369",,
2025-04-07,21.20,21.98,19.68,21.32,-0.34,-1.57,"87,014",,
2025-04-06,22.52,22.88,21.30,21.66,-1.90,-8.06,"47,432",,
2025-04-03,23.40,23.72,23.06,23.56,0.06,0.26,"24,512",,
2025-03-27,23.48,23.50,23.20,23.50,0.20,0.86,"40,229",,
2025-03-26,23.10,23.50,23.10,23.30,0.26,1.13,"27,843",,
2025-03-25,23.50,23.52,22.60,23.04,-0.04,-0.17,"27,789",,
2025-03-24,22.52,23.20,22.52,23.08,0.32,1.41,"89,155",,
2025-03-23,23.00,23.50,22.74,22.76,-0.26,-1.13,"85,550",,
2025-03-20,23.20,23.36,22.90,23.02,-0.24,-1.03,"48,958",,
2025-03-19,23.02,23.66,22.48,23.26,0.18,0.78,"111,189",,
2025-03-18,23.80,23.80,23.08,23.08,-0.76,-3.19,"45,236",,
2025-03-17,24.00,24.58,23.82,23.84,-0.16,-0.67,"42,423",,
2025-03-16,23.80,24.30,23.64,24.00,0.10,0.42,"61,746",,
2025-03-13,24.54,24.84,23.70,23.90,-0.88,-3.55,"134,631",,
