0,1,2,3,4,5,6,7,8,9
2025-05-29,19.62,19.78,19.46,19.78,0.24,1.23,"1,083,577",,
2025-05-28,19.40,19.60,19.32,19.54,0.24,1.24,"1,139,522",,
2025-05-27,19.54,19.56,19.26,19.30,-0.18,-0.92,"988,350",,
2025-05-26,19.68,19.68,19.36,19.48,-0.12,-0.61,"1,108,148",,
2025-05-25,19.60,19.70,19.50,19.60,-0.12,-0.61,"775,298",,
2025-05-22,19.80,19.80,19.50,19.72,-0.08,-0.40,"1,122,146",,
2025-05-21,19.96,20.02,19.78,19.80,-0.14,-0.70,"1,142,278",,
2025-05-20,20.00,20.06,19.90,19.94,-0.06,-0.30,"1,094,758",,
2025-05-19,20.00,20.20,19.86,20.00,0.00,0.00,"2,000,025",,
2025-05-18,19.88,20.08,19.88,20.00,0.04,0.20,"1,094,502",,
2025-05-15,19.98,20.00,19.86,19.96,-0.08,-0.40,"1,054,793",,
2025-05-14,20.04,20.04,19.92,20.04,0.00,0.00,"1,389,037",,
2025-05-13,20.02,20.12,19.96,20.04,-0.04,-0.20,"1,652,332",,
2025-05-12,20.18,20.26,20.02,20.08,-0.04,-0.20,"1,651,114",,
2025-05-11,20.12,20.16,19.96,20.12,0.06,0.30,"307,784",,
2025-05-08,19.90,20.12,19.86,20.06,0.10,0.50,"814,525",,
2025-05-07,19.98,19.98,19.82,19.96,-0.04,-0.20,"509,465",,
2025-05-06,20.00,20.06,19.86,20.00,0.00,0.00,"365,173",,
2025-05-05,19.98,20.06,19.70,20.00,0.02,0.10,"925,620",,
2025-05-04,19.98,19.98,19.82,19.98,0.08,0.40,"410,691",,
2025-05-01,19.80,19.90,19.76,19.90,0.10,0.51,"655,643",,
2025-04-30,20.04,20.04,19.74,19.80,-0.20,-1.00,"1,245,661",,
2025-04-29,20.18,20.18,20.00,20.00,-0.16,-0.79,"777,407",,
2025-04-28,20.22,20.22,20.04,20.16,-0.12,-0.59,"1,113,440",,
2025-04-27,20.06,20.32,20.06,20.28,0.28,1.40,"692,196",,
2025-04-24,20.00,20.08,19.96,20.00,0.00,0.00,"586,676",,
2025-04-23,19.90,20.06,19.88,20.00,0.14,0.70,"909,274",,
2025-04-22,19.88,19.94,19.76,19.86,-0.10,-0.50,"1,237,084",,
2025-04-21,20.06,20.08,19.92,19.96,-0.10,-0.50,"620,768",,
2025-04-20,19.84,20.10,19.84,20.06,0.10,0.50,"928,588",,
2025-04-17,19.88,19.96,19.80,19.96,0.08,0.40,"698,430",,
2025-04-16,19.94,20.02,19.84,19.88,0.00,0.00,"714,812",,
2025-04-15,20.10,20.10,19.82,19.88,-0.20,-1.00,"1,246,277",,
2025-04-14,20.06,20.10,19.92,20.08,0.02,0.10,"761,916",,
2025-04-13,19.90,20.12,19.90,20.06,0.22,1.11,"676,668",,
2025-04-10,20.00,20.10,19.72,19.84,0.36,1.85,"1,565,216",,
2025-04-09,19.52,19.68,19.40,19.48,-0.06,-0.31,"1,488,989",,
2025-04-08,19.70,19.88,19.54,19.54,-0.16,-0.81,"2,367,280",,
2025-04-07,19.74,19.88,19.28,19.70,-0.06,-0.30,"2,085,674",,
2025-04-06,19.34,20.04,19.34,19.76,-0.74,-3.61,"1,586,762",,
2025-04-03,20.52,20.54,20.22,20.50,-0.08,-0.39,"459,914",,
2025-03-27,20.50,20.68,20.48,20.58,0.08,0.39,"511,730",,
2025-03-26,20.60,20.70,20.44,20.50,-0.08,-0.39,"797,874",,
2025-03-25,20.78,20.84,20.58,20.58,-0.22,-1.06,"350,652",,
2025-03-24,20.40,20.82,20.34,20.80,0.40,1.96,"579,547",,
2025-03-23,20.34,20.60,20.34,20.40,0.06,0.29,"540,799",,
2025-03-20,20.60,20.60,20.34,20.34,-0.22,-1.07,"620,464",,
2025-03-19,20.68,20.68,20.44,20.56,-0.08,-0.39,"387,138",,
2025-03-18,20.38,20.74,20.34,20.64,0.26,1.28,"951,444",,
2025-03-17,20.38,20.50,20.30,20.38,0.08,0.39,"941,870",,
2025-03-16,20.38,20.48,20.28,20.30,-0.08,-0.39,"754,090",,
2025-03-13,20.12,20.38,20.10,20.38,-0.10,-0.49,"751,162",,
2025-03-12,20.40,20.60,20.34,20.48,0.12,0.59,"636,456",,
2025-03-11,20.12,20.60,20.08,20.36,0.26,1.29,"1,119,025",,
2025-03-10,20.40,20.40,20.04,20.10,-0.32,-1.57,"560,389",,
2025-03-09,20.44,20.56,20.34,20.42,-0.02,-0.10,"365,456",,
2025-03-06,20.64,20.64,20.24,20.44,-0.14,-0.68,"687,263",,
2025-03-05,20.66,20.78,20.50,20.58,-0.10,-0.48,"479,134",,
2025-03-04,20.86,20.88,20.62,20.68,-0.20,-0.96,"652,382",,
2025-03-03,20.94,21.04,20.82,20.88,-0.06,-0.29,"547,301",,
2025-03-02,20.88,21.00,20.76,20.94,0.06,0.29,"339,465",,
2025-02-27,21.14,21.14,20.88,20.88,-0.26,-1.23,"734,787",,
2025-02-26,21.02,21.16,21.00,21.14,0.12,0.57,"433,114",,
2025-02-25,21.18,21.22,21.02,21.02,-0.20,-0.94,"689,670",,
2025-02-24,21.14,21.28,21.00,21.22,0.12,0.57,"684,054",,
2025-02-20,21.16,21.24,21.06,21.10,-0.06,-0.28,"609,138",,
2025-02-19,21.24,21.24,21.16,21.16,-0.14,-0.66,"335,307",,
2025-02-18,21.20,21.30,21.10,21.30,0.12,0.57,"582,230",,
2025-02-17,21.16,21.18,21.02,21.18,0.08,0.38,"681,136",,
2025-02-16,21.26,21.26,21.10,21.10,-0.08,-0.38,"407,127",,
2025-02-13,21.24,21.34,21.12,21.18,-0.06,-0.28,"596,507",,
2025-02-12,21.24,21.24,21.14,21.24,-0.04,-0.19,"512,495",,
