0,1,2,3,4,5,6,7,8,9
2025-05-29,32.15,33.65,32.15,32.35,0.45,1.41,"629,118",,
2025-05-28,32.20,32.30,31.65,31.90,-0.10,-0.31,"160,558",,
2025-05-27,32.90,32.95,31.70,32.00,-0.85,-2.59,"183,078",,
2025-05-26,33.80,34.10,32.50,32.85,-0.85,-2.52,"408,951",,
2025-05-25,33.45,34.25,33.45,33.70,0.25,0.75,"142,476",,
2025-05-22,32.90,33.70,32.90,33.45,0.15,0.45,"165,487",,
2025-05-21,33.20,34.25,33.20,33.30,-0.50,-1.48,"241,126",,
2025-05-20,33.00,33.95,32.95,33.80,0.85,2.58,"262,746",,
2025-05-19,33.00,33.35,32.80,32.95,-0.05,-0.15,"245,584",,
2025-05-18,33.10,33.20,32.50,33.00,-0.10,-0.30,"121,129",,
2025-05-15,33.00,33.30,32.70,33.10,0.10,0.30,"311,738",,
2025-05-14,33.00,33.30,32.70,33.00,0.00,0.00,"168,888",,
2025-05-13,32.75,33.15,32.65,33.00,0.25,0.76,"150,199",,
2025-05-12,32.50,33.05,32.40,32.75,-0.35,-1.06,"373,876",,
2025-05-11,31.95,33.50,31.95,33.10,0.60,1.85,"169,929",,
2025-05-08,32.55,33.45,32.50,32.50,-0.20,-0.61,"222,847",,
2025-05-07,33.70,33.90,32.30,32.70,-1.00,-2.97,"274,024",,
2025-05-06,33.20,34.45,33.20,33.70,-0.25,-0.74,"266,971",,
2025-05-05,33.80,34.05,33.20,33.95,0.15,0.44,"490,717",,
2025-05-04,33.80,34.20,33.75,33.80,0.15,0.45,"79,423",,
2025-05-01,34.05,34.30,33.45,33.65,-0.65,-1.90,"245,758",,
2025-04-30,35.05,35.15,34.00,34.30,-0.80,-2.28,"353,318",,
2025-04-29,34.45,35.25,34.40,35.10,0.70,2.03,"322,483",,
2025-04-28,34.70,34.70,33.75,34.40,-0.30,-0.86,"507,847",,
2025-04-27,34.10,35.00,34.10,34.70,0.60,1.76,"172,147",,
2025-04-24,33.90,34.55,33.60,34.10,-0.10,-0.29,"266,641",,
2025-04-23,33.50,34.25,33.40,34.20,0.70,2.09,"324,641",,
2025-04-22,33.00,33.50,32.70,33.50,0.45,1.36,"156,682",,
2025-04-21,33.15,33.40,32.90,33.05,-0.15,-0.45,"74,487",,
2025-04-20,32.85,33.85,32.85,33.20,0.35,1.07,"101,935",,
2025-04-17,32.95,34.00,32.70,32.85,-0.15,-0.45,"266,478",,
2025-04-16,32.40,33.55,32.25,33.00,0.60,1.85,"177,084",,
2025-04-15,32.50,32.70,32.30,32.40,-0.15,-0.46,"125,046",,
2025-04-14,32.45,33.40,32.00,32.55,0.15,0.46,"226,490",,
2025-04-13,32.00,33.30,32.00,32.40,1.00,3.18,"184,540",,
2025-04-10,32.20,32.20,31.20,31.40,0.70,2.28,"358,451",,
2025-04-09,31.00,32.15,30.55,30.70,-0.70,-2.23,"188,966",,
2025-04-08,30.45,31.70,30.45,31.40,0.95,3.12,"237,890",,
2025-04-07,29.50,31.00,28.60,30.45,-0.40,-1.30,"409,624",,
2025-04-06,32.60,32.60,30.50,30.85,-2.95,-8.73,"475,942",,
2025-04-03,33.25,34.75,32.50,33.80,0.50,1.50,"268,243",,
2025-03-27,33.35,34.00,33.30,33.30,0.10,0.30,"110,410",,
2025-03-26,32.70,33.55,32.45,33.20,0.60,1.84,"294,577",,
2025-03-25,33.15,33.45,32.05,32.60,-0.55,-1.66,"133,618",,
2025-03-24,34.00,34.40,33.15,33.15,-1.05,-3.07,"123,390",,
2025-03-23,32.00,34.85,32.00,34.20,1.95,6.05,"414,213",,
2025-03-20,32.75,32.75,31.85,32.25,-0.40,-1.23,"209,371",,
2025-03-19,33.70,33.85,32.50,32.65,-1.00,-2.97,"244,576",,
2025-03-18,34.75,35.45,33.20,33.65,-1.00,-2.89,"347,932",,
2025-03-17,36.05,36.20,34.50,34.65,-1.40,-3.88,"759,796",,
2025-03-16,32.80,36.05,32.80,36.05,3.25,9.91,"505,468",,
2025-03-13,32.25,33.30,32.25,32.80,0.35,1.08,"255,942",,
2025-03-12,32.15,33.25,32.10,32.45,0.45,1.41,"189,697",,
2025-03-11,32.00,32.15,31.35,32.00,-0.20,-0.62,"184,917",,
2025-03-10,31.95,32.50,31.30,32.20,0.15,0.47,"251,619",,
2025-03-09,32.55,32.55,30.65,32.05,-0.50,-1.54,"253,918",,
2025-03-06,32.40,33.15,32.15,32.55,-0.25,-0.76,"602,855",,
2025-03-05,32.50,32.85,31.65,32.80,0.30,0.92,"233,703",,
2025-03-04,33.05,33.10,32.50,32.50,-0.70,-2.11,"236,964",,
2025-03-03,33.00,33.25,32.45,33.20,0.20,0.61,"230,946",,
2025-03-02,32.45,33.35,32.45,33.00,0.15,0.46,"112,820",,
2025-02-27,32.95,33.30,32.80,32.85,-0.15,-0.45,"192,351",,
2025-02-26,34.00,34.00,32.35,33.00,-1.10,-3.23,"562,076",,
2025-02-25,34.00,34.10,33.75,34.10,0.10,0.29,"332,050",,
2025-02-24,34.15,34.15,33.65,34.00,-0.15,-0.44,"136,581",,
2025-02-20,33.50,34.15,33.00,34.15,0.65,1.94,"408,650",,
2025-02-19,34.70,35.20,33.50,33.50,-1.55,-4.42,"283,510",,
2025-02-18,35.00,35.05,34.70,35.05,0.20,0.57,"182,580",,
2025-02-17,34.90,35.20,34.65,34.85,-0.05,-0.14,"139,324",,
2025-02-16,35.20,35.55,34.75,34.90,-0.30,-0.85,"118,970",,
2025-02-13,35.00,35.40,34.90,35.20,0.20,0.57,"328,856",,
2025-02-12,35.45,35.45,34.45,35.00,-0.55,-1.55,"416,046",,
2025-02-11,35.95,36.05,35.50,35.55,-0.70,-1.93,"168,744",,
2025-02-10,36.20,36.35,35.70,36.25,-0.25,-0.68,"323,367",,
2025-02-09,36.05,36.50,35.95,36.50,0.45,1.25,"143,920",,
2025-02-06,36.10,36.10,35.35,36.05,-0.05,-0.14,"240,910",,
