0,1,2,3,4,5,6,7,8,9
2025-05-29,4.49,4.55,4.49,4.54,0.06,1.34,"405,006",,
2025-05-28,4.59,4.65,4.47,4.48,-0.11,-2.40,"849,753",,
2025-05-27,4.66,4.70,4.53,4.59,-0.08,-1.71,"169,166",,
2025-05-26,4.78,4.83,4.61,4.67,-0.11,-2.30,"399,417",,
2025-05-25,4.87,4.88,4.78,4.78,-0.10,-2.05,"135,930",,
2025-05-22,4.89,4.89,4.82,4.88,-0.03,-0.61,"185,185",,
2025-05-21,4.81,5.06,4.76,4.91,0.06,1.24,"684,236",,
2025-05-20,4.80,4.86,4.77,4.85,0.05,1.04,"234,982",,
2025-05-19,4.88,4.89,4.79,4.80,-0.10,-2.04,"213,141",,
2025-05-18,4.86,4.98,4.86,4.90,0.04,0.82,"211,415",,
2025-05-15,5.04,5.04,4.86,4.86,-0.13,-2.61,"649,232",,
2025-05-14,5.06,5.09,4.99,4.99,-0.05,-0.99,"586,133",,
2025-05-13,5.10,5.10,5.01,5.04,-0.06,-1.18,"254,647",,
2025-05-12,5.02,5.11,5.02,5.10,0.10,2.00,"125,464",,
2025-05-11,5.10,5.12,4.97,5.00,-0.09,-1.77,"243,779",,
2025-05-08,5.08,5.14,5.06,5.09,-0.03,-0.59,"169,343",,
2025-05-07,5.15,5.15,5.08,5.12,-0.05,-0.97,"158,450",,
2025-05-06,5.20,5.24,5.14,5.17,-0.01,-0.19,"124,908",,
2025-05-05,5.19,5.24,5.12,5.18,0.04,0.78,"160,728",,
2025-05-04,5.27,5.27,5.12,5.14,-0.07,-1.34,"126,686",,
2025-05-01,5.26,5.26,5.17,5.21,-0.04,-0.76,"306,546",,
2025-04-30,5.36,5.40,5.20,5.25,-0.10,-1.87,"380,661",,
2025-04-29,5.39,5.47,5.35,5.35,-0.03,-0.56,"399,933",,
2025-04-28,5.52,5.56,5.30,5.38,-0.12,-2.18,"1,032,857",,
2025-04-27,5.52,5.61,5.49,5.50,0.01,0.18,"311,924",,
2025-04-24,5.54,5.57,5.49,5.49,-0.04,-0.72,"113,156",,
2025-04-23,5.49,5.60,5.49,5.53,0.12,2.22,"511,418",,
2025-04-22,5.46,5.47,5.37,5.41,-0.08,-1.46,"179,579",,
2025-04-21,5.55,5.55,5.46,5.49,-0.04,-0.72,"189,418",,
2025-04-20,5.41,5.58,5.41,5.53,0.11,2.03,"331,554",,
2025-04-17,5.50,5.59,5.41,5.42,-0.12,-2.17,"474,252",,
2025-04-16,5.58,5.65,5.50,5.54,0.00,0.00,"454,839",,
2025-04-15,5.47,5.64,5.45,5.54,0.13,2.40,"704,483",,
2025-04-14,5.38,5.44,5.31,5.41,0.07,1.31,"445,895",,
2025-04-13,5.35,5.50,5.32,5.34,0.01,0.19,"628,368",,
2025-04-10,5.27,5.54,5.27,5.33,0.24,4.72,"819,791",,
2025-04-09,5.13,5.27,5.08,5.09,-0.11,-2.12,"491,409",,
2025-04-08,5.40,5.40,5.10,5.20,0.08,1.56,"542,911",,
2025-04-07,5.32,5.45,5.06,5.12,-0.24,-4.48,"1,221,914",,
2025-04-06,5.50,5.80,5.36,5.36,-0.59,-9.92,"623,706",,
2025-04-03,6.10,6.10,5.89,5.95,-0.15,-2.46,"342,141",,
2025-03-27,6.08,6.14,6.07,6.10,-0.02,-0.33,"626,318",,
2025-03-26,6.11,6.19,6.08,6.12,0.01,0.16,"332,222",,
