0,1,2,3,4,5,6,7,8,9
2025-05-29,19.54,20.02,19.22,20.02,0.50,2.56,"2,690,285",,
2025-05-28,19.42,20.08,19.28,19.52,0.02,0.10,"2,752,036",,
2025-05-27,20.74,20.74,18.98,19.50,-0.94,-4.60,"3,721,960",,
2025-05-26,19.96,20.78,19.96,20.44,0.70,3.55,"2,966,881",,
2025-05-25,20.34,20.36,19.74,19.74,-0.56,-2.76,"640,055",,
2025-05-22,19.94,20.40,19.80,20.30,0.34,1.70,"1,036,864",,
2025-05-21,20.40,20.60,19.96,19.96,-0.38,-1.87,"1,054,929",,
2025-05-20,19.72,20.84,19.60,20.34,0.46,2.31,"1,645,660",,
2025-05-19,20.04,20.22,19.58,19.88,-0.12,-0.60,"1,008,765",,
2025-05-18,20.58,20.60,19.88,20.00,-0.42,-2.06,"851,451",,
2025-05-15,20.82,20.84,20.42,20.42,-0.38,-1.83,"1,024,661",,
2025-05-14,21.20,21.22,20.74,20.80,-0.44,-2.07,"1,212,382",,
2025-05-13,21.28,21.28,20.88,21.24,-0.02,-0.09,"1,056,946",,
2025-05-12,21.00,21.30,20.84,21.26,0.52,2.51,"1,114,204",,
2025-05-11,21.08,21.14,20.68,20.74,-0.38,-1.80,"587,894",,
2025-05-08,21.22,21.72,21.04,21.12,-0.28,-1.31,"1,291,357",,
2025-05-07,21.00,21.60,20.68,21.40,0.50,2.39,"1,749,456",,
2025-05-06,20.96,21.14,20.62,20.90,-0.06,-0.29,"3,759,563",,
2025-05-05,20.82,21.26,20.30,20.96,0.16,0.77,"1,721,437",,
2025-05-04,21.04,21.40,20.56,20.80,-0.22,-1.05,"1,815,632",,
2025-05-01,21.90,21.90,20.62,21.02,-0.88,-4.02,"2,983,318",,
2025-04-30,22.56,22.94,21.20,21.90,-0.70,-3.10,"4,245,313",,
2025-04-29,23.38,23.38,22.60,22.60,-0.56,-2.42,"1,796,016",,
2025-04-28,23.40,23.64,22.96,23.16,-0.14,-0.60,"1,585,428",,
2025-04-27,23.36,23.60,23.22,23.30,-0.10,-0.43,"905,145",,
2025-04-24,23.00,23.58,22.98,23.40,0.40,1.74,"2,294,615",,
2025-04-23,22.92,23.34,22.56,23.00,0.10,0.44,"2,314,199",,
2025-04-22,22.32,22.90,22.12,22.90,0.60,2.69,"2,682,709",,
2025-04-21,23.72,23.72,22.12,22.30,-1.30,-5.51,"3,223,392",,
2025-04-20,22.84,23.94,22.84,23.60,0.76,3.33,"3,041,370",,
2025-04-17,22.00,23.18,21.94,22.84,0.84,3.82,"5,194,906",,
2025-04-16,21.50,22.30,21.10,22.00,0.68,3.19,"4,815,153",,
2025-04-15,21.42,21.72,21.20,21.32,-0.08,-0.37,"1,775,134",,
2025-04-14,21.80,21.82,21.00,21.40,-0.18,-0.83,"2,400,088",,
2025-04-13,21.90,22.16,21.58,21.58,-0.04,-0.19,"986,776",,
2025-04-10,21.50,22.16,21.50,21.62,0.64,3.05,"2,298,733",,
2025-04-09,21.00,21.40,20.96,20.98,0.00,0.00,"2,853,192",,
2025-04-08,21.60,21.84,20.88,20.98,-0.40,-1.87,"3,576,448",,
2025-04-07,20.08,21.50,19.48,21.38,0.58,2.79,"3,965,267",,
2025-04-06,20.32,21.20,20.04,20.80,-0.90,-4.15,"3,810,461",,
2025-04-03,21.00,22.00,20.72,21.70,0.30,1.40,"2,568,964",,
2025-03-27,21.00,21.54,20.76,21.40,0.54,2.59,"2,938,807",,
2025-03-26,20.24,21.00,20.14,20.86,0.62,3.06,"2,892,898",,
2025-03-25,19.96,20.40,19.50,20.24,0.28,1.40,"3,850,927",,
2025-03-24,20.70,21.02,19.96,19.96,-0.64,-3.11,"4,113,409",,
2025-03-23,19.86,21.78,19.86,20.60,0.74,3.73,"5,711,250",,
2025-03-20,19.30,19.86,18.74,19.86,0.26,1.33,"4,572,040",,
2025-03-19,19.52,19.86,19.16,19.60,-0.04,-0.20,"2,471,279",,
2025-03-18,19.32,19.64,19.26,19.64,0.18,0.92,"2,324,829",,
2025-03-17,19.30,19.56,19.20,19.46,0.16,0.83,"4,661,696",,
2025-03-16,19.26,19.38,19.16,19.30,0.14,0.73,"2,014,658",,
2025-03-13,18.80,19.30,18.80,19.16,0.24,1.27,"3,437,380",,
2025-03-12,18.80,18.94,18.62,18.92,0.06,0.32,"2,246,403",,
2025-03-11,18.42,18.88,17.92,18.86,0.36,1.95,"3,106,043",,
2025-03-10,18.40,18.90,18.14,18.50,0.10,0.54,"3,995,776",,
2025-03-09,17.18,18.62,17.04,18.40,1.28,7.48,"3,795,518",,
2025-03-06,18.16,18.16,16.84,17.12,-0.94,-5.20,"3,139,567",,
2025-03-05,18.30,18.58,17.92,18.06,-0.24,-1.31,"2,940,765",,
2025-03-04,18.06,18.64,18.04,18.30,0.10,0.55,"3,129,883",,
2025-03-03,17.98,18.28,17.86,18.20,0.30,1.68,"1,829,838",,
2025-03-02,17.90,18.18,17.80,17.90,0.02,0.11,"1,123,050",,
2025-02-27,17.82,17.92,17.48,17.88,0.06,0.34,"3,673,727",,
2025-02-26,18.18,18.26,17.82,17.82,-0.32,-1.76,"1,859,065",,
2025-02-25,18.10,18.48,17.78,18.14,0.04,0.22,"3,208,673",,
2025-02-24,18.22,18.48,18.10,18.10,-0.10,-0.55,"3,630,852",,
2025-02-20,17.34,18.30,17.34,18.20,0.68,3.88,"5,701,426",,
2025-02-19,16.94,17.66,16.94,17.52,0.60,3.55,"3,951,826",,
2025-02-18,17.38,17.44,16.82,16.92,-0.44,-2.53,"3,598,976",,
2025-02-17,17.78,18.06,17.34,17.36,-0.34,-1.92,"5,611,286",,
2025-02-16,17.50,17.74,17.50,17.70,0.10,0.57,"2,067,453",,
2025-02-13,17.30,17.64,17.22,17.60,0.16,0.92,"1,261,718",,
2025-02-12,17.60,17.70,17.44,17.44,-0.18,-1.02,"1,246,259",,
2025-02-11,17.60,17.80,17.42,17.62,0.02,0.11,"2,025,770",,
2025-02-10,17.20,17.64,17.14,17.60,0.34,1.97,"3,483,969",,
2025-02-09,17.02,17.40,16.94,17.26,0.24,1.41,"2,001,526",,
2025-02-06,16.96,17.06,16.78,17.02,0.04,0.24,"1,756,536",,
2025-02-05,16.94,17.06,16.72,16.98,0.04,0.24,"1,776,307",,
2025-02-04,16.92,17.14,16.86,16.94,0.02,0.12,"1,370,735",,
2025-02-03,17.08,17.08,16.76,16.92,-0.10,-0.59,"1,821,629",,
2025-02-02,16.60,17.08,16.34,17.02,0.52,3.15,"3,148,157",,
2025-01-30,16.16,16.56,16.14,16.50,0.38,2.36,"2,278,496",,
2025-01-29,16.08,16.12,15.76,16.12,0.06,0.37,"2,381,012",,
2025-01-28,17.02,17.02,15.90,16.06,-0.92,-5.42,"6,230,265",,
2025-01-27,16.80,17.48,16.74,16.98,0.26,1.56,"6,213,557",,
2025-01-26,16.62,16.80,16.56,16.72,0.16,0.97,"1,457,908",,
2025-01-23,16.50,16.58,16.40,16.56,0.02,0.12,"924,656",,
2025-01-22,16.46,16.60,16.46,16.54,0.04,0.24,"905,186",,
2025-01-21,16.58,16.60,16.38,16.50,0.00,0.00,"1,367,777",,
2025-01-20,16.32,16.60,16.24,16.50,0.22,1.35,"2,021,209",,
2025-01-19,16.26,16.30,16.08,16.28,0.02,0.12,"815,411",,
