0,1,2,3,4,5,6,7,8,9
2025-05-29,22.58,22.76,21.54,21.54,-1.02,-4.52,"58,750,401",,
2025-05-28,22.14,22.56,21.58,22.56,0.60,2.73,"6,833,480",,
2025-05-27,22.90,22.92,21.84,21.96,-0.74,-3.26,"7,308,011",,
2025-05-26,23.90,23.90,22.52,22.70,-0.98,-4.14,"6,508,326",,
2025-05-25,23.74,23.98,23.50,23.68,-0.06,-0.25,"2,670,862",,
2025-05-22,23.86,24.24,23.60,23.74,-0.20,-0.84,"4,976,038",,
2025-05-21,24.20,24.20,23.78,23.94,-0.16,-0.66,"2,575,173",,
2025-05-20,23.58,24.24,23.58,24.10,0.54,2.29,"4,603,612",,
2025-05-19,23.96,24.26,23.50,23.56,-0.44,-1.83,"6,642,441",,
2025-05-18,24.82,24.84,24.00,24.00,-0.84,-3.38,"3,322,893",,
2025-05-15,24.90,25.10,24.78,24.84,-0.06,-0.24,"2,986,514",,
2025-05-14,25.45,25.50,24.82,24.90,-0.50,-1.97,"5,820,187",,
2025-05-13,24.94,25.45,24.72,25.40,0.48,1.93,"3,113,243",,
2025-05-12,24.42,25.00,24.38,24.92,0.48,1.96,"2,032,206",,
2025-05-11,24.90,24.90,23.88,24.44,-0.71,-2.82,"5,056,997",,
2025-05-08,25.35,25.45,24.92,25.15,-0.35,-1.37,"1,941,660",,
2025-05-07,25.10,25.50,24.50,25.50,0.20,0.79,"3,742,255",,
2025-05-06,25.60,25.70,25.25,25.30,-0.25,-0.98,"1,407,719",,
2025-05-05,24.94,25.65,24.82,25.55,0.45,1.79,"2,362,817",,
2025-05-04,25.05,25.35,24.90,25.10,-0.05,-0.20,"1,496,843",,
2025-05-01,25.55,25.60,24.96,25.15,-0.40,-1.57,"2,001,097",,
2025-04-30,25.65,25.90,25.10,25.55,-0.30,-1.16,"3,185,236",,
2025-04-29,26.05,26.50,25.55,25.85,-0.20,-0.77,"4,056,433",,
2025-04-28,25.00,26.30,25.00,26.05,0.95,3.78,"6,277,433",,
2025-04-27,24.90,25.25,24.90,25.10,0.20,0.80,"1,750,759",,
2025-04-24,24.64,25.00,24.64,24.90,0.12,0.48,"2,145,988",,
2025-04-23,25.00,25.25,24.56,24.78,0.10,0.41,"2,516,031",,
2025-04-22,24.52,25.20,24.34,24.68,-0.02,-0.08,"2,984,172",,
2025-04-21,25.40,25.40,24.58,24.70,-0.65,-2.56,"2,921,713",,
2025-04-20,23.70,25.40,23.70,25.35,1.83,7.78,"6,552,533",,
2025-04-17,23.00,23.66,22.90,23.52,0.42,1.82,"4,228,275",,
2025-04-16,23.30,23.36,23.04,23.10,-0.34,-1.45,"3,827,542",,
2025-04-15,23.68,23.90,23.44,23.44,-0.16,-0.68,"5,077,778",,
2025-04-14,23.12,23.68,23.04,23.60,0.60,2.61,"5,404,449",,
2025-04-13,23.00,23.26,22.92,23.00,0.12,0.52,"4,984,063",,
2025-04-10,23.10,23.10,22.52,22.88,1.02,4.67,"3,999,970",,
2025-04-09,22.50,22.72,21.84,21.86,-1.04,-4.54,"4,436,868",,
2025-04-08,23.20,23.62,22.46,22.90,0.14,0.62,"6,116,504",,
2025-04-07,22.94,23.14,21.40,22.76,-0.70,-2.98,"6,675,049",,
2025-04-06,24.00,24.66,23.38,23.46,-2.29,-8.89,"4,395,975",,
2025-04-03,25.50,26.25,25.50,25.75,-0.30,-1.15,"1,708,232",,
2025-03-27,26.00,26.45,25.95,26.05,0.00,0.00,"3,252,240",,
2025-03-26,25.50,26.35,25.45,26.05,0.35,1.36,"4,052,037",,
2025-03-25,26.00,26.05,25.30,25.70,-0.30,-1.15,"3,461,719",,
2025-03-24,25.95,26.40,25.45,26.00,-0.15,-0.57,"2,591,343",,
2025-03-23,26.50,26.50,25.75,26.15,-0.30,-1.13,"1,784,914",,
2025-03-20,25.45,26.50,25.30,26.45,0.70,2.72,"4,427,540",,
2025-03-19,25.35,25.75,25.20,25.75,0.15,0.59,"2,182,321",,
2025-03-18,25.65,25.75,25.30,25.60,-0.05,-0.19,"1,286,380",,
2025-03-17,25.70,26.00,25.55,25.65,0.00,0.00,"1,245,873",,
2025-03-16,25.65,25.75,25.35,25.65,0.00,0.00,"1,805,324",,
2025-03-13,25.45,26.00,25.45,25.65,0.20,0.79,"1,851,121",,
2025-03-12,25.10,25.60,24.92,25.45,0.30,1.19,"1,406,084",,
2025-03-11,24.72,25.15,24.68,25.15,0.15,0.60,"1,948,652",,
