0,1,2,3,4,5,6,7,8,9
2025-05-29,13.98,14.10,13.52,13.52,-0.34,-2.45,"1,594,149",,
2025-05-28,13.58,13.94,13.52,13.86,0.22,1.61,"193,676",,
2025-05-27,13.88,13.94,13.56,13.64,-0.30,-2.15,"223,571",,
2025-05-26,14.08,14.14,13.84,13.94,-0.20,-1.41,"230,323",,
2025-05-25,14.10,14.34,14.02,14.14,-0.02,-0.14,"79,532",,
2025-05-22,14.00,14.32,13.90,14.16,-0.04,-0.28,"154,611",,
2025-05-21,14.66,14.66,14.02,14.20,-0.46,-3.14,"392,424",,
2025-05-20,14.72,14.90,14.52,14.66,-0.14,-0.95,"317,174",,
2025-05-19,15.00,15.00,14.78,14.80,-0.24,-1.60,"142,602",,
2025-05-18,15.00,15.10,14.88,15.04,0.04,0.27,"121,718",,
2025-05-15,14.82,15.16,14.56,15.00,-0.48,-3.10,"447,696",,
2025-05-14,15.38,15.52,15.30,15.48,0.12,0.78,"198,521",,
2025-05-13,15.60,15.60,15.26,15.36,-0.24,-1.54,"310,726",,
2025-05-12,15.50,15.72,15.46,15.60,0.10,0.65,"660,977",,
2025-05-11,15.58,15.78,15.00,15.50,-0.08,-0.51,"365,509",,
2025-05-08,15.40,15.76,15.40,15.58,0.18,1.17,"1,273,887",,
2025-05-07,15.42,15.50,15.18,15.40,0.00,0.00,"910,559",,
2025-05-06,15.08,15.42,15.08,15.40,0.28,1.85,"900,032",,
2025-05-05,15.08,15.34,14.90,15.12,0.08,0.53,"351,827",,
2025-05-04,15.36,15.42,15.00,15.04,-0.38,-2.46,"442,155",,
2025-05-01,15.14,15.42,15.04,15.42,0.28,1.85,"1,035,723",,
2025-04-30,15.20,15.32,14.96,15.14,0.14,0.93,"1,073,339",,
2025-04-29,14.66,15.18,14.48,15.00,0.46,3.16,"2,128,770",,
2025-04-28,14.20,14.64,14.12,14.54,0.36,2.54,"794,150",,
2025-04-27,14.20,14.30,14.10,14.18,-0.02,-0.14,"463,455",,
2025-04-24,14.30,14.42,14.20,14.20,-0.16,-1.11,"343,423",,
2025-04-23,14.44,14.62,14.22,14.36,-0.02,-0.14,"340,525",,
2025-04-22,14.20,14.44,14.12,14.38,0.04,0.28,"427,221",,
2025-04-21,14.54,14.58,14.26,14.34,-0.20,-1.38,"380,915",,
2025-04-20,14.12,14.80,14.12,14.54,0.44,3.12,"1,478,809",,
2025-04-17,13.80,14.60,13.80,14.10,0.18,1.29,"1,257,260",,
2025-04-16,13.88,14.00,13.74,13.92,0.12,0.87,"272,377",,
