0,1,2,3,4,5,6,7,8,9
2025-05-29,102.20,103.20,96.80,96.80,-5.80,-5.65,"8,557,619",,
2025-05-28,101.80,105.40,100.20,102.60,0.00,0.00,"949,469",,
2025-05-27,101.80,103.80,99.90,102.60,1.00,0.98,"538,157",,
2025-05-26,104.40,105.00,100.20,101.60,-3.20,-3.05,"297,086",,
2025-05-25,105.80,106.00,103.00,104.80,-1.00,-0.95,"71,972",,
2025-05-22,104.20,107.80,103.40,105.80,1.80,1.73,"548,887",,
2025-05-21,103.40,104.40,103.20,104.00,0.20,0.19,"403,274",,
2025-05-20,102.80,104.40,102.40,103.80,0.00,0.00,"249,808",,
2025-05-19,104.20,105.00,103.80,103.80,-0.20,-0.19,"455,947",,
2025-05-18,104.80,105.20,103.80,104.00,0.00,0.00,"183,899",,
2025-05-15,103.60,104.80,103.40,104.00,0.40,0.39,"545,165",,
2025-05-14,108.20,108.80,103.20,103.60,-4.00,-3.72,"674,661",,
2025-05-13,106.60,108.40,106.20,107.60,0.20,0.19,"150,380",,
2025-05-12,106.40,108.20,105.80,107.40,0.20,0.19,"134,200",,
2025-05-11,110.00,110.00,107.20,107.20,-2.80,-2.55,"55,557",,
2025-05-08,111.00,111.00,108.20,110.00,-1.00,-0.90,"112,183",,
2025-05-07,109.00,111.00,108.00,111.00,3.00,2.78,"229,079",,
2025-05-06,107.00,109.40,107.00,108.00,-0.20,-0.18,"171,888",,
2025-05-05,108.20,108.40,105.60,108.20,1.60,1.50,"270,817",,
2025-05-04,106.20,109.00,106.00,106.60,-1.20,-1.11,"50,334",,
2025-05-01,110.00,110.00,106.40,107.80,-1.40,-1.28,"154,528",,
2025-04-30,110.00,110.20,107.80,109.20,-1.20,-1.09,"93,093",,
2025-04-29,110.40,112.20,110.00,110.40,-0.40,-0.36,"126,967",,
2025-04-28,110.60,111.00,108.80,110.80,0.80,0.73,"85,176",,
2025-04-27,108.60,110.00,107.40,110.00,1.40,1.29,"105,421",,
2025-04-24,108.00,110.00,107.00,108.60,0.80,0.74,"199,189",,
2025-04-23,106.20,109.00,106.20,107.80,2.00,1.89,"122,699",,
2025-04-22,104.00,107.60,103.80,105.80,0.60,0.57,"366,492",,
2025-04-21,106.20,106.20,104.60,105.20,-0.80,-0.75,"76,010",,
2025-04-20,101.80,106.40,101.80,106.00,4.20,4.13,"205,743",,
2025-04-17,102.60,103.00,101.40,101.80,-2.20,-2.12,"141,838",,
2025-04-16,103.20,104.20,103.00,104.00,0.00,0.00,"103,947",,
2025-04-15,103.60,104.80,103.00,104.00,1.80,1.76,"281,675",,
2025-04-14,100.80,104.00,100.80,102.20,1.60,1.59,"254,510",,
2025-04-13,101.00,102.40,100.00,100.60,0.60,0.60,"194,439",,
2025-04-10,105.40,106.00,99.60,100.00,0.60,0.60,"315,310",,
2025-04-09,104.20,105.20,99.40,99.40,-4.80,-4.61,"149,210",,
2025-04-08,106.00,107.80,104.20,104.20,0.00,0.00,"150,618",,
2025-04-07,100.20,106.60,95.90,104.20,1.80,1.76,"423,251",,
2025-04-06,107.00,107.00,101.80,102.40,-5.60,-5.19,"91,365",,
2025-04-03,109.20,109.40,107.20,108.00,-1.80,-1.64,"103,729",,
2025-03-27,108.40,111.00,108.40,109.80,1.40,1.29,"142,841",,
2025-03-26,108.00,110.60,108.00,108.40,0.40,0.37,"343,129",,
2025-03-25,109.80,110.00,107.60,108.00,-1.20,-1.10,"164,169",,
2025-03-24,109.80,111.20,109.20,109.20,-0.80,-0.73,"279,435",,
2025-03-23,111.00,112.00,109.80,110.00,-0.40,-0.36,"27,769",,
2025-03-20,112.20,112.80,109.80,110.40,-2.00,-1.78,"98,318",,
2025-03-19,110.80,113.40,109.60,112.40,1.40,1.26,"177,493",,
2025-03-18,109.20,111.00,108.80,111.00,1.60,1.46,"380,785",,
2025-03-17,109.00,111.00,109.00,109.40,0.40,0.37,"128,807",,
2025-03-16,111.80,111.80,108.80,109.00,-1.40,-1.27,"62,649",,
2025-03-13,109.80,110.80,109.60,110.40,0.60,0.55,"106,665",,
2025-03-12,107.60,110.40,107.60,109.80,1.00,0.92,"88,943",,
2025-03-11,107.80,109.00,105.40,108.80,1.20,1.12,"138,508",,
2025-03-10,109.40,110.00,107.60,107.60,-1.80,-1.65,"77,360",,
2025-03-09,108.60,111.80,108.40,109.40,0.60,0.55,"411,793",,
2025-03-06,109.80,110.00,107.20,108.80,-1.20,-1.09,"101,972",,
2025-03-05,110.40,111.60,109.20,110.00,-0.40,-0.36,"48,874",,
2025-03-04,110.20,111.00,108.80,110.40,0.20,0.18,"92,842",,
2025-03-03,110.00,112.20,110.00,110.20,-0.20,-0.18,"518,630",,
2025-03-02,112.00,112.00,109.40,110.40,0.20,0.18,"49,614",,
2025-02-27,111.00,111.60,108.80,110.20,-0.60,-0.54,"386,377",,
