0,1,2,3,4,5,6,7,8,9
2025-05-29,14.20,14.64,14.10,14.58,0.42,2.97,"1,744,521",,
2025-05-28,14.38,14.72,14.00,14.16,-0.22,-1.53,"2,932,461",,
2025-05-27,14.30,14.90,14.00,14.38,0.08,0.56,"1,690,327",,
2025-05-26,14.70,15.08,14.10,14.30,-0.40,-2.72,"2,329,344",,
2025-05-25,15.20,15.34,14.66,14.70,-0.48,-3.16,"1,045,269",,
2025-05-22,15.02,15.52,15.02,15.18,0.50,3.41,"2,619,971",,
2025-05-21,14.88,14.94,14.62,14.68,-0.12,-0.81,"868,696",,
2025-05-20,14.66,14.98,14.60,14.80,0.20,1.37,"1,230,135",,
2025-05-19,15.06,15.24,14.56,14.60,-0.68,-4.45,"2,448,945",,
2025-05-18,15.74,16.10,15.18,15.28,-0.44,-2.80,"1,295,176",,
2025-05-15,16.68,16.70,15.66,15.72,-1.18,-6.98,"2,108,227",,
2025-05-14,16.88,16.90,16.46,16.90,0.12,0.72,"326,779",,
2025-05-13,17.02,17.02,16.72,16.78,-0.26,-1.53,"202,820",,
2025-05-12,17.04,17.38,16.72,17.04,0.00,0.00,"1,282,738",,
2025-05-11,17.00,17.14,16.72,17.04,0.36,2.16,"231,019",,
2025-05-08,16.98,17.14,16.64,16.68,-0.42,-2.46,"339,415",,
2025-05-07,17.00,17.18,16.80,17.10,0.06,0.35,"213,947",,
2025-05-06,17.28,17.48,16.74,17.04,-0.24,-1.39,"388,414",,
2025-05-05,16.34,17.44,16.14,17.28,0.94,5.75,"1,476,959",,
2025-05-04,16.94,16.96,16.22,16.34,0.04,0.25,"295,217",,
2025-05-01,16.84,16.84,16.22,16.30,-0.54,-3.21,"483,708",,
2025-04-30,17.20,17.40,16.70,16.84,-0.56,-3.22,"631,651",,
2025-04-29,17.62,17.66,17.34,17.40,-0.22,-1.25,"430,654",,
2025-04-28,17.38,17.84,17.14,17.62,0.24,1.38,"1,157,388",,
2025-04-27,17.56,17.56,17.28,17.38,-0.18,-1.03,"145,076",,
2025-04-24,17.00,17.70,16.94,17.56,0.60,3.54,"577,095",,
2025-04-23,17.28,17.28,16.84,16.96,-0.04,-0.24,"527,096",,
2025-04-22,17.20,17.30,16.92,17.00,-0.22,-1.28,"368,667",,
2025-04-21,17.52,17.52,17.14,17.22,-0.30,-1.71,"175,592",,
2025-04-20,17.48,17.76,17.38,17.52,0.04,0.23,"311,074",,
2025-04-17,17.48,17.68,17.00,17.48,-0.02,-0.11,"916,311",,
2025-04-16,17.00,17.70,16.82,17.50,0.52,3.06,"1,102,632",,
2025-04-15,17.00,17.24,16.82,16.98,0.12,0.71,"784,360",,
2025-04-14,17.00,17.06,16.72,16.86,-0.14,-0.82,"405,827",,
2025-04-13,16.84,17.36,16.82,17.00,0.30,1.80,"511,714",,
2025-04-10,17.16,17.16,16.26,16.70,1.10,7.05,"910,978",,
2025-04-09,16.12,16.54,15.58,15.60,-0.94,-5.68,"683,779",,
2025-04-08,15.76,16.56,15.64,16.54,1.04,6.71,"2,152,639",,
2025-04-07,14.72,15.70,14.42,15.50,-0.52,-3.25,"1,711,389",,
2025-04-06,16.02,16.88,16.02,16.02,-1.78,-10.00,"715,442",,
2025-04-03,17.00,18.24,17.00,17.80,0.30,1.71,"1,521,380",,
2025-03-27,17.26,17.72,17.04,17.50,0.24,1.39,"971,180",,
2025-03-26,16.50,17.52,16.50,17.26,0.48,2.86,"2,199,783",,
2025-03-25,16.58,16.78,16.40,16.78,0.16,0.96,"460,449",,
2025-03-24,16.52,16.68,16.28,16.62,-0.08,-0.48,"1,057,981",,
2025-03-23,16.50,16.86,16.20,16.70,0.20,1.21,"702,005",,
2025-03-20,15.72,16.50,15.36,16.50,0.78,4.96,"1,104,383",,
2025-03-19,15.86,15.86,15.30,15.72,0.10,0.64,"313,573",,
2025-03-18,15.96,15.96,15.42,15.62,-0.20,-1.26,"342,027",,
2025-03-17,15.32,16.10,14.90,15.82,1.06,7.18,"1,751,611",,
2025-03-16,14.60,15.30,14.56,14.76,0.16,1.10,"1,125,318",,
2025-03-13,15.10,15.10,14.54,14.60,-0.36,-2.41,"778,830",,
2025-03-12,14.96,15.14,14.72,14.96,0.10,0.67,"3,071,581",,
2025-03-11,14.54,14.98,14.32,14.86,-0.12,-0.80,"841,758",,
2025-03-10,15.00,15.10,14.60,14.98,-0.02,-0.13,"476,101",,
2025-03-09,15.42,15.42,14.92,15.00,-0.18,-1.19,"514,701",,
2025-03-06,15.40,15.46,15.00,15.18,-0.22,-1.43,"977,304",,
2025-03-05,15.32,15.56,15.26,15.40,0.10,0.65,"381,106",,
2025-03-04,16.06,16.12,15.30,15.30,-0.76,-4.73,"849,243",,
2025-03-03,16.18,16.58,16.00,16.06,-0.06,-0.37,"1,484,348",,
2025-03-02,16.06,16.50,16.00,16.12,0.04,0.25,"532,983",,
2025-02-27,16.14,16.16,15.86,16.08,-0.16,-0.99,"355,144",,
2025-02-26,16.50,16.50,16.10,16.24,-0.20,-1.22,"259,179",,
2025-02-25,16.16,16.44,16.06,16.44,0.30,1.86,"547,217",,
2025-02-24,16.22,16.22,15.78,16.14,-0.10,-0.62,"285,181",,
2025-02-20,15.76,16.36,15.76,16.24,0.48,3.05,"1,448,520",,
2025-02-19,16.02,16.06,15.66,15.76,-0.24,-1.50,"551,063",,
2025-02-18,16.52,16.52,15.92,16.00,-0.56,-3.38,"1,139,765",,
2025-02-17,16.80,16.82,16.52,16.56,-0.30,-1.78,"296,755",,
2025-02-16,16.94,16.96,16.80,16.86,-0.08,-0.47,"261,967",,
2025-02-13,16.80,16.96,16.74,16.94,0.24,1.44,"264,086",,
2025-02-12,16.90,17.04,16.54,16.70,-0.30,-1.76,"802,298",,
2025-02-11,17.32,17.32,16.62,17.00,-0.28,-1.62,"1,087,816",,
