0,1,2,3,4,5,6,7,8,9
2025-05-29,20.66,21.02,20.60,20.74,0.08,0.39,"305,187",,
2025-05-28,20.42,20.72,20.20,20.66,0.26,1.27,"555,695",,
2025-05-27,21.28,21.70,20.40,20.40,-0.94,-4.40,"286,491",,
2025-05-26,21.50,21.74,21.30,21.34,-0.26,-1.20,"146,908",,
2025-05-25,22.16,22.16,21.50,21.60,-0.74,-3.31,"249,305",,
2025-05-22,22.66,22.86,22.34,22.34,-0.48,-2.10,"245,335",,
2025-05-21,23.26,23.34,22.82,22.82,-0.54,-2.31,"136,800",,
2025-05-20,23.12,23.54,23.12,23.36,-0.08,-0.34,"519,424",,
2025-05-19,23.30,23.44,23.02,23.44,-0.06,-0.26,"234,692",,
2025-05-18,23.54,23.62,22.96,23.50,-0.04,-0.17,"492,813",,
2025-05-15,23.74,23.74,22.84,23.54,-0.16,-0.68,"889,988",,
2025-05-14,23.04,23.76,22.88,23.70,0.66,2.86,"783,989",,
2025-05-13,22.88,23.10,22.62,23.04,0.16,0.70,"693,174",,
2025-05-12,22.34,22.88,22.28,22.88,0.38,1.69,"351,881",,
2025-05-11,22.28,22.74,22.04,22.50,0.22,0.99,"831,030",,
2025-05-08,21.84,22.40,21.74,22.28,0.46,2.11,"415,746",,
2025-05-07,22.40,22.40,21.74,21.82,-0.56,-2.50,"427,205",,
2025-05-06,22.50,22.62,22.16,22.38,-0.10,-0.44,"380,902",,
2025-05-05,22.54,22.66,22.34,22.48,-0.08,-0.35,"340,416",,
2025-05-04,22.64,22.90,22.28,22.56,-0.14,-0.62,"407,744",,
2025-05-01,23.00,23.06,22.14,22.70,-0.40,-1.73,"1,133,297",,
2025-04-30,23.92,24.00,22.78,23.10,-0.90,-3.75,"676,951",,
2025-04-29,23.78,24.16,23.72,24.00,0.28,1.18,"1,370,441",,
2025-04-28,23.80,23.92,23.54,23.72,-0.06,-0.25,"1,060,742",,
2025-04-27,23.70,23.90,23.44,23.78,0.08,0.34,"899,579",,
2025-04-24,23.08,23.70,22.90,23.70,0.56,2.42,"1,262,276",,
2025-04-23,23.18,23.38,22.86,23.14,0.04,0.17,"1,271,037",,
2025-04-22,23.06,23.20,22.68,23.10,-0.04,-0.17,"898,273",,
2025-04-21,23.36,23.36,22.70,23.14,-0.16,-0.69,"585,173",,
2025-04-20,23.30,23.78,23.24,23.30,0.00,0.00,"1,188,800",,
2025-04-17,23.18,23.34,22.90,23.30,0.10,0.43,"1,129,585",,
2025-04-16,22.20,23.64,22.04,23.20,1.08,4.88,"2,235,586",,
2025-04-15,22.28,22.46,21.98,22.12,-0.06,-0.27,"586,663",,
2025-04-14,21.94,22.18,21.60,22.18,0.30,1.37,"359,643",,
