0,1,2,3,4,5,6,7,8,9
2025-05-29,40.10,41.00,40.00,41.00,0.95,2.37,"165,812",,
2025-05-28,39.65,40.65,39.65,40.05,0.40,1.01,"87,396",,
2025-05-27,41.45,41.45,39.55,39.65,-0.90,-2.22,"216,149",,
2025-05-26,42.15,42.40,40.35,40.55,-1.60,-3.80,"351,232",,
2025-05-25,44.00,44.70,42.15,42.15,-0.50,-1.17,"530,188",,
2025-05-22,42.10,42.85,42.10,42.65,0.45,1.07,"83,231",,
2025-05-21,42.30,43.10,42.20,42.20,-0.40,-0.94,"119,023",,
2025-05-20,42.20,42.85,42.15,42.60,0.40,0.95,"85,652",,
2025-05-19,43.00,43.00,42.10,42.20,-0.70,-1.63,"103,147",,
2025-05-18,43.00,43.50,42.70,42.90,-0.05,-0.12,"140,756",,
2025-05-15,43.40,43.40,42.10,42.95,-0.30,-0.69,"240,816",,
2025-05-14,43.50,43.85,43.20,43.25,0.15,0.35,"152,778",,
2025-05-13,43.35,43.35,43.00,43.10,-0.20,-0.46,"158,752",,
2025-05-12,43.70,44.10,43.20,43.30,-0.05,-0.12,"214,804",,
2025-05-11,43.90,43.90,43.05,43.35,-0.55,-1.25,"95,783",,
2025-05-08,43.75,44.20,43.20,43.90,0.15,0.34,"187,314",,
2025-05-07,44.40,44.90,43.75,43.75,-0.85,-1.91,"167,381",,
2025-05-06,44.30,45.80,44.15,44.60,0.35,0.79,"421,238",,
2025-05-05,44.80,45.00,44.15,44.25,-0.80,-1.78,"136,902",,
2025-05-04,45.10,45.40,44.40,45.05,-0.05,-0.11,"134,925",,
2025-05-01,44.60,45.75,44.45,45.10,0.45,1.01,"247,237",,
2025-04-30,46.20,46.20,44.35,44.65,-1.60,-3.46,"361,428",,
2025-04-29,44.70,47.25,44.55,46.25,1.75,3.93,"909,796",,
2025-04-28,43.65,44.65,43.50,44.50,0.85,1.95,"316,461",,
2025-04-27,43.80,44.40,43.60,43.65,-0.10,-0.23,"208,347",,
2025-04-24,43.45,43.95,43.05,43.75,0.30,0.69,"134,526",,
2025-04-23,44.70,44.70,43.45,43.45,-0.80,-1.81,"250,159",,
2025-04-22,44.00,44.75,43.05,44.25,0.15,0.34,"533,911",,
2025-04-21,43.90,45.55,43.90,44.10,0.95,2.20,"701,817",,
2025-04-20,42.90,43.65,42.90,43.15,-0.05,-0.12,"145,702",,
2025-04-17,43.65,44.00,43.00,43.20,-0.75,-1.71,"174,834",,
2025-04-16,43.60,44.00,42.95,43.95,0.35,0.80,"208,426",,
2025-04-15,45.20,45.90,43.40,43.60,-1.25,-2.79,"470,608",,
2025-04-14,43.75,44.90,43.05,44.85,0.95,2.16,"349,410",,
2025-04-13,42.85,44.25,42.85,43.90,1.25,2.93,"114,036",,
2025-04-10,43.25,43.65,42.65,42.65,1.50,3.65,"140,361",,
2025-04-09,41.55,43.00,41.15,41.15,-1.40,-3.29,"139,682",,
